tds_mgl,oil_grease_mgl,tss_mgl,barium_mgl,sulfate_mgl,h2s_mgl,bacteria_cfu,routing
20071.0,8.8,44.7,16.5,149.3,0.28,146.0,direct_reuse
22175.0,12.9,27.4,4.0,692.5,0.84,38.0,direct_reuse
25755.0,75.4,32.7,67.3,29.6,0.4,4.0,treat_then_reuse
69426.0,10.5,6.0,23.9,105.4,1.74,81.0,direct_reuse
54160.0,41.1,10.0,122.4,23.1,2.09,10.0,treat_then_reuse
79486.0,13.9,3.3,26.9,40.8,1.41,13.0,direct_reuse
36349.0,19.6,97.9,19.6,111.3,3.37,14.0,direct_reuse
54774.0,14.3,83.3,125.4,52.4,0.77,52.0,direct_reuse
75956.0,28.9,33.6,3.2,21.4,1.55,168.0,direct_reuse
39476.0,7.3,27.3,9.9,20.9,0.45,13.0,direct_reuse
67491.0,5.6,7.1,6.9,11.3,2.39,164.0,direct_reuse
30843.0,7.6,20.6,1.4,152.1,1.82,16.0,direct_reuse
38020.0,14.7,102.9,57.3,173.7,0.35,100.0,treat_then_reuse
37526.0,11.0,27.3,10.3,172.7,1.35,16.0,direct_reuse
21225.0,25.5,15.6,59.5,33.1,1.57,6.0,direct_reuse
68932.0,43.6,6.0,32.0,272.2,2.38,218.0,treat_then_reuse
35292.0,5.6,74.0,41.6,195.9,2.49,5.0,direct_reuse
49451.0,7.0,23.2,11.6,90.7,0.65,5.0,direct_reuse
68633.0,3.7,6.0,8.0,75.8,4.45,2.0,direct_reuse
67008.0,83.7,11.7,22.4,44.1,3.25,82.0,treat_then_reuse
78102.0,17.7,8.8,60.5,111.2,0.64,116.0,direct_reuse
45755.0,20.7,22.1,18.9,533.2,0.37,21.0,direct_reuse
36450.0,4.0,29.0,8.7,314.7,0.71,3.0,direct_reuse
46360.0,13.4,16.4,4.8,67.9,0.24,12.0,direct_reuse
15046.0,21.3,45.7,25.7,162.8,2.16,8.0,direct_reuse
17801.0,10.7,26.1,10.3,26.8,7.68,3.0,direct_reuse
19421.0,35.5,57.4,18.4,201.0,10.46,6.0,direct_reuse
24390.0,107.8,18.4,15.1,36.1,0.4,26.0,treat_then_reuse
64851.0,5.7,280.4,11.8,192.3,4.59,5.0,treat_then_reuse
26008.0,5.4,15.6,28.6,2359.0,1.84,19.0,direct_reuse
37620.0,6.1,11.9,39.1,48.1,0.07,1.0,direct_reuse
121718.0,57.1,10.8,212.4,2241.9,1.07,151.0,disposal
38201.0,34.4,20.7,49.9,154.4,0.93,7.0,direct_reuse
82147.0,11.9,6.2,136.0,39.5,7.96,45.0,direct_reuse
25501.0,13.9,31.1,7.5,37.5,0.53,16.0,direct_reuse
42455.0,6.5,5.3,2.9,1213.7,3.43,22.0,direct_reuse
25210.0,30.0,27.9,19.7,154.8,1.43,2.0,direct_reuse
38664.0,9.6,8.3,56.2,48.3,0.25,4.0,direct_reuse
88275.0,10.7,18.1,46.6,72.0,0.8,4.0,direct_reuse
14631.0,23.3,39.8,85.9,144.6,12.07,13.0,direct_reuse
66443.0,11.4,155.0,1.0,89.2,1.32,89.0,treat_then_reuse
57897.0,10.9,10.4,90.3,131.7,5.35,23.0,direct_reuse
32341.0,13.6,21.8,30.0,633.3,4.98,3.0,direct_reuse
17814.0,27.5,13.7,3.1,26.0,0.92,14.0,direct_reuse
51559.0,59.3,12.2,47.9,182.9,0.31,11.0,treat_then_reuse
33839.0,22.8,13.8,24.6,83.1,0.37,7.0,direct_reuse
57692.0,27.7,47.4,31.7,52.0,10.88,12.0,direct_reuse
49776.0,11.2,16.6,66.6,292.8,2.01,38.0,direct_reuse
150429.0,7.1,148.3,33.7,18.0,0.17,4.0,treat_then_reuse
41459.0,24.3,34.2,3.4,6.7,4.88,7.0,direct_reuse
23946.0,15.7,10.9,16.9,115.2,0.16,53.0,direct_reuse
55575.0,3.7,18.3,2.9,77.3,0.56,25.0,direct_reuse
57182.0,10.0,12.9,43.8,20.3,1.83,83.0,direct_reuse
126935.0,12.5,46.5,107.5,13.7,43.66,105.0,treat_then_reuse
87955.0,8.5,6.6,4.5,752.7,4.76,2.0,direct_reuse
62932.0,51.1,8.4,9.0,149.8,0.88,19.0,treat_then_reuse
136532.0,20.7,15.3,7.0,92.0,1.71,6.0,direct_reuse
21330.0,46.3,42.4,11.7,1007.0,5.45,2.0,treat_then_reuse
31325.0,17.1,65.8,32.9,277.1,10.47,4.0,direct_reuse
25627.0,14.5,74.0,11.8,630.3,1.19,8.0,direct_reuse
37314.0,5.8,37.5,43.9,24.6,1.24,8.0,direct_reuse
18701.0,13.6,23.0,72.1,23.6,0.56,5.0,direct_reuse
76466.0,13.6,46.3,75.3,177.5,3.91,12.0,direct_reuse
41959.0,3.9,9.8,5.2,142.0,6.26,478.0,direct_reuse
17508.0,8.3,5.6,106.0,355.9,0.13,1.0,direct_reuse
24079.0,10.1,34.8,116.7,15.0,0.98,67.0,direct_reuse
61051.0,19.5,11.0,129.4,195.2,0.34,12.0,direct_reuse
88141.0,20.4,23.3,16.6,267.3,2.01,6.0,direct_reuse
198335.0,8.0,27.0,8.1,252.1,0.33,1.0,disposal
300000.0,20.5,29.9,6.2,57.5,0.3,38.0,disposal
65518.0,11.4,51.9,5.4,159.3,7.1,1.0,direct_reuse
24522.0,1.0,47.7,20.4,38.4,1.33,42.0,direct_reuse
11021.0,8.7,28.7,55.6,65.2,1.53,166.0,direct_reuse
59124.0,35.6,17.2,96.3,28.6,2.89,2.0,disposal
27749.0,3.0,26.7,11.2,39.1,5.82,70.0,direct_reuse
36653.0,14.9,15.2,19.2,69.1,0.96,13.0,direct_reuse
31937.0,56.1,21.0,17.7,52.5,0.98,1.0,treat_then_reuse
44420.0,6.8,199.2,9.4,39.1,0.99,2.0,treat_then_reuse
103382.0,13.5,28.4,48.6,21.6,6.73,16.0,direct_reuse
54717.0,4.2,35.2,31.0,778.4,1.51,22.0,direct_reuse
43869.0,58.2,14.0,23.8,51.9,1.13,1.0,treat_then_reuse
23743.0,12.5,55.5,30.9,129.4,2.74,13.0,disposal
15180.0,14.0,45.1,42.0,13.0,17.83,42.0,direct_reuse
34877.0,45.6,45.3,41.5,400.8,1.82,54.0,treat_then_reuse
47210.0,24.4,29.1,7.3,108.2,1.16,7.0,direct_reuse
168983.0,6.1,56.1,58.9,55.2,20.61,24.0,treat_then_reuse
53701.0,7.5,67.9,27.3,55.8,9.29,61.0,direct_reuse
97530.0,21.0,30.8,11.9,234.2,7.69,44.0,direct_reuse
34561.0,7.7,22.4,26.6,3.5,0.86,46.0,direct_reuse
21387.0,2.0,50.2,30.4,36.4,0.76,14.0,direct_reuse
24945.0,12.8,11.9,73.6,79.0,0.15,11.0,direct_reuse
29506.0,3.6,13.8,5.7,78.0,5.78,18.0,direct_reuse
217494.0,57.7,23.5,98.5,1416.4,1.82,4.0,disposal
27585.0,15.8,6.1,20.7,62.1,0.16,65.0,direct_reuse
88163.0,6.0,47.6,10.9,267.5,7.86,1.0,direct_reuse
26055.0,7.2,11.4,10.5,660.4,1.06,6.0,direct_reuse
94099.0,2.5,16.8,6.0,188.2,1.25,12.0,direct_reuse
64181.0,5.0,20.7,2.5,42.9,0.23,25.0,direct_reuse
43930.0,33.6,25.3,45.3,21.9,3.13,33.0,direct_reuse
47642.0,100.3,18.6,216.4,204.4,3.17,114.0,treat_then_reuse
30997.0,25.9,23.2,2.9,549.8,1.55,14.0,direct_reuse
66987.0,12.4,23.4,6.4,164.1,0.96,4.0,direct_reuse
35650.0,9.1,17.2,49.5,349.6,50.12,10.0,treat_then_reuse
20787.0,5.7,13.2,19.0,1558.0,0.34,8.0,direct_reuse
20039.0,86.0,58.3,54.7,226.1,0.65,27.0,treat_then_reuse
55316.0,11.4,4.6,17.8,26.8,4.14,2.0,direct_reuse
148059.0,90.4,20.8,10.0,95.2,0.44,9.0,treat_then_reuse
54830.0,47.2,16.9,15.3,406.4,0.4,139.0,treat_then_reuse
45114.0,2.8,34.3,1.2,68.5,7.18,16.0,direct_reuse
59879.0,7.4,7.7,5.1,471.7,3.62,3.0,direct_reuse
122296.0,7.4,16.4,62.7,83.6,3.09,7.0,direct_reuse
57158.0,12.5,22.6,84.0,130.0,2.09,0.0,direct_reuse
36767.0,12.8,57.7,108.6,61.2,0.67,11.0,direct_reuse
106341.0,199.7,32.0,34.1,107.3,1.19,144.0,treat_then_reuse
66180.0,5.1,9.5,1.3,113.7,1.49,2.0,direct_reuse
143635.0,16.5,16.6,9.4,15.3,4.95,1.0,direct_reuse
55729.0,23.4,49.8,98.5,55.4,2.87,5.0,direct_reuse
20803.0,13.4,9.4,140.8,23.2,0.49,49.0,direct_reuse
18813.0,14.9,23.0,103.0,57.5,4.6,157.0,direct_reuse
155694.0,5.3,24.4,15.1,37.5,0.19,24.0,direct_reuse
163827.0,14.8,18.0,4.2,274.0,1.09,2.0,direct_reuse
43232.0,21.3,212.0,19.1,277.5,0.37,12.0,treat_then_reuse
37488.0,18.1,17.6,20.4,166.7,0.54,178.0,direct_reuse
136354.0,22.5,35.2,131.5,22.3,20.18,8.0,treat_then_reuse
22586.0,48.0,13.3,26.4,80.8,0.24,15.0,treat_then_reuse
26205.0,31.3,37.4,20.5,20.5,0.57,17.0,direct_reuse
76905.0,14.4,49.2,21.9,76.6,3.2,1.0,direct_reuse
37189.0,4.7,15.3,32.5,183.5,0.89,54.0,direct_reuse
48845.0,7.8,23.5,42.6,268.1,2.02,44.0,direct_reuse
43721.0,11.0,12.0,8.4,151.4,10.57,1.0,direct_reuse
62088.0,16.9,9.8,5.6,359.4,3.86,2.0,direct_reuse
131300.0,8.8,56.2,104.0,119.8,0.9,3.0,direct_reuse
52230.0,5.8,15.7,2.8,69.6,1.39,37.0,direct_reuse
76938.0,4.6,3.6,143.4,235.3,3.29,4.0,direct_reuse
11671.0,3.0,100.7,2.0,244.0,3.76,22.0,treat_then_reuse
47377.0,10.9,12.9,10.0,50.6,1.69,9.0,direct_reuse
27166.0,3.6,20.1,64.5,136.6,2.63,14.0,direct_reuse
20886.0,5.5,91.2,20.1,65.1,2.64,26.0,direct_reuse
26510.0,9.4,21.9,4.1,9.9,1.46,18.0,direct_reuse
38798.0,4.0,21.5,33.5,146.1,0.75,12.0,direct_reuse
93072.0,18.9,9.2,21.8,21.7,4.33,20.0,direct_reuse
19371.0,26.2,6.6,15.5,129.2,2.41,17.0,direct_reuse
50083.0,8.2,21.5,9.5,16.6,0.11,9.0,direct_reuse
34929.0,9.1,32.8,19.3,40.8,0.56,6.0,direct_reuse
38973.0,21.8,31.3,10.0,55.9,0.88,205.0,direct_reuse
98907.0,7.1,16.7,372.9,337.6,1.27,6.0,disposal
71445.0,6.7,24.9,15.1,50.1,7.89,95.0,direct_reuse
125014.0,39.5,5.6,12.8,27.6,105.96,4.0,treat_then_reuse
43996.0,29.8,35.5,10.5,134.4,0.07,41.0,direct_reuse
30117.0,23.1,27.9,169.4,70.9,2.45,177.0,direct_reuse
41911.0,31.0,119.0,2.8,214.8,1.8,7.0,treat_then_reuse
58090.0,2.3,24.7,30.9,29.6,1.3,4.0,direct_reuse
55470.0,45.5,11.5,15.1,113.5,3.34,6.0,treat_then_reuse
22947.0,19.2,23.6,3.6,1361.7,2.0,12.0,direct_reuse
52226.0,33.4,18.9,7.5,69.2,1.03,20.0,direct_reuse
57513.0,19.1,34.7,29.4,110.5,1.71,11.0,direct_reuse
285567.0,14.1,25.1,7.1,14.5,3.4,6.0,disposal
182370.0,10.5,9.0,27.4,35.2,3.0,229.0,disposal
26977.0,18.7,6.6,160.0,149.3,2.11,9.0,direct_reuse
40088.0,10.2,30.3,24.6,62.6,0.77,5.0,direct_reuse
17599.0,29.4,74.2,3.5,177.0,64.39,42.0,treat_then_reuse
32419.0,3.2,26.1,7.3,143.7,2.63,43.0,direct_reuse
61140.0,8.3,47.0,14.3,21.1,4.44,101.0,direct_reuse
114016.0,84.8,55.2,13.2,275.0,0.85,220.0,treat_then_reuse
29426.0,7.7,30.4,24.1,22.9,2.11,20.0,direct_reuse
31011.0,10.9,12.8,29.2,38.8,2.09,8.0,direct_reuse
10904.0,6.1,28.7,160.2,115.9,0.14,1.0,direct_reuse
43745.0,18.2,64.4,20.0,504.6,0.65,3.0,direct_reuse
23302.0,6.9,37.5,5.0,29.8,0.63,17.0,direct_reuse
33840.0,11.4,44.6,80.2,105.9,0.76,2.0,direct_reuse
26534.0,28.9,16.9,91.4,106.9,0.41,1.0,direct_reuse
45891.0,7.2,20.9,26.5,185.5,1.75,13.0,direct_reuse
14323.0,27.4,22.3,14.9,331.1,10.14,39.0,direct_reuse
17555.0,28.2,23.5,42.4,57.7,1.95,8.0,direct_reuse
217613.0,34.8,62.5,15.6,274.0,0.35,47.0,disposal
19907.0,15.3,3.8,1.7,388.9,0.43,31.0,direct_reuse
22748.0,248.9,25.1,39.5,640.6,1.01,68.0,treat_then_reuse
177343.0,34.8,23.0,58.6,156.4,0.26,317.0,direct_reuse
300000.0,18.0,8.2,113.2,107.0,2.45,615.0,disposal
21588.0,6.1,42.0,8.4,53.4,9.57,37.0,direct_reuse
37882.0,12.3,13.7,26.3,18.1,0.78,6.0,direct_reuse
62261.0,48.6,18.4,27.0,66.3,1.82,13.0,treat_then_reuse
164405.0,62.7,107.7,22.3,101.9,0.94,129.0,treat_then_reuse
24568.0,50.9,55.0,23.1,79.8,0.73,3.0,treat_then_reuse
41287.0,27.3,38.8,21.0,173.7,2.11,107.0,direct_reuse
84469.0,4.3,33.3,25.9,18.2,0.7,9.0,direct_reuse
66459.0,20.9,21.5,48.9,73.7,0.58,17.0,direct_reuse
37673.0,4.4,121.4,86.9,807.7,0.2,4.0,treat_then_reuse
44637.0,3.5,46.6,8.1,269.1,1.79,2.0,direct_reuse
18724.0,16.7,13.5,16.3,177.3,6.6,8.0,direct_reuse
41493.0,21.6,8.0,12.1,138.3,4.14,86.0,direct_reuse
40682.0,30.4,38.6,10.2,60.2,11.47,4.0,direct_reuse
57672.0,21.1,23.5,2.9,13.1,0.69,137.0,direct_reuse
33232.0,21.7,7.8,20.7,148.8,4.98,5.0,direct_reuse
68192.0,5.6,34.6,35.7,6.1,0.39,2.0,direct_reuse
99598.0,12.2,19.8,16.7,62.9,4.15,18.0,direct_reuse
54655.0,3.5,37.5,19.9,89.7,13.98,34.0,direct_reuse
62707.0,2.2,34.9,33.2,55.0,3.15,16.0,direct_reuse
50879.0,26.2,15.1,109.2,980.9,14.3,15.0,disposal
49024.0,6.8,40.7,12.1,669.7,0.76,135.0,direct_reuse
29582.0,29.5,16.5,4.9,280.4,1.38,14.0,direct_reuse
61178.0,36.5,17.4,18.0,32.5,0.5,6.0,direct_reuse
45794.0,7.7,16.0,192.5,745.1,1.72,2.0,disposal
212186.0,22.9,60.6,5.0,177.8,2.34,82.0,disposal
147465.0,7.4,19.6,43.8,31.9,1.71,6.0,direct_reuse
64221.0,2.6,73.5,80.6,93.3,0.89,7.0,direct_reuse
28735.0,15.0,102.2,1.2,258.4,0.87,59.0,treat_then_reuse
22501.0,8.8,13.6,32.9,46.6,2.58,265.0,direct_reuse
112848.0,9.1,2.4,41.4,105.1,1.34,18.0,direct_reuse
58919.0,79.7,56.6,14.6,127.5,0.37,10.0,treat_then_reuse
68604.0,3.4,18.7,9.2,26.8,0.14,12.0,direct_reuse
14455.0,19.0,12.3,9.9,66.9,0.76,6.0,direct_reuse
93827.0,5.5,15.3,13.5,29.1,0.27,7.0,direct_reuse
67379.0,30.5,17.6,14.0,234.1,0.56,7.0,direct_reuse
22532.0,17.6,69.3,11.1,33.2,0.95,48.0,direct_reuse
35240.0,18.9,27.9,13.3,124.1,1.36,11.0,direct_reuse
58959.0,5.8,68.5,83.8,19.5,0.69,94.0,direct_reuse
50855.0,6.8,36.4,4.7,25.9,28.46,10.0,treat_then_reuse
39954.0,31.0,19.2,2.5,24.5,0.32,7.0,direct_reuse
45595.0,66.3,18.0,85.5,65.5,7.94,83.0,treat_then_reuse
41094.0,20.7,38.4,16.0,109.8,1.33,13.0,direct_reuse
54546.0,6.0,47.3,12.6,134.5,0.7,10.0,direct_reuse
137317.0,18.3,54.5,17.6,12.8,3.54,13.0,direct_reuse
8130.0,119.7,19.9,25.8,74.8,0.92,110.0,treat_then_reuse
41531.0,14.8,28.2,10.7,39.4,0.58,19.0,direct_reuse
55468.0,50.2,39.1,36.9,162.0,16.89,79.0,treat_then_reuse
60307.0,6.9,18.0,6.3,67.1,0.1,9.0,direct_reuse
37785.0,13.0,9.9,14.0,82.4,1.2,62.0,direct_reuse
14333.0,23.5,12.9,1.4,39.7,2.11,17.0,direct_reuse
61673.0,19.3,20.2,82.0,600.1,10.28,46.0,direct_reuse
164250.0,6.8,41.7,16.3,21.9,0.98,52.0,direct_reuse
16752.0,6.5,67.2,44.9,58.0,52.42,3.0,treat_then_reuse
89741.0,32.8,8.3,35.6,101.3,4.42,14.0,direct_reuse
38950.0,39.3,15.2,38.9,68.3,0.08,51.0,direct_reuse
46961.0,52.5,18.4,19.9,38.8,0.25,65.0,treat_then_reuse
23458.0,68.3,46.3,32.0,12.3,2.24,80.0,treat_then_reuse
38789.0,15.2,16.1,6.3,42.1,0.37,14.0,direct_reuse
121787.0,10.2,17.4,4.9,31.3,3.36,123.0,direct_reuse
73707.0,45.4,7.9,17.8,570.9,0.91,5.0,treat_then_reuse
164821.0,25.6,36.1,8.9,1087.0,0.35,1.0,direct_reuse
111769.0,5.6,21.6,111.1,85.1,0.47,8.0,direct_reuse
66660.0,5.3,14.5,31.5,19.2,4.99,73.0,direct_reuse
166168.0,21.0,19.9,8.5,202.7,0.12,2.0,direct_reuse
66656.0,11.5,60.4,14.5,30.6,6.42,1.0,direct_reuse
87517.0,13.1,11.0,23.6,49.2,6.67,1.0,direct_reuse
39831.0,35.3,12.5,18.5,45.1,1.07,37.0,direct_reuse
51358.0,26.7,66.8,27.8,51.9,0.27,1.0,direct_reuse
30086.0,44.6,26.1,21.8,60.9,3.4,28.0,treat_then_reuse
97999.0,2.4,41.9,3.8,21.2,0.88,7.0,direct_reuse
21487.0,16.9,33.8,1.5,41.6,0.23,4.0,direct_reuse
84766.0,25.2,23.8,12.8,276.4,19.72,3.0,direct_reuse
42896.0,3.4,18.6,39.4,86.8,0.52,17.0,direct_reuse
111288.0,7.5,47.7,13.0,103.3,0.24,4.0,direct_reuse
82918.0,6.3,62.2,88.6,7.7,2.39,12.0,direct_reuse
175335.0,13.7,58.4,19.0,255.3,1.51,22.0,direct_reuse
81760.0,58.3,9.5,102.4,42.3,11.38,31.0,treat_then_reuse
16311.0,83.1,69.7,80.0,309.9,1.01,49.0,treat_then_reuse
46776.0,6.5,18.4,70.9,106.7,1.02,16.0,direct_reuse
21582.0,21.6,13.4,4.7,48.5,2.55,3.0,direct_reuse
34105.0,22.3,21.4,20.5,14.2,2.14,24.0,direct_reuse
141190.0,19.1,47.7,87.1,984.7,2.22,33.0,direct_reuse
76594.0,19.3,37.8,27.8,217.8,2.35,9.0,direct_reuse
30054.0,17.7,20.0,39.1,232.6,2.04,8.0,direct_reuse
24110.0,61.5,47.9,3.8,665.6,0.96,499.0,treat_then_reuse
50159.0,36.3,27.4,200.8,115.2,4.87,2.0,direct_reuse
20919.0,5.2,15.5,7.8,398.5,1.03,26.0,direct_reuse
30644.0,27.6,13.9,1.8,53.2,4.69,59.0,direct_reuse
60986.0,30.1,34.1,13.2,202.6,10.02,7.0,direct_reuse
110053.0,17.9,23.0,1.1,45.0,0.68,9.0,direct_reuse
75067.0,37.3,8.2,5.5,51.7,37.56,7.0,treat_then_reuse
9859.0,15.9,48.3,432.8,100.2,0.65,12.0,direct_reuse
60661.0,16.1,16.7,12.7,22.3,0.66,47.0,direct_reuse
51556.0,15.0,87.7,3.6,129.3,3.33,9.0,direct_reuse
65495.0,2.2,8.0,20.7,63.9,2.93,1295.0,direct_reuse
151956.0,12.5,21.2,6.8,10.1,1.81,6.0,direct_reuse
11565.0,7.4,14.0,56.7,54.4,4.78,96.0,direct_reuse
32410.0,4.6,11.2,6.9,61.6,2.29,28.0,direct_reuse
74134.0,48.9,16.6,27.8,230.0,24.18,14.0,treat_then_reuse
16202.0,21.2,101.1,5.1,123.2,1.54,111.0,treat_then_reuse
137746.0,13.1,27.5,454.3,442.4,0.54,1.0,direct_reuse
63440.0,8.1,13.0,36.8,159.5,0.8,23.0,direct_reuse
88664.0,17.6,5.7,16.9,48.9,3.04,4.0,direct_reuse
32871.0,32.9,6.2,14.1,84.4,3.1,6.0,direct_reuse
86650.0,6.4,16.0,10.3,61.4,2.16,6.0,direct_reuse
103562.0,13.4,14.8,8.1,154.0,0.55,3.0,direct_reuse
57700.0,29.4,20.5,7.8,96.1,6.97,1.0,direct_reuse
57762.0,2.4,4.0,150.5,45.1,20.45,22.0,treat_then_reuse
59233.0,12.8,22.8,10.3,90.9,1.71,11.0,direct_reuse
26787.0,9.1,55.8,1.6,149.5,17.35,8.0,direct_reuse
44211.0,11.9,89.9,5.0,29.8,5.08,38.0,direct_reuse
44057.0,8.6,5.4,61.1,127.6,29.5,24.0,treat_then_reuse
64111.0,15.2,12.9,14.8,15.9,3.05,8.0,direct_reuse
98704.0,76.0,12.4,17.1,303.7,1.97,1184.0,treat_then_reuse
23366.0,10.1,27.6,81.8,160.8,4.93,56.0,direct_reuse
44913.0,17.5,9.2,7.9,540.3,0.94,477.0,direct_reuse
138278.0,81.1,94.2,42.9,26.4,2.8,7.0,treat_then_reuse
29129.0,8.2,25.4,9.0,313.2,9.3,18.0,direct_reuse
27568.0,68.9,22.2,40.1,252.0,4.78,2.0,treat_then_reuse
56478.0,13.5,87.7,12.6,73.7,1.58,7.0,direct_reuse
88528.0,66.9,24.2,15.0,59.5,2.14,5.0,treat_then_reuse
49414.0,26.4,33.8,53.7,27.3,4.41,1089.0,direct_reuse
124278.0,17.8,13.5,49.3,20.5,4.23,4.0,direct_reuse
89300.0,12.7,8.2,16.5,39.4,4.37,9.0,direct_reuse
88369.0,7.7,15.1,11.4,22.6,2.56,1.0,direct_reuse
72250.0,14.4,141.1,136.9,520.8,0.56,27.0,disposal
250035.0,30.2,40.7,40.7,17.2,0.69,3.0,disposal
42463.0,13.3,30.6,12.6,106.0,3.0,48.0,direct_reuse
12059.0,10.1,11.2,9.2,145.4,4.86,1.0,direct_reuse
150690.0,10.7,50.9,68.7,133.4,4.11,10.0,direct_reuse
35583.0,32.9,8.3,23.1,146.9,0.69,1.0,direct_reuse
52866.0,40.6,7.0,16.5,254.9,1.35,6.0,treat_then_reuse
122600.0,7.4,15.7,23.1,55.1,0.36,8.0,direct_reuse
