hour,gas_mmscfd,liq_bpd,press_psig,level_pct,foam_idx,antifoam_ppm,inlet_momentum,carryover
86,49.3,13622.0,187.9,52.0,0.45,0,0.284,0
87,50.5,14167.0,176.0,50.7,0.56,12,0.327,0
88,51.8,13958.0,181.9,49.7,0.71,12,0.327,0
89,51.7,12809.0,172.9,49.2,0.52,12,0.351,0
90,52.3,14998.0,184.0,48.8,0.69,0,0.329,1
91,50.5,13904.0,179.9,49.0,0.51,12,0.316,0
92,49.7,14521.0,181.7,49.5,0.65,0,0.302,0
93,50.6,13473.0,179.1,50.4,0.81,12,0.32,0
94,46.6,13884.0,178.5,51.6,0.72,0,0.273,0
95,47.3,13393.0,174.8,53.0,0.46,12,0.289,0
96,47.6,14865.0,184.7,54.5,0.73,12,0.271,0
97,48.5,14218.0,188.9,56.1,0.82,0,0.273,0
98,52.0,14257.0,176.7,57.5,0.92,12,0.345,0
99,48.8,14951.0,183.3,58.8,0.69,12,0.288,0
100,50.2,14809.0,182.6,59.7,0.5,12,0.306,0
101,54.4,14535.0,180.0,60.4,0.68,12,0.367,1
102,50.3,13004.0,170.8,60.5,0.8,12,0.338,0
103,53.1,13512.0,172.2,60.3,0.62,12,0.372,0
104,49.0,13296.0,175.3,59.6,0.74,12,0.308,0
105,50.8,14508.0,167.2,58.6,0.55,12,0.356,0
106,49.0,14117.0,188.4,57.6,0.67,12,0.279,0
107,50.6,13024.0,182.2,56.1,0.38,12,0.312,0
108,53.6,13865.0,179.8,54.4,0.53,0,0.356,0
109,47.2,12950.0,166.9,53.0,0.62,12,0.307,0
110,52.6,13958.0,169.1,51.5,0.58,0,0.375,1
111,52.2,12836.0,180.0,50.3,0.49,0,0.338,0
112,50.1,14364.0,191.8,49.3,0.57,12,0.285,0
113,48.1,14257.0,175.8,48.8,0.65,0,0.296,1
114,51.9,15327.0,185.2,48.5,0.6,12,0.321,0
115,50.4,14584.0,177.1,48.9,0.62,12,0.322,0
116,52.4,13693.0,180.3,49.4,0.68,12,0.339,0
117,51.9,14561.0,187.3,50.3,0.57,12,0.316,0
118,55.9,13008.0,177.9,51.7,0.74,12,0.393,1
119,51.3,13312.0,175.9,53.2,0.5,12,0.337,0
120,49.4,14217.0,188.5,55.0,0.79,12,0.283,0
121,52.4,12472.0,180.3,56.5,0.7,12,0.34,0
122,52.5,13955.0,186.5,58.0,0.55,12,0.326,0
123,55.4,13265.0,175.9,59.5,0.56,12,0.393,0
124,54.2,14048.0,188.4,60.2,0.6,12,0.341,0
125,53.0,13221.0,181.6,60.6,0.64,0,0.344,0
126,55.8,14271.0,182.6,60.8,0.69,12,0.378,0
127,49.2,13985.0,180.8,60.6,0.44,12,0.298,0
128,50.6,14950.0,177.0,59.9,0.61,12,0.325,0
129,49.9,13973.0,180.0,59.0,0.35,0,0.309,0
130,51.3,13428.0,177.3,57.8,0.55,12,0.333,0
131,48.8,13791.0,185.8,56.6,0.7,12,0.283,0
132,53.9,13020.0,178.8,55.2,0.41,0,0.364,0
133,51.8,14243.0,171.0,53.7,0.39,12,0.357,0
134,48.7,14369.0,169.9,52.4,0.57,0,0.319,1
135,49.9,15683.0,169.6,51.2,0.68,12,0.335,0
136,53.2,13516.0,183.7,50.2,0.57,0,0.341,0
137,54.5,13762.0,173.1,49.4,0.35,12,0.39,0
138,57.5,13543.0,181.8,49.2,0.36,12,0.404,0
139,59.8,14092.0,180.8,49.4,0.54,12,0.44,0
140,53.6,14208.0,179.6,50.0,0.41,12,0.357,0
141,50.1,13901.0,182.6,50.7,0.53,12,0.305,0
142,47.2,14696.0,180.9,51.9,0.54,0,0.275,1
143,53.3,13500.0,163.7,53.4,0.46,0,0.402,0
144,50.6,14619.0,178.1,55.0,0.69,0,0.322,0
145,51.6,14303.0,182.6,56.7,0.56,12,0.324,0
146,51.1,13914.0,189.8,58.2,0.62,0,0.301,0
147,52.3,13699.0,190.1,59.3,0.59,0,0.314,0
148,55.4,15615.0,171.8,60.1,0.48,12,0.406,0
149,53.1,13341.0,177.9,60.7,0.47,12,0.355,0
150,52.3,14118.0,170.6,60.8,0.45,12,0.366,0
151,50.2,13381.0,189.1,60.7,0.55,12,0.291,0
152,48.6,15152.0,186.1,60.3,0.41,12,0.279,0
153,51.6,14520.0,182.1,59.2,0.64,12,0.324,0
154,52.7,13420.0,181.0,58.0,0.39,12,0.341,0
155,57.2,14250.0,188.3,56.7,0.48,12,0.381,0
156,53.2,14068.0,187.3,55.3,0.43,0,0.331,0
157,55.3,13522.0,186.9,53.5,0.41,12,0.36,0
158,51.6,14411.0,182.7,51.9,0.66,0,0.323,0
159,49.9,14148.0,177.9,50.5,0.4,12,0.314,0
160,50.5,14023.0,184.6,49.6,0.41,0,0.305,0
161,51.1,13838.0,184.9,49.1,0.37,0,0.312,0
162,58.2,14165.0,178.9,48.6,0.43,0,0.424,1
163,50.9,14020.0,177.9,48.7,0.41,12,0.326,0
164,55.0,13896.0,186.8,49.4,0.31,12,0.356,0
165,50.7,13402.0,190.0,50.4,0.37,12,0.295,0
166,55.3,15032.0,175.5,51.7,0.47,12,0.392,0
167,53.9,13106.0,178.4,53.1,0.51,0,0.365,0
168,52.6,14136.0,182.1,54.5,0.4,12,0.337,0
169,52.9,13608.0,182.9,56.0,0.4,12,0.339,0
170,51.3,15059.0,176.9,57.5,0.35,0,0.335,0
171,54.1,13190.0,191.3,58.8,0.34,12,0.333,0
172,51.8,13303.0,182.5,59.8,0.29,0,0.327,0
173,49.9,13134.0,183.2,60.4,0.22,12,0.301,0
174,49.8,14035.0,190.6,60.8,0.3,12,0.284,0
175,53.4,12842.0,177.3,60.5,0.46,12,0.361,0
176,56.9,13463.0,179.5,59.8,0.32,12,0.404,0
177,53.4,12286.0,172.5,58.9,0.32,0,0.375,0
178,52.7,13956.0,179.0,57.6,0.32,0,0.347,0
179,53.7,13432.0,171.1,56.3,0.47,12,0.384,0
180,56.3,12736.0,184.5,54.5,0.25,12,0.379,0
181,53.5,14532.0,182.5,53.2,0.37,0,0.349,0
182,52.0,12851.0,178.3,51.8,0.33,12,0.339,0
183,55.8,14319.0,179.4,50.6,0.34,12,0.387,0
184,54.1,13265.0,184.6,49.5,0.35,12,0.35,0
185,56.8,14871.0,173.2,49.0,0.33,0,0.423,0
186,53.4,14269.0,181.2,48.7,0.4,12,0.351,0
187,49.9,13033.0,184.2,49.2,0.31,12,0.299,0
188,49.6,13091.0,169.3,49.7,0.48,0,0.332,0
189,57.1,14151.0,184.1,50.9,0.31,0,0.392,0
190,57.3,13537.0,170.0,52.1,0.13,12,0.441,0
191,52.5,13596.0,179.3,53.7,0.36,12,0.344,0
192,52.0,14600.0,173.0,55.2,0.33,0,0.354,0
193,56.6,13179.0,188.6,56.7,0.29,12,0.372,0
194,50.2,13761.0,173.1,58.3,0.26,0,0.33,0
195,50.7,14359.0,170.1,59.6,0.07,12,0.345,0
196,54.5,14251.0,180.8,60.7,0.08,12,0.366,0
197,51.9,13566.0,177.5,61.2,0.44,0,0.341,0
198,52.9,13469.0,171.0,61.4,0.21,12,0.373,0
199,52.5,12448.0,183.2,61.4,0.36,12,0.333,0
200,53.7,12919.0,168.1,60.7,0.1,12,0.394,0
201,56.4,13875.0,173.8,59.8,0.15,0,0.414,1
202,53.1,13549.0,176.5,58.5,0.32,12,0.359,0
203,54.4,13692.0,184.8,57.1,0.24,0,0.354,0
204,47.7,14360.0,187.8,55.6,0.3,12,0.266,0
205,52.7,12794.0,186.6,53.9,0.24,12,0.327,0
206,50.7,13453.0,179.1,52.5,0.22,0,0.321,0
207,49.7,13744.0,165.4,51.2,0.17,0,0.345,0
208,50.6,13112.0,182.3,50.3,0.11,0,0.311,0
209,51.9,14600.0,188.8,49.9,0.37,12,0.312,0
210,55.0,14227.0,187.4,49.8,0.38,12,0.355,0
211,49.4,13787.0,182.8,50.0,0.12,12,0.296,0
212,52.8,14833.0,172.9,50.5,0.11,12,0.365,0
213,51.5,12520.0,176.8,51.4,0.18,12,0.337,0
214,51.8,13557.0,191.6,52.9,0.24,12,0.305,0
215,55.1,13812.0,171.5,54.2,0.19,12,0.403,0
216,54.0,12908.0,173.1,55.7,0.25,12,0.381,0
217,55.9,13751.0,185.7,57.3,0.2,12,0.371,0
218,52.2,12758.0,177.4,58.8,0.19,12,0.344,0
219,50.8,14009.0,172.9,59.9,0.44,12,0.339,0
220,52.0,14258.0,189.2,60.7,0.14,12,0.312,0
221,53.1,13701.0,182.8,61.3,0.35,12,0.342,0
222,52.9,12206.0,177.7,61.4,0.33,0,0.353,0
223,49.7,12818.0,173.1,61.3,0.24,12,0.324,0
224,52.6,13882.0,192.3,60.7,0.0,0,0.313,0
225,53.0,13494.0,179.9,59.7,0.18,12,0.348,0
226,58.7,11586.0,188.4,58.5,0.13,0,0.4,0
227,57.0,14334.0,185.4,57.1,0.18,0,0.387,0
228,50.2,13551.0,176.9,55.5,0.07,0,0.32,0
229,51.6,12874.0,176.9,54.1,0.25,0,0.338,0
230,48.6,14136.0,188.7,52.5,0.27,0,0.274,0
231,50.7,12957.0,188.8,51.4,0.29,12,0.299,0
232,53.0,12941.0,168.7,50.4,0.13,12,0.381,0
233,55.2,13666.0,183.3,49.8,0.06,12,0.368,0
234,50.3,14654.0,179.3,49.5,0.2,0,0.315,0
235,50.5,14535.0,173.8,49.6,0.34,0,0.332,0
236,46.7,13642.0,181.6,50.0,0.17,12,0.267,0
237,51.6,13706.0,171.9,50.9,0.21,12,0.352,0
238,49.3,13927.0,177.2,52.2,0.14,12,0.309,0
239,50.6,12485.0,175.2,53.5,0.11,12,0.33,0
240,49.7,13807.0,177.0,54.9,0.22,12,0.314,0
241,51.7,12834.0,179.6,56.3,0.14,12,0.332,0
242,47.5,13562.0,173.9,57.7,0.19,0,0.293,0
243,48.2,13171.0,189.4,58.9,0.2,12,0.268,0
244,57.1,13673.0,183.0,59.9,0.19,0,0.395,0
245,48.5,13396.0,190.8,60.6,0.21,12,0.269,0
246,49.0,11153.0,179.0,60.9,0.07,12,0.299,0
247,56.3,13421.0,176.7,61.0,0.06,12,0.403,0
248,58.9,13736.0,190.6,60.2,0.15,12,0.397,0
249,48.7,13590.0,176.5,59.1,0.15,12,0.302,0
250,50.6,13197.0,178.9,58.0,0.1,0,0.32,0
251,52.4,14409.0,184.3,56.5,0.17,12,0.329,0
252,55.8,13469.0,172.6,55.0,0.24,12,0.409,1
253,49.0,13548.0,184.3,53.5,0.27,12,0.288,0
254,50.8,13963.0,183.5,52.2,0.29,12,0.311,0
255,53.3,13477.0,187.6,51.1,0.02,12,0.332,0
256,52.4,12585.0,185.3,50.3,0.03,12,0.327,0
257,50.3,11498.0,187.8,49.6,0.12,12,0.296,0
258,50.9,12861.0,179.3,49.4,0.16,0,0.323,0
259,47.7,13719.0,174.8,49.6,0.13,12,0.294,0
260,50.5,12929.0,192.7,50.0,0.1,12,0.288,0
261,50.4,13728.0,170.8,51.1,0.12,12,0.339,0
262,51.6,13262.0,171.4,52.5,0.2,12,0.354,0
263,49.6,14050.0,183.4,53.9,0.02,12,0.297,0
264,52.1,12932.0,189.7,55.6,0.39,0,0.313,0
265,53.4,13456.0,181.1,57.1,0.16,0,0.351,0
266,51.2,13474.0,186.0,58.3,0.26,12,0.311,0
267,51.7,14161.0,168.0,59.6,0.1,12,0.365,0
268,50.9,11905.0,177.0,60.4,0.22,12,0.329,0
269,50.7,12769.0,168.8,61.0,0.17,12,0.349,0
270,48.9,13675.0,184.7,61.3,0.25,0,0.285,0
271,51.4,14153.0,170.7,61.1,0.15,12,0.353,0
272,50.3,13229.0,172.3,60.6,0.32,0,0.334,0
273,55.7,12846.0,183.1,59.7,0.02,12,0.376,0
274,54.4,13571.0,186.4,58.5,0.27,12,0.349,0
275,51.4,13639.0,179.0,57.0,0.18,0,0.33,0
276,48.4,12769.0,183.4,55.5,0.07,12,0.283,0
277,47.5,13242.0,183.2,53.7,0.37,0,0.273,0
278,53.2,13828.0,178.7,52.5,0.36,0,0.355,0
279,50.9,14314.0,173.4,51.1,0.0,12,0.338,0
280,51.3,13501.0,183.4,50.1,0.2,12,0.318,0
281,45.7,13002.0,183.7,49.3,0.26,12,0.252,0
282,52.4,12923.0,185.4,49.0,0.23,12,0.326,0
283,51.1,13341.0,181.9,49.2,0.34,12,0.319,0
284,47.1,12859.0,173.0,49.8,0.32,12,0.291,0
285,48.7,13063.0,184.1,50.9,0.22,12,0.285,0
286,50.5,12179.0,180.0,52.1,0.43,0,0.316,0
287,49.9,13817.0,177.1,53.5,0.3,0,0.316,0
288,49.0,12101.0,178.2,55.1,0.17,12,0.301,0
289,49.4,12586.0,175.9,56.8,0.15,12,0.312,0
290,49.0,12946.0,185.3,58.3,0.33,12,0.285,0
291,49.9,14261.0,171.5,59.4,0.13,12,0.331,0
292,53.2,12561.0,174.0,60.3,0.18,0,0.367,0
293,43.0,12380.0,178.0,60.9,0.2,0,0.233,0
294,48.8,12450.0,189.7,61.2,0.26,0,0.274,0
295,49.7,13987.0,186.3,60.9,0.21,12,0.292,0
296,50.0,10846.0,170.2,60.4,0.1,0,0.335,0
297,48.3,12102.0,188.1,59.3,0.35,0,0.271,0
298,44.7,14705.0,188.1,58.2,0.2,12,0.233,0
299,49.9,13196.0,173.0,56.8,0.44,12,0.326,0
300,53.3,11998.0,164.9,55.1,0.27,12,0.399,0
301,45.1,12732.0,179.6,53.5,0.37,12,0.253,0
302,51.0,12798.0,186.7,52.0,0.31,12,0.307,0
303,48.0,13332.0,189.5,50.8,0.39,12,0.266,0
304,48.6,14016.0,174.8,49.8,0.32,12,0.305,0
305,46.1,12990.0,190.5,49.1,0.29,0,0.243,0
306,47.8,12329.0,166.6,48.7,0.38,0,0.316,0
307,51.8,13247.0,177.8,49.0,0.52,0,0.339,0
308,50.0,12196.0,177.5,49.6,0.25,0,0.316,0
309,52.8,11951.0,186.9,50.6,0.36,12,0.328,0
310,51.3,11431.0,187.8,51.8,0.28,0,0.308,0
311,49.4,11557.0,185.7,53.2,0.34,12,0.29,0
312,52.6,12014.0,171.9,54.8,0.3,0,0.366,0
313,49.3,11806.0,185.2,56.6,0.08,0,0.289,0
314,50.2,12839.0,183.1,58.2,0.28,12,0.305,0
315,47.3,11769.0,170.0,59.4,0.4,12,0.301,0
316,48.2,10397.0,167.6,60.3,0.23,12,0.318,0
317,46.2,11855.0,186.2,60.6,0.41,12,0.252,0
318,50.3,12245.0,178.9,60.9,0.34,12,0.317,0
319,44.9,12140.0,172.3,60.8,0.3,12,0.265,0
320,49.7,13616.0,178.8,60.1,0.42,12,0.309,0
321,47.2,12112.0,182.2,59.0,0.4,12,0.271,0
322,50.5,13147.0,179.5,57.6,0.38,0,0.318,0
323,49.4,12506.0,170.7,56.2,0.44,12,0.326,0
324,52.0,12478.0,191.3,54.7,0.36,0,0.308,0
325,49.2,11912.0,186.0,53.2,0.18,12,0.287,0
326,43.4,12444.0,178.0,51.8,0.32,12,0.237,0
327,47.1,11938.0,178.2,50.7,0.18,12,0.279,0
328,44.3,12582.0,182.2,49.7,0.43,0,0.239,0
329,45.8,12286.0,173.2,49.2,0.46,12,0.275,0
330,50.8,11779.0,181.9,48.8,0.47,12,0.316,0
331,48.6,13123.0,172.0,48.8,0.43,12,0.312,0
332,45.2,12716.0,179.6,49.4,0.48,12,0.254,0
333,44.3,12092.0,173.0,50.5,0.23,12,0.258,0
334,46.9,12496.0,173.3,51.9,0.38,12,0.287,0
335,43.7,12324.0,189.9,53.4,0.25,12,0.22,0
336,45.0,11764.0,180.4,54.9,0.36,0,0.25,0
337,47.4,12409.0,181.2,56.2,0.57,12,0.276,0
338,49.4,11914.0,167.9,57.7,0.52,12,0.334,0
339,48.0,11676.0,176.4,58.9,0.48,12,0.294,0
340,40.7,11190.0,182.8,60.2,0.4,0,0.201,0
341,47.1,12063.0,181.2,60.7,0.32,12,0.272,0
342,46.4,12700.0,167.1,61.2,0.45,12,0.297,0
343,47.2,11805.0,181.2,61.1,0.54,12,0.274,0
344,50.2,14044.0,182.2,60.3,0.48,0,0.307,0
345,40.9,12888.0,187.7,59.4,0.28,12,0.195,0
346,44.5,13170.0,176.1,58.3,0.46,0,0.253,0
347,47.4,12802.0,166.5,56.8,0.26,0,0.311,0
348,41.9,13530.0,174.0,55.3,0.54,12,0.228,0
349,49.5,11671.0,173.4,53.9,0.39,12,0.32,0
350,46.6,10418.0,184.4,52.5,0.34,12,0.26,0
351,47.7,11886.0,163.7,51.3,0.55,12,0.323,0
352,44.1,12578.0,177.3,50.2,0.53,12,0.247,0
353,47.5,12282.0,188.6,49.6,0.5,12,0.262,0
354,48.1,12357.0,180.0,49.4,0.7,12,0.287,0
355,45.9,13077.0,185.4,49.4,0.55,0,0.251,0
356,45.9,12408.0,170.1,50.0,0.43,12,0.282,0
357,45.9,12688.0,170.4,50.9,0.55,12,0.282,0
358,43.0,11460.0,188.6,52.0,0.47,12,0.215,0
359,44.7,11339.0,180.6,53.4,0.63,12,0.247,0
360,44.6,13224.0,180.6,54.9,0.54,12,0.246,0
361,45.9,12153.0,173.3,56.7,0.55,0,0.275,0
362,47.4,11635.0,180.6,58.2,0.37,12,0.277,0
363,42.1,11625.0,173.1,59.6,0.53,12,0.233,0
364,44.4,11593.0,187.1,60.5,0.52,0,0.232,0
365,48.4,11540.0,196.4,60.9,0.43,12,0.257,0
366,42.7,11126.0,182.9,61.2,0.51,12,0.221,0
367,42.5,10963.0,176.2,60.9,0.58,12,0.23,0
368,44.9,11865.0,164.8,60.2,0.54,12,0.284,0
369,46.5,11575.0,169.9,59.1,0.4,0,0.291,0
370,44.3,12753.0,189.3,57.9,0.52,0,0.227,0
371,47.6,12172.0,173.8,56.6,0.51,12,0.294,0
372,46.3,12140.0,177.8,55.2,0.58,12,0.27,0
373,46.2,11423.0,183.9,53.8,0.57,0,0.257,0
374,45.4,11847.0,188.9,52.6,0.52,12,0.239,0
375,49.8,12173.0,178.8,51.1,0.52,0,0.31,0
376,43.4,12410.0,177.6,50.0,0.58,0,0.238,1
377,38.8,11831.0,180.4,49.2,0.67,12,0.186,0
378,47.8,12640.0,176.2,49.0,0.6,12,0.291,0
379,42.5,11879.0,176.6,49.1,0.72,12,0.23,0
380,43.9,12417.0,182.5,49.7,0.7,12,0.234,0
381,46.8,11507.0,181.1,50.6,0.74,12,0.269,0
382,39.5,10570.0,192.8,51.9,0.73,12,0.176,0
383,40.3,12015.0,182.6,53.2,0.75,12,0.197,0
384,39.3,12323.0,186.9,54.6,0.48,0,0.182,0
385,41.3,12207.0,173.6,56.1,0.66,12,0.222,0
386,44.3,12088.0,183.2,57.7,0.72,0,0.237,1
387,44.4,11537.0,175.7,59.0,0.74,12,0.253,0
388,43.8,11204.0,182.4,59.8,0.53,0,0.233,0
389,39.5,12144.0,184.1,60.2,0.67,0,0.187,0
390,37.2,12045.0,180.3,60.5,0.62,0,0.171,0
391,43.0,11342.0,194.4,60.2,0.8,12,0.206,0
392,41.6,12500.0,188.6,59.4,0.48,0,0.201,0
393,43.9,11093.0,187.1,58.3,0.54,12,0.226,0
394,44.4,11291.0,184.6,56.9,0.44,0,0.236,1
395,42.9,12834.0,190.6,55.3,0.64,12,0.211,0
396,44.4,12285.0,171.4,53.7,0.85,12,0.262,0
397,43.0,11415.0,188.2,52.0,0.62,12,0.216,0
398,43.7,11855.0,174.1,50.6,0.64,12,0.248,0
399,40.6,11751.0,176.6,49.3,0.69,12,0.21,0
400,41.8,9709.0,183.4,48.6,0.62,12,0.211,0
401,42.7,10985.0,187.4,47.8,0.67,12,0.214,0
402,44.2,11573.0,173.1,47.7,0.68,0,0.256,0
403,41.1,11347.0,176.9,47.9,0.55,12,0.214,0
404,43.3,11758.0,180.6,48.4,0.63,12,0.231,0
405,41.3,12365.0,178.9,49.3,0.71,0,0.213,0
406,41.6,11338.0,185.1,50.7,0.73,12,0.206,0
407,43.9,10811.0,200.6,52.1,0.77,0,0.205,0
408,36.8,11767.0,182.5,53.8,0.68,12,0.164,0
409,38.4,11300.0,175.6,55.1,0.68,12,0.19,0
410,37.9,11408.0,172.2,56.5,0.72,12,0.19,0
411,35.7,11302.0,178.0,57.9,0.59,0,0.161,0
412,39.8,13064.0,174.4,59.0,0.58,0,0.205,0
413,43.3,9915.0,182.8,59.6,0.64,0,0.227,1
414,40.7,11201.0,182.7,60.0,0.52,12,0.201,0
415,41.8,11459.0,177.2,59.5,0.69,0,0.221,0
416,44.0,10903.0,191.9,59.0,0.75,12,0.219,0
417,44.5,12069.0,175.6,58.2,0.58,12,0.254,0
418,40.9,11997.0,179.3,56.9,0.69,12,0.209,0
419,44.4,11383.0,183.8,55.8,0.59,0,0.238,0
420,41.2,11216.0,185.4,54.2,0.55,0,0.202,0
421,38.8,11316.0,187.7,52.4,0.86,12,0.176,0
422,39.4,11310.0,182.6,51.0,0.55,0,0.189,1
423,37.1,11317.0,186.3,49.7,0.52,12,0.163,0
424,38.5,11230.0,176.0,48.9,0.67,12,0.19,0
425,39.8,11527.0,185.5,48.3,0.68,12,0.188,0
426,42.7,11866.0,185.4,48.1,0.72,0,0.216,1
427,44.9,10467.0,189.1,48.4,0.85,12,0.233,0
428,37.1,10582.0,170.0,49.1,0.57,12,0.185,0
429,41.5,10082.0,174.6,50.0,0.59,0,0.222,0
430,37.8,11902.0,184.9,51.2,0.81,12,0.171,0
431,41.5,11460.0,164.1,52.7,0.74,0,0.244,0
432,40.0,11627.0,183.0,54.2,0.72,12,0.194,0
433,35.7,10262.0,186.4,55.8,0.58,12,0.15,0
434,42.5,12501.0,176.5,57.2,0.75,0,0.23,0
435,38.6,10815.0,177.4,58.3,0.72,12,0.189,0
436,38.7,11348.0,173.6,59.0,0.66,12,0.196,0
437,37.3,11818.0,176.9,59.6,0.58,12,0.177,0
438,38.3,10518.0,177.0,59.6,0.65,0,0.186,1
439,41.0,10816.0,175.9,59.3,0.8,12,0.215,0
440,39.4,11313.0,175.6,58.5,0.52,0,0.199,0
441,40.6,13177.0,178.4,57.3,0.55,0,0.207,0
442,40.7,11377.0,178.3,56.1,0.57,12,0.208,0
443,43.0,12280.0,191.2,54.7,0.59,12,0.211,0
444,38.8,11989.0,177.6,53.1,0.62,12,0.19,0
445,35.9,11393.0,182.1,51.4,0.72,12,0.157,0
446,42.2,10432.0,176.5,49.8,0.67,12,0.227,0
447,38.7,11856.0,176.5,48.6,0.62,12,0.191,0
