Sample_ID,Porosity_frac,Permeability_md,Pc_psi,Sw_frac,IFT_dynes_cm,Contact_Angle_deg
85,0.1471,4.62,1.65,1.0,30,0
86,0.1137,6.67,7.76,1.0,30,0
87,0.1726,36.54,22.36,0.3521,30,0
88,0.163,18.07,28.15,0.4273,30,0
89,0.1208,6.45,32.59,0.4171,30,0
90,0.1945,22.55,0.5,1.0,30,0
91,0.1558,13.69,23.32,0.4648,30,0
92,0.1806,38.95,10.48,0.5552,30,0
93,0.0899,5.25,3.46,1.0,30,0
94,0.1516,8.22,10.36,1.0,30,0
95,0.1432,7.61,27.89,0.3949,30,0
96,0.101,2.1,8.54,1.0,30,0
97,0.1449,17.38,69.79,0.1949,30,0
98,0.1993,16.66,14.38,0.6108,30,0
99,0.1154,12.26,10.09,0.7797,30,0
100,0.1529,9.19,5.24,1.0,30,0
101,0.0439,2.23,0.5,1.0,30,0
102,0.114,7.35,14.15,0.6622,30,0
103,0.1648,8.07,12.92,0.811,30,0
104,0.1281,4.65,10.91,1.0,30,0
105,0.1313,10.04,11.57,0.7664,30,0
106,0.159,19.78,27.82,0.3952,30,0
107,0.2425,117.15,5.72,0.7331,30,0
108,0.1687,15.02,11.99,0.7491,30,0
109,0.1874,16.59,17.09,0.5397,30,0
110,0.1373,11.14,3.53,1.0,30,0
111,0.0257,1.22,38.82,0.4674,30,0
112,0.1519,11.8,20.04,0.5434,30,0
113,0.1437,13.1,0.82,1.0,30,0
114,0.2422,234.13,30.05,0.1956,30,0
115,0.1467,9.67,39.86,0.2935,30,0
116,0.1602,17.49,23.67,0.4161,30,0
117,0.1545,11.69,8.33,0.9662,30,0
118,0.076,3.0,77.71,0.2673,30,0
119,0.2146,48.01,1.99,1.0,30,0
120,0.1598,30.03,11.54,0.5611,30,0
121,0.1714,31.48,2.8,1.0,30,0
122,0.1015,4.09,8.68,1.0,30,0
123,0.2522,65.59,39.35,0.1182,30,0
124,0.0984,2.27,23.72,0.7531,30,0
125,0.1997,24.64,22.85,0.4163,30,0
126,0.2835,168.77,6.55,0.5695,30,0
127,0.1745,3.71,40.83,0.493,30,0
128,0.1236,6.17,6.89,1.0,30,0
129,0.1832,13.73,0.61,1.0,30,0
130,0.1461,6.66,15.23,0.6735,30,0
131,0.0955,1.89,6.76,1.0,30,0
132,0.1888,13.23,2.5,1.0,30,0
133,0.0906,3.4,40.92,0.4295,30,0
134,0.1628,21.51,15.21,0.4696,30,0
135,0.1123,4.04,42.33,0.3919,30,0
136,0.2207,78.25,13.12,0.4963,30,0
137,0.1188,4.76,0.99,1.0,30,0
138,0.1658,8.28,0.5,1.0,30,0
139,0.1795,32.34,34.62,0.258,30,0
140,0.0848,2.78,0.59,1.0,30,0
141,0.1644,16.01,14.32,0.6138,30,0
142,0.2082,58.47,5.31,0.9029,30,0
143,0.0346,1.77,17.45,0.6673,30,0
144,0.1473,15.2,5.03,1.0,30,0
145,0.1762,16.64,0.57,1.0,30,0
146,0.2163,31.13,19.69,0.4876,30,0
147,0.0675,2.76,5.59,1.0,30,0
148,0.0634,2.5,12.0,0.9218,30,0
149,0.1757,22.79,22.3,0.4784,30,0
150,0.1227,17.4,18.2,0.4179,30,0
151,0.1531,16.45,6.43,0.9668,30,0
152,0.1319,18.46,20.66,0.4167,30,0
153,0.1447,5.39,38.99,0.4589,30,0
154,0.1458,16.1,14.12,0.5505,30,0
155,0.1971,17.32,18.24,0.5437,30,0
156,0.138,5.17,30.14,0.4512,30,0
157,0.2266,114.31,27.83,0.2172,30,0
158,0.1513,21.51,6.5,0.9764,30,0
159,0.0889,2.92,71.87,0.2626,30,0
160,0.1794,26.79,0.5,1.0,30,0
161,0.1101,3.78,64.81,0.3405,30,0
162,0.1722,31.33,4.24,1.0,30,0
163,0.2205,48.93,8.71,0.7792,30,0
164,0.1159,4.55,32.27,0.4991,30,0
165,0.1894,38.71,4.2,1.0,30,0
166,0.1556,19.99,3.82,1.0,30,0
167,0.1858,32.67,15.45,0.508,30,0
168,0.2247,118.65,18.33,0.2498,30,0
169,0.1394,9.08,0.5,1.0,30,0
170,0.1155,4.93,8.98,1.0,30,0
171,0.1125,4.19,10.07,1.0,30,0
172,0.1462,4.58,4.76,1.0,30,0
173,0.1437,11.11,11.85,0.7675,30,0
174,0.1865,18.35,2.52,1.0,30,0
175,0.1679,16.98,5.86,1.0,30,0
176,0.1849,32.87,18.74,0.4767,30,0
177,0.1482,12.37,31.05,0.4807,30,0
178,0.2186,69.7,13.35,0.4456,30,0
179,0.1429,8.87,1.17,1.0,30,0
180,0.2614,318.68,17.03,0.2862,30,0
181,0.1507,25.81,34.18,0.3602,30,0
182,0.1219,4.36,10.53,1.0,30,0
183,0.1166,3.37,10.21,1.0,30,0
184,0.1881,21.74,71.36,0.2446,30,0
185,0.1424,9.32,15.17,0.7114,30,0
186,0.1996,28.7,24.6,0.4234,30,0
187,0.187,21.5,15.6,0.5905,30,0
188,0.1623,11.16,3.74,1.0,30,0
189,0.0922,4.41,5.01,1.0,30,0
190,0.0553,1.98,16.44,0.8271,30,0
191,0.1208,7.13,9.13,0.9188,30,0
192,0.1908,34.04,7.77,0.8299,30,0
193,0.1554,15.75,0.5,1.0,30,0
194,0.0527,2.73,32.36,0.403,30,0
195,0.1927,15.0,32.38,0.3981,30,0
196,0.163,19.34,9.27,0.8436,30,0
197,0.111,4.22,18.1,0.7423,30,0
198,0.1823,14.65,2.94,1.0,30,0
199,0.1059,13.06,10.51,0.6422,30,0
200,0.0849,3.09,8.67,1.0,30,0
201,0.1594,18.72,16.03,0.4547,30,0
202,0.1702,23.88,9.51,0.7397,30,0
203,0.1985,44.69,10.35,0.5544,30,0
204,0.2295,43.14,5.26,1.0,30,0
205,0.0973,2.33,0.74,1.0,30,0
206,0.1241,3.95,37.34,0.5567,30,0
207,0.1757,22.6,0.5,1.0,30,0
208,0.1467,22.57,4.96,1.0,30,0
209,0.1331,22.6,8.9,0.6933,30,0
210,0.3043,1240.51,5.76,0.2987,30,0
211,0.1846,24.17,12.04,0.6137,30,0
212,0.2051,47.59,9.29,0.6571,30,0
213,0.1916,38.28,4.43,0.9842,30,0
214,0.1739,26.62,1.38,1.0,30,0
215,0.1751,8.35,2.22,1.0,30,0
216,0.17,30.29,9.99,0.6414,30,0
217,0.1315,4.82,28.06,0.5212,30,0
218,0.1387,9.17,1.59,1.0,30,0
219,0.1255,6.8,16.96,0.6164,30,0
220,0.1775,13.44,23.56,0.5341,30,0
221,0.2904,195.9,4.86,0.629,30,0
222,0.0556,1.3,16.55,0.9491,30,0
223,0.1989,27.76,17.41,0.435,30,0
224,0.0799,1.76,18.45,0.8552,30,0
225,0.1275,6.91,33.22,0.4277,30,0
226,0.2064,45.0,7.63,0.6855,30,0
227,0.1393,13.16,4.19,1.0,30,0
228,0.0921,3.34,11.77,0.8785,30,0
229,0.1041,5.16,0.97,1.0,30,0
230,0.2006,27.54,6.1,1.0,30,0
231,0.113,5.07,32.21,0.427,30,0
232,0.1344,15.8,11.39,0.6907,30,0
233,0.1377,12.87,8.61,0.8925,30,0
234,0.0547,5.57,4.63,1.0,30,0
235,0.243,159.61,4.32,0.6639,30,0
236,0.1812,26.07,4.05,1.0,30,0
237,0.0501,1.07,26.51,0.5969,30,0
238,0.1986,15.24,63.02,0.2191,30,0
239,0.1297,5.51,11.48,0.9499,30,0
240,0.2015,33.88,1.25,1.0,30,0
241,0.0791,4.71,20.86,0.5096,30,0
242,0.1372,10.62,31.44,0.3831,30,0
243,0.1645,22.33,40.15,0.3196,30,0
244,0.1758,34.43,14.86,0.4314,30,0
245,0.0764,2.89,10.61,0.9336,30,0
246,0.0978,8.15,14.53,0.6746,30,0
247,0.1017,6.89,0.5,1.0,30,0
248,0.1361,5.56,15.98,0.7397,30,0
249,0.2319,101.35,18.55,0.3236,30,0
250,0.1593,19.81,19.2,0.475,30,0
251,0.0894,2.68,12.42,1.0,30,0
252,0.2174,36.65,18.06,0.4314,30,0
253,0.2519,155.49,15.28,0.3251,30,0
254,0.2104,42.05,1.84,1.0,30,0
255,0.0601,1.97,34.3,0.5309,30,0
256,0.1144,6.81,14.62,0.6876,30,0
257,0.2179,55.72,19.52,0.5281,30,0
258,0.1539,5.21,6.3,1.0,30,0
259,0.1999,20.75,37.74,0.3401,30,0
260,0.1988,30.86,10.48,0.6873,30,0
261,0.1085,4.01,17.04,0.7603,30,0
262,0.1752,11.34,45.61,0.3508,30,0
263,0.02,0.25,37.17,0.7659,30,0
264,0.055,3.56,15.53,0.6368,30,0
265,0.1168,9.0,2.72,1.0,30,0
266,0.0969,2.73,45.11,0.3724,30,0
267,0.1926,86.39,62.16,0.1903,30,0
268,0.0634,2.19,1.64,1.0,30,0
269,0.1149,7.18,8.98,1.0,30,0
270,0.1512,14.25,11.92,0.7464,30,0
271,0.2134,68.68,1.45,1.0,30,0
272,0.0753,2.17,3.15,1.0,30,0
273,0.2223,49.2,11.57,0.5226,30,0
274,0.1452,12.33,49.49,0.1814,30,0
275,0.0952,3.75,0.5,1.0,30,0
276,0.1452,21.21,36.53,0.3255,30,0
277,0.18,15.47,34.33,0.3134,30,0
278,0.1078,5.93,29.19,0.3901,30,0
279,0.1316,13.25,7.11,0.9348,30,0
280,0.1358,7.67,10.12,0.9889,30,0
281,0.1401,13.96,7.75,0.9688,30,0
282,0.1713,26.97,44.23,0.2605,30,0
283,0.2313,81.71,11.05,0.5629,30,0
284,0.0841,2.76,1.26,1.0,30,0
285,0.2986,157.53,4.8,0.7226,30,0
286,0.0548,1.17,9.3,1.0,30,0
287,0.1551,10.15,46.04,0.3652,30,0
288,0.1394,24.68,12.62,0.5942,30,0
289,0.1463,17.07,17.86,0.5412,30,0
290,0.0984,5.77,1.39,1.0,30,0
291,0.1209,9.49,31.47,0.4332,30,0
292,0.1346,6.74,11.62,0.8343,30,0
293,0.1424,6.01,38.12,0.405,30,0
294,0.1977,33.77,8.84,0.6259,30,0
295,0.1626,18.7,17.24,0.5695,30,0
296,0.1041,5.3,9.55,1.0,30,0
297,0.2155,35.86,2.31,1.0,30,0
298,0.2062,17.62,4.76,1.0,30,0
299,0.1917,32.31,1.04,1.0,30,0
300,0.199,25.93,8.7,0.78,30,0
301,0.1171,4.51,15.72,0.7547,30,0
302,0.1382,6.22,4.19,1.0,30,0
303,0.1626,29.87,10.11,0.6332,30,0
304,0.1695,25.34,9.21,0.8171,30,0
305,0.1569,11.88,11.43,0.8251,30,0
306,0.1799,14.02,3.06,1.0,30,0
307,0.195,56.44,11.45,0.4993,30,0
308,0.0809,5.99,6.79,1.0,30,0
309,0.1663,23.49,5.05,1.0,30,0
310,0.1605,9.56,13.23,0.7566,30,0
311,0.1079,9.38,2.4,1.0,30,0
312,0.1792,45.54,34.64,0.2006,30,0
313,0.1927,32.8,40.97,0.2573,30,0
314,0.1867,32.34,16.21,0.5106,30,0
315,0.2246,58.36,5.42,0.9077,30,0
316,0.1264,12.49,14.75,0.5744,30,0
317,0.1762,27.61,13.8,0.5937,30,0
318,0.159,8.4,7.45,1.0,30,0
319,0.1417,17.98,5.08,1.0,30,0
320,0.1733,10.42,2.77,1.0,30,0
321,0.1333,13.69,3.68,1.0,30,0
322,0.1956,24.88,15.88,0.4753,30,0
323,0.1033,4.56,32.56,0.4342,30,0
324,0.2275,150.03,7.29,0.5516,30,0
325,0.0918,3.64,1.95,1.0,30,0
326,0.1026,2.84,0.5,1.0,30,0
327,0.2055,48.9,7.81,0.6486,30,0
328,0.2104,31.5,3.97,1.0,30,0
329,0.2087,25.76,5.84,1.0,30,0
330,0.1565,25.89,4.15,1.0,30,0
331,0.1243,12.0,16.37,0.4692,30,0
332,0.0808,4.15,15.26,0.8057,30,0
333,0.1357,13.34,36.51,0.2619,30,0
334,0.1396,5.41,18.05,0.6838,30,0
335,0.208,39.26,2.7,1.0,30,0
336,0.132,10.21,20.89,0.5563,30,0
337,0.1102,4.52,3.0,1.0,30,0
338,0.1627,8.28,12.27,0.8382,30,0
339,0.208,20.0,1.2,1.0,30,0
340,0.1281,6.19,0.73,1.0,30,0
341,0.0573,4.54,9.36,0.8222,30,0
342,0.1676,16.32,1.66,1.0,30,0
343,0.1805,16.35,5.49,1.0,30,0
344,0.1302,6.63,6.21,1.0,30,0
345,0.1419,6.92,22.01,0.5357,30,0
346,0.1683,16.09,6.07,1.0,30,0
347,0.0558,2.14,10.23,1.0,30,0
348,0.0647,2.25,22.21,0.7015,30,0
349,0.1091,5.14,3.44,1.0,30,0
350,0.1611,9.43,24.51,0.4932,30,0
351,0.1496,17.69,26.74,0.3591,30,0
352,0.2299,71.55,67.44,0.2391,30,0
353,0.1972,34.1,8.81,0.7238,30,0
354,0.174,10.06,6.95,1.0,30,0
355,0.1483,11.91,18.16,0.5926,30,0
356,0.0668,3.66,0.9,1.0,30,0
357,0.162,11.91,0.61,1.0,30,0
358,0.1789,8.62,6.12,1.0,30,0
359,0.1797,17.94,19.61,0.4245,30,0
360,0.0945,4.51,1.86,1.0,30,0
361,0.1533,22.72,15.14,0.4714,30,0
362,0.2045,76.65,4.71,0.8259,30,0
363,0.1848,10.69,15.82,0.6701,30,0
364,0.1627,19.73,9.16,0.7684,30,0
365,0.1699,27.89,1.84,1.0,30,0
366,0.1276,7.53,4.26,1.0,30,0
367,0.1544,15.94,3.72,1.0,30,0
368,0.182,12.37,2.7,1.0,30,0
369,0.1344,13.7,9.48,0.7862,30,0
370,0.1365,4.82,46.41,0.3852,30,0
371,0.1536,12.55,16.1,0.6444,30,0
372,0.198,22.14,27.12,0.4539,30,0
373,0.2513,69.5,59.51,0.1109,30,0
374,0.1977,38.52,11.67,0.5941,30,0
375,0.2471,161.39,4.08,0.8097,30,0
376,0.1145,4.85,39.43,0.4268,30,0
377,0.19,34.7,18.01,0.4408,30,0
378,0.1257,15.18,47.89,0.2331,30,0
379,0.2862,168.64,15.79,0.3035,30,0
380,0.1161,4.62,22.38,0.6166,30,0
381,0.0864,4.45,33.2,0.4177,30,0
382,0.0799,5.93,21.36,0.5655,30,0
383,0.02,0.95,12.41,0.8246,30,0
384,0.1402,6.48,9.58,1.0,30,0
385,0.1012,4.9,26.01,0.5935,30,0
386,0.1481,14.59,22.18,0.4811,30,0
387,0.1762,18.36,6.85,0.9045,30,0
388,0.2297,115.75,10.35,0.4769,30,0
389,0.2066,38.11,15.12,0.4523,30,0
390,0.1242,6.1,0.5,1.0,30,0
391,0.1052,4.14,4.27,1.0,30,0
392,0.1422,21.98,4.32,1.0,30,0
393,0.0702,2.5,32.21,0.4234,30,0
394,0.25,109.7,6.04,0.6719,30,0
395,0.193,50.17,11.82,0.6089,30,0
396,0.1516,6.94,26.72,0.4725,30,0
397,0.1147,1.56,4.51,1.0,30,0
398,0.2281,61.85,1.98,1.0,30,0
399,0.1744,10.62,44.45,0.3767,30,0
400,0.2238,53.81,18.3,0.3281,30,0
401,0.0628,1.8,2.92,1.0,30,0
402,0.1252,5.93,25.7,0.5767,30,0
403,0.1905,12.26,23.21,0.5292,30,0
404,0.1418,12.89,27.26,0.3548,30,0
405,0.1076,7.1,4.85,1.0,30,0
406,0.1572,25.72,8.93,0.6523,30,0
407,0.0944,3.38,17.75,0.7979,30,0
408,0.1231,10.27,7.43,1.0,30,0
409,0.1893,14.07,1.09,1.0,30,0
410,0.179,22.59,2.2,1.0,30,0
411,0.2036,28.62,13.64,0.5453,30,0
412,0.09,3.16,7.05,1.0,30,0
413,0.0536,1.93,0.5,1.0,30,0
414,0.1851,56.44,21.84,0.3788,30,0
415,0.1478,18.15,8.09,0.8221,30,0
416,0.121,4.96,5.65,1.0,30,0
417,0.2349,78.37,18.75,0.2883,30,0
418,0.1676,14.0,9.11,0.8766,30,0
419,0.1768,50.16,17.8,0.4009,30,0
420,0.1532,13.21,0.5,1.0,30,0
421,0.2284,144.44,0.5,1.0,30,0
422,0.2423,100.12,12.31,0.3404,30,0
423,0.1476,9.04,60.44,0.2275,30,0
424,0.1732,39.09,4.77,1.0,30,0
425,0.2003,26.43,17.23,0.4945,30,0
426,0.2625,62.95,2.84,1.0,30,0
427,0.1204,3.83,5.6,1.0,30,0
428,0.1797,27.75,1.22,1.0,30,0
429,0.1945,43.38,31.9,0.1971,30,0
430,0.0614,1.48,5.58,1.0,30,0
431,0.078,2.94,3.93,1.0,30,0
432,0.0572,1.05,19.67,0.836,30,0
433,0.1143,8.82,3.34,1.0,30,0
434,0.1466,28.82,4.12,1.0,30,0
435,0.2265,73.91,1.64,1.0,30,0
436,0.154,13.32,49.4,0.2596,30,0
437,0.2168,86.0,4.27,0.8246,30,0
438,0.0581,2.33,81.61,0.2104,30,0
439,0.074,1.58,2.91,1.0,30,0
440,0.1275,11.4,0.5,1.0,30,0
441,0.1657,19.31,33.91,0.317,30,0
442,0.1837,11.71,13.01,0.7332,30,0
443,0.0638,1.02,6.49,1.0,30,0
444,0.1183,10.95,10.8,0.689,30,0
445,0.0619,2.55,4.53,1.0,30,0
446,0.1852,27.21,15.11,0.5455,30,0
447,0.1401,18.91,14.38,0.548,30,0
448,0.0649,3.94,1.25,1.0,30,0
449,0.136,6.58,36.23,0.4543,30,0
450,0.1056,3.42,9.26,1.0,30,0
451,0.156,11.3,3.26,1.0,30,0
452,0.2011,38.33,5.51,0.96,30,0
453,0.1014,3.73,30.17,0.5958,30,0
454,0.161,22.31,7.25,0.8424,30,0
455,0.1349,6.45,12.38,0.9161,30,0
456,0.1425,4.7,44.26,0.4626,30,0
457,0.1348,10.71,15.82,0.6371,30,0
458,0.0799,3.52,16.89,0.7339,30,0
459,0.1007,6.27,4.29,1.0,30,0
460,0.0752,2.89,16.55,0.7897,30,0
461,0.2484,128.72,7.51,0.6421,30,0
462,0.1089,12.71,36.29,0.3631,30,0
463,0.1252,5.26,2.08,1.0,30,0
464,0.1731,15.75,5.05,1.0,30,0
465,0.1086,10.65,1.02,1.0,30,0
466,0.1198,9.34,7.19,0.9552,30,0
467,0.1811,25.46,2.41,1.0,30,0
468,0.1835,30.24,27.98,0.3028,30,0
469,0.1349,6.45,38.86,0.4215,30,0
470,0.1195,6.1,16.6,0.6706,30,0
471,0.1621,8.76,1.64,1.0,30,0
472,0.0331,0.77,6.27,1.0,30,0
473,0.0576,1.98,50.07,0.4669,30,0
474,0.1943,62.82,2.2,1.0,30,0
475,0.2437,87.7,12.2,0.3751,30,0
476,0.1386,9.04,6.53,1.0,30,0
477,0.1903,24.33,106.28,0.1261,30,0
478,0.1772,17.7,5.04,1.0,30,0
479,0.2574,490.12,0.73,1.0,30,0
480,0.1809,46.69,18.17,0.3193,30,0
481,0.1234,10.45,5.93,1.0,30,0
482,0.0878,3.87,16.08,0.707,30,0
483,0.0645,1.77,1.66,1.0,30,0
484,0.1797,15.55,11.11,0.7399,30,0
485,0.1377,4.92,7.06,1.0,30,0
486,0.0759,2.21,11.54,1.0,30,0
487,0.1139,5.61,28.81,0.4461,30,0
488,0.084,3.33,54.04,0.3301,30,0
489,0.2328,92.26,20.98,0.1833,30,0
490,0.1964,35.09,21.84,0.4842,30,0
491,0.1657,12.07,11.29,0.8033,30,0
492,0.237,71.95,1.54,1.0,30,0
493,0.1077,13.37,16.5,0.5613,30,0
494,0.1056,4.33,2.4,1.0,30,0
495,0.2508,75.77,4.23,0.842,30,0
496,0.1671,23.26,18.44,0.4383,30,0
497,0.123,3.51,16.05,0.8851,30,0
498,0.1347,9.69,5.66,1.0,30,0
499,0.1115,4.26,22.18,0.6862,30,0
500,0.0609,2.32,42.03,0.4146,30,0
501,0.1725,37.02,11.82,0.6349,30,0
502,0.2562,120.46,16.98,0.2752,30,0
503,0.1005,2.27,4.76,1.0,30,0
504,0.1776,23.94,53.01,0.1816,30,0
505,0.0942,5.58,4.8,1.0,30,0
506,0.1275,6.79,32.76,0.4001,30,0
507,0.1467,5.98,39.44,0.335,30,0
508,0.1434,4.32,19.07,0.6848,30,0
509,0.146,12.91,25.04,0.4187,30,0
510,0.0769,4.49,9.18,1.0,30,0
511,0.1798,16.85,37.8,0.3667,30,0
512,0.1421,11.47,20.36,0.5457,30,0
513,0.1574,9.15,5.93,1.0,30,0
514,0.1121,4.1,0.53,1.0,30,0
515,0.1046,6.1,11.67,0.7987,30,0
516,0.1874,30.16,27.55,0.3123,30,0
517,0.2002,22.22,29.56,0.3349,30,0
518,0.1001,3.77,27.04,0.5257,30,0
519,0.1341,13.72,3.63,1.0,30,0
520,0.1543,30.01,8.33,0.7085,30,0
521,0.0544,1.64,14.27,0.8829,30,0
522,0.1679,23.38,16.52,0.5581,30,0
523,0.1346,5.5,6.11,1.0,30,0
524,0.155,24.16,17.7,0.4915,30,0
525,0.1444,4.87,13.41,0.9489,30,0
526,0.0366,1.4,12.55,0.8502,30,0
527,0.1185,1.73,16.32,1.0,30,0
528,0.1868,12.91,13.87,0.6978,30,0
529,0.1653,16.64,2.74,1.0,30,0
530,0.0736,4.12,31.12,0.4874,30,0
531,0.1795,26.21,4.13,1.0,30,0
532,0.0625,1.66,20.47,0.7242,30,0
533,0.1213,11.25,2.91,1.0,30,0
534,0.0977,2.85,16.22,0.7776,30,0
535,0.1022,5.57,33.9,0.4201,30,0
536,0.138,12.9,0.5,1.0,30,0
537,0.1046,4.34,58.44,0.324,30,0
538,0.12,7.68,0.5,1.0,30,0
539,0.2399,40.75,0.5,1.0,30,0
540,0.1116,6.1,29.23,0.3952,30,0
541,0.1989,33.21,18.5,0.4102,30,0
542,0.0987,3.14,1.68,1.0,30,0
543,0.1825,23.01,41.57,0.2886,30,0
544,0.2278,68.71,16.72,0.4072,30,0
545,0.049,0.63,1.77,1.0,30,0
546,0.1171,4.68,29.55,0.4776,30,0
547,0.1822,24.35,9.84,0.7248,30,0
548,0.1414,9.55,4.89,1.0,30,0
549,0.165,19.02,26.15,0.4447,30,0
550,0.1028,5.9,20.12,0.5675,30,0
551,0.1529,13.52,14.63,0.6352,30,0
552,0.1474,10.11,34.32,0.3829,30,0
553,0.2141,49.47,29.63,0.4007,30,0
554,0.1658,16.53,3.86,1.0,30,0
555,0.1615,18.27,31.64,0.3294,30,0
556,0.1291,7.43,7.03,1.0,30,0
557,0.1155,6.79,8.48,1.0,30,0
558,0.1355,7.25,53.81,0.3829,30,0
559,0.1645,19.56,21.4,0.4341,30,0
560,0.1334,7.35,5.82,1.0,30,0
561,0.1839,17.25,15.66,0.6094,30,0
562,0.2354,147.01,11.63,0.4196,30,0
563,0.2037,34.65,1.86,1.0,30,0
564,0.135,8.24,32.81,0.4261,30,0
565,0.2481,51.49,25.88,0.4192,30,0
566,0.1261,7.47,22.56,0.6158,30,0
567,0.0661,1.06,12.29,1.0,30,0
568,0.1019,3.63,3.74,1.0,30,0
569,0.0324,1.29,32.3,0.6087,30,0
570,0.1227,7.99,6.53,1.0,30,0
571,0.1685,12.45,0.5,1.0,30,0
572,0.2218,91.08,60.07,0.2086,30,0
573,0.1213,18.03,29.62,0.3288,30,0
574,0.1389,9.37,14.62,0.7173,30,0
575,0.168,32.96,0.5,1.0,30,0
576,0.0465,0.86,3.88,1.0,30,0
577,0.1923,16.16,9.02,0.9037,30,0
578,0.2024,30.72,14.84,0.5719,30,0
579,0.1098,2.07,18.47,0.9441,30,0
580,0.1937,48.06,23.29,0.3531,30,0
581,0.1634,18.29,12.17,0.6514,30,0
582,0.1092,7.4,16.01,0.568,30,0
583,0.1667,26.03,25.01,0.3638,30,0
584,0.2405,185.83,19.09,0.285,30,0
585,0.1326,15.15,46.45,0.161,30,0
586,0.1892,16.41,31.15,0.3815,30,0
587,0.0861,7.02,2.78,1.0,30,0
588,0.1366,4.39,44.18,0.3786,30,0
589,0.2148,33.0,3.43,1.0,30,0
590,0.1189,4.36,71.1,0.3429,30,0
591,0.1311,13.27,18.13,0.6151,30,0
