p_psia,t_f,meg_wt_pct,hydrate_event
842.0,45.7,0.0,1
3392.0,61.7,0.0,1
952.0,37.4,0.0,1
1045.0,57.9,0.0,0
2558.0,78.4,0.0,0
3548.0,43.2,0.0,1
1107.0,60.3,34.3,0
1517.0,89.4,8.6,0
3199.0,62.8,33.8,0
3899.0,62.4,15.7,0
2203.0,65.7,15.8,0
918.0,45.2,8.5,1
450.0,43.1,5.5,1
1227.0,72.3,17.4,0
875.0,56.8,0.0,0
2840.0,50.9,0.0,1
839.0,36.7,0.0,1
2223.0,81.5,0.0,0
2899.0,36.8,10.6,1
2492.0,76.2,0.0,0
1119.0,56.0,12.2,0
3295.0,67.9,13.1,0
2975.0,48.6,0.0,1
3060.0,43.5,0.0,1
872.0,64.3,0.0,0
846.0,73.3,0.0,0
3739.0,45.8,18.3,1
1831.0,59.0,13.3,0
1483.0,59.5,28.5,0
2159.0,46.9,32.3,0
2786.0,66.1,10.0,0
3840.0,43.0,36.4,1
1431.0,63.0,0.0,0
3729.0,41.2,0.0,1
489.0,61.7,0.0,0
2399.0,52.1,17.6,1
2682.0,59.9,5.5,1
781.0,58.9,30.1,0
905.0,84.9,7.8,0
1909.0,61.9,16.8,0
3878.0,80.0,0.0,0
2546.0,47.4,0.0,1
3759.0,54.4,27.4,0
3296.0,39.1,29.3,1
2083.0,58.1,27.8,0
3225.0,71.8,0.0,0
464.0,81.1,17.2,0
793.0,66.1,6.0,0
3386.0,70.2,20.5,0
3269.0,44.7,0.0,1
1238.0,37.0,21.4,1
2311.0,78.5,21.2,0
2582.0,44.2,11.3,1
3524.0,40.0,32.4,1
2571.0,86.6,29.6,0
1885.0,88.0,24.6,0
1747.0,68.9,37.4,0
1933.0,55.8,0.0,1
2747.0,80.8,0.0,0
3523.0,46.3,0.0,1
2034.0,58.6,24.1,0
1292.0,54.6,0.0,1
1252.0,85.2,0.0,0
3086.0,85.6,15.7,0
3340.0,70.8,22.2,0
779.0,41.1,0.0,1
640.0,61.5,0.0,0
2540.0,48.5,30.8,1
926.0,83.7,0.0,0
3369.0,42.6,0.0,1
1517.0,38.0,0.0,1
918.0,73.7,0.0,0
3715.0,59.9,20.7,0
996.0,81.1,0.0,0
1425.0,39.1,18.2,1
953.0,79.1,0.0,0
816.0,37.1,0.0,1
476.0,36.5,0.0,1
599.0,60.4,7.7,0
1029.0,47.2,0.0,1
592.0,67.7,0.0,0
2528.0,36.4,0.0,1
2851.0,36.9,13.3,1
1817.0,75.0,0.0,0
1545.0,46.6,16.3,1
2216.0,71.1,30.1,0
3550.0,76.2,11.2,0
3464.0,38.3,14.2,1
557.0,77.3,0.0,0
1053.0,49.8,16.6,0
1252.0,56.4,37.9,0
1298.0,39.8,0.0,1
2456.0,81.1,32.2,0
1899.0,65.8,0.0,0
577.0,62.8,20.7,0
1745.0,88.3,33.8,0
2286.0,53.4,5.9,1
766.0,84.0,0.0,0
3400.0,74.6,22.0,0
587.0,86.1,17.3,0
3729.0,84.9,0.0,0
757.0,89.5,16.9,0
3437.0,42.2,39.2,1
3650.0,78.8,37.8,0
3926.0,79.2,14.4,0
3287.0,70.4,0.0,0
3206.0,50.3,0.0,1
2713.0,88.1,0.0,0
3204.0,46.2,0.0,1
884.0,62.5,0.0,0
2330.0,63.7,12.2,0
2251.0,43.9,0.0,1
3487.0,74.7,31.1,0
2066.0,39.9,0.0,1
1786.0,73.1,0.0,0
2702.0,81.7,14.5,0
1359.0,54.2,19.5,0
903.0,74.0,0.0,0
2120.0,43.6,14.7,1
1901.0,81.5,0.0,0
1237.0,87.4,0.0,0
1723.0,43.4,0.0,1
1719.0,73.1,6.5,0
1579.0,62.8,0.0,0
1766.0,64.2,5.8,0
2869.0,73.9,39.0,0
1469.0,61.9,0.0,0
3816.0,68.0,5.2,0
3699.0,47.7,0.0,1
2131.0,55.8,0.0,1
1582.0,82.6,0.0,0
2328.0,41.0,0.0,1
3455.0,67.9,0.0,0
2749.0,45.1,0.0,1
3296.0,81.6,19.2,0
2318.0,66.8,0.0,0
2679.0,57.2,0.0,1
1437.0,48.7,16.6,0
3046.0,59.0,0.0,1
1129.0,87.7,32.3,0
2901.0,63.0,17.2,0
3499.0,60.8,0.0,1
876.0,76.0,0.0,0
2612.0,55.8,0.0,1
742.0,58.5,0.0,0
3013.0,53.5,29.3,0
704.0,43.3,33.3,0
3769.0,74.3,22.0,0
895.0,83.0,0.0,0
3852.0,84.8,31.1,0
3283.0,83.4,0.0,0
2537.0,59.8,26.0,0
3217.0,50.6,30.7,0
3262.0,70.1,0.0,0
3806.0,87.5,0.0,0
1312.0,75.0,0.0,0
2524.0,62.2,9.1,0
742.0,72.9,0.0,0
2618.0,77.5,19.2,0
1017.0,85.6,32.2,0
2434.0,77.0,0.0,0
2461.0,58.8,20.7,0
2078.0,50.0,0.0,1
2281.0,62.5,0.0,1
3150.0,53.0,5.7,1
3277.0,86.9,0.0,0
2172.0,62.9,9.1,0
2559.0,61.0,9.2,0
3752.0,54.2,0.0,1
831.0,70.2,26.2,0
822.0,63.6,0.0,0
716.0,42.1,25.8,0
2768.0,82.8,10.1,0
1907.0,54.7,18.2,0
3188.0,58.8,39.6,0
2816.0,46.3,0.0,1
1601.0,65.4,6.2,0
3634.0,73.6,0.0,0
3145.0,83.5,28.5,0
1374.0,37.8,0.0,1
1711.0,88.5,0.0,0
1532.0,73.7,0.0,0
967.0,50.6,0.0,1
932.0,46.2,0.0,1
3770.0,51.3,0.0,1
1976.0,83.2,21.0,0
1780.0,51.0,37.5,0
3027.0,60.5,0.0,1
2391.0,73.8,9.9,0
3770.0,83.0,0.0,0
3209.0,71.2,15.9,0
2126.0,76.4,0.0,0
1755.0,44.5,26.1,0
3952.0,83.3,0.0,0
2984.0,50.2,0.0,1
3824.0,42.1,15.8,1
827.0,88.7,33.1,0
3462.0,46.1,34.1,1
2693.0,42.5,0.0,1
839.0,69.4,13.1,0
2518.0,52.5,12.5,1
2870.0,42.3,0.0,1
444.0,68.1,0.0,0
2036.0,76.7,0.0,0
3371.0,78.6,0.0,0
1463.0,43.6,0.0,1
2051.0,65.6,0.0,0
1992.0,79.8,20.4,0
1487.0,43.9,31.1,0
3706.0,46.4,19.9,1
3213.0,35.1,8.6,1
798.0,63.9,0.0,0
3989.0,45.7,12.3,1
3565.0,74.8,30.3,0
1422.0,87.9,18.1,0
3413.0,46.5,0.0,1
783.0,70.7,8.6,0
3997.0,46.7,26.8,1
2796.0,36.0,33.1,1
2740.0,76.7,26.9,0
726.0,58.9,39.5,0
3629.0,87.1,5.6,0
504.0,64.4,5.5,0
1267.0,43.7,22.5,1
915.0,59.7,14.3,0
3196.0,46.2,0.0,1
1114.0,83.3,32.8,0
3678.0,73.0,0.0,0
2763.0,53.8,0.0,1
530.0,64.0,0.0,0
420.0,71.8,0.0,0
586.0,78.1,0.0,0
2581.0,39.4,0.0,1
3285.0,36.2,0.0,1
1259.0,41.3,37.8,0
3458.0,56.7,37.8,0
606.0,60.7,23.2,0
3283.0,42.5,0.0,1
3740.0,57.6,0.0,1
3180.0,59.3,25.3,0
2913.0,41.0,0.0,1
3417.0,85.4,25.6,0
545.0,68.0,35.1,0
1126.0,56.4,26.4,0
850.0,62.9,0.0,0
2216.0,52.3,0.0,1
3083.0,82.0,12.6,0
2668.0,66.6,0.0,1
3464.0,62.2,39.9,0
959.0,85.1,12.5,0
3045.0,81.1,0.0,0
1095.0,79.7,0.0,0
1375.0,47.4,0.0,1
2956.0,43.4,0.0,1
3929.0,73.0,22.2,0
2602.0,60.8,7.4,0
596.0,72.6,20.0,0
2619.0,76.8,0.0,0
552.0,51.2,0.0,0
3583.0,50.7,37.6,0
2954.0,62.0,27.2,0
1023.0,50.0,34.5,0
730.0,71.7,36.7,0
1061.0,76.1,37.6,0
3928.0,61.0,0.0,1
2051.0,74.8,0.0,0
3223.0,63.1,34.0,0
2691.0,74.2,0.0,0
2461.0,47.4,14.5,1
922.0,75.6,0.0,0
3806.0,74.3,0.0,0
1485.0,49.7,0.0,1
2481.0,65.6,32.3,0
2919.0,82.0,22.0,0
2737.0,48.7,0.0,1
3786.0,75.5,0.0,0
934.0,87.5,0.0,0
2230.0,82.6,0.0,0
1855.0,57.1,20.5,0
2107.0,68.4,0.0,0
829.0,89.5,0.0,0
883.0,66.3,0.0,0
1401.0,41.3,27.1,1
1497.0,37.5,13.4,1
1940.0,78.5,37.7,0
2600.0,58.3,24.9,0
2685.0,48.6,30.2,0
1883.0,54.1,0.0,1
1872.0,76.7,27.3,0
1183.0,60.6,17.9,0
2518.0,82.8,0.0,0
1541.0,75.4,28.9,0
530.0,88.6,32.9,0
1906.0,83.9,17.2,0
2107.0,49.0,0.0,1
1212.0,71.2,0.0,0
2461.0,36.1,24.7,1
2437.0,89.5,0.0,0
2927.0,49.4,0.0,1
2733.0,71.6,0.0,0
2749.0,81.7,0.0,0
1538.0,43.8,37.0,0
3235.0,81.6,16.5,0
2377.0,35.7,29.4,1
1953.0,59.3,0.0,1
2654.0,61.0,0.0,1
1698.0,55.6,0.0,1
2246.0,67.3,0.0,0
3052.0,85.3,17.7,0
3591.0,53.0,0.0,1
3716.0,66.9,0.0,0
2213.0,83.3,9.1,0
2273.0,77.5,28.3,0
3280.0,37.2,0.0,1
1532.0,86.9,31.3,0
3415.0,37.6,16.1,1
2179.0,67.4,19.0,0
817.0,66.6,38.6,0
659.0,78.3,0.0,0
3431.0,43.2,0.0,1
600.0,44.9,0.0,1
1410.0,76.4,13.0,0
1603.0,43.2,18.9,1
1023.0,60.8,31.6,0
1530.0,75.2,30.0,0
3074.0,70.8,0.0,0
453.0,46.6,0.0,1
3378.0,51.7,0.0,1
3484.0,88.3,0.0,0
1740.0,59.7,8.1,0
953.0,37.4,37.3,0
2563.0,47.1,0.0,1
831.0,53.8,24.1,0
1714.0,90.0,0.0,0
3850.0,51.6,9.7,1
3984.0,36.5,0.0,1
3180.0,63.2,27.2,0
1519.0,39.6,0.0,1
2876.0,50.1,0.0,1
2939.0,89.6,36.8,0
1796.0,73.8,0.0,0
2707.0,37.8,0.0,1
439.0,59.7,0.0,0
1153.0,44.4,7.4,1
2290.0,41.8,0.0,1
990.0,67.3,33.3,0
997.0,62.8,28.3,0
3411.0,75.9,13.3,0
3961.0,84.1,0.0,0
2401.0,48.6,29.8,0
3421.0,85.8,0.0,0
3965.0,63.5,23.9,0
910.0,49.2,0.0,1
2014.0,81.5,27.4,0
1813.0,37.0,9.4,1
688.0,65.8,0.0,0
3119.0,74.7,0.0,0
1962.0,50.4,0.0,1
2090.0,82.5,28.6,0
942.0,48.2,0.0,1
1051.0,81.2,10.7,0
3666.0,39.3,29.3,1
561.0,43.8,34.7,0
1238.0,56.0,0.0,1
1451.0,82.0,0.0,0
2165.0,43.0,0.0,1
2511.0,83.1,16.1,0
2176.0,47.6,0.0,1
703.0,59.9,0.0,0
1277.0,54.4,0.0,1
3437.0,41.5,15.8,1
2695.0,86.9,5.2,0
2737.0,59.1,0.0,1
2813.0,73.0,0.0,0
3146.0,66.6,0.0,0
609.0,62.6,0.0,0
1720.0,68.9,33.4,0
2342.0,84.4,0.0,0
1618.0,73.5,31.7,0
3440.0,64.3,26.4,0
2137.0,70.5,19.6,0
3167.0,68.4,0.0,0
3467.0,58.8,25.1,0
2217.0,69.4,0.0,0
3674.0,59.4,0.0,1
2514.0,76.7,8.0,0
3461.0,88.3,0.0,0
1626.0,87.8,0.0,0
2196.0,80.1,0.0,0
2313.0,68.1,0.0,0
778.0,76.2,13.1,0
1835.0,44.8,39.9,0
3702.0,61.3,19.7,0
2671.0,49.2,0.0,1
1039.0,35.2,0.0,1
1620.0,88.2,0.0,0
1090.0,82.5,8.3,0
489.0,63.3,5.2,0
3739.0,49.0,16.4,1
2014.0,73.1,15.9,0
1507.0,58.9,20.1,0
2555.0,79.2,0.0,0
426.0,90.0,7.2,0
1401.0,54.2,7.5,0
2931.0,48.4,11.4,1
2682.0,49.7,0.0,1
3935.0,40.1,10.2,1
2633.0,56.7,0.0,1
2119.0,36.0,37.3,1
3141.0,41.3,14.2,1
3652.0,49.9,10.9,1
2995.0,43.8,0.0,1
3868.0,75.3,0.0,0
3215.0,40.8,6.7,1
3520.0,82.6,32.6,0
811.0,47.2,30.0,0
3037.0,41.0,0.0,1
1984.0,35.6,37.8,1
2391.0,74.3,25.4,0
2755.0,49.1,0.0,1
3891.0,63.0,0.0,1
3944.0,41.1,36.1,1
1438.0,89.2,0.0,0
3042.0,41.9,16.4,1
3100.0,57.7,5.3,1
1647.0,81.8,0.0,0
846.0,48.5,0.0,1
547.0,49.7,33.4,0
3198.0,79.5,11.5,0
2163.0,50.0,33.5,0
3948.0,35.2,5.5,1
2074.0,58.5,25.6,0
3921.0,35.7,18.9,1
1882.0,85.0,16.6,0
3257.0,70.3,20.2,0
705.0,67.1,0.0,0
2400.0,46.1,0.0,1
3287.0,73.5,33.2,0
3729.0,72.2,0.0,0
3361.0,38.3,30.8,1
533.0,83.4,29.9,0
1742.0,66.9,0.0,0
575.0,78.6,0.0,0
793.0,49.5,32.6,0
2831.0,41.7,0.0,1
2968.0,73.6,33.3,0
3185.0,78.7,25.4,0
3516.0,56.2,0.0,1
3062.0,36.3,11.3,1
3283.0,80.0,7.5,0
576.0,46.3,0.0,1
1244.0,53.6,0.0,1
2639.0,69.6,0.0,0
3489.0,40.5,18.7,1
416.0,39.0,0.0,1
2253.0,36.4,0.0,1
2838.0,85.4,0.0,0
507.0,52.1,0.0,0
1845.0,71.3,0.0,0
3624.0,89.4,32.4,0
2818.0,71.8,0.0,0
1256.0,63.9,13.1,0
3470.0,63.7,0.0,1
1653.0,55.7,0.0,1
3472.0,68.0,0.0,0
1476.0,87.7,7.4,0
2525.0,78.3,17.5,0
1829.0,58.3,0.0,1
1389.0,53.3,25.2,0
3592.0,83.6,0.0,0
1075.0,42.5,23.9,0
705.0,81.7,28.3,0
1631.0,49.0,0.0,1
2984.0,74.4,0.0,0
3307.0,79.3,0.0,0
3995.0,61.2,35.5,0
1467.0,45.6,0.0,1
1869.0,81.5,24.3,0
893.0,55.2,0.0,0
2470.0,52.6,28.3,0
3991.0,63.1,0.0,1
2923.0,58.9,27.5,0
2543.0,72.6,0.0,0
1813.0,42.5,0.0,1
3695.0,59.0,0.0,1
2189.0,84.0,10.5,0
884.0,37.0,0.0,1
1715.0,60.2,27.4,0
642.0,71.3,37.8,0
1127.0,83.8,0.0,0
464.0,67.7,0.0,0
2032.0,80.3,0.0,0
2684.0,47.2,0.0,1
1636.0,54.4,0.0,1
1913.0,86.8,7.9,0
3853.0,83.7,0.0,0
3107.0,65.7,0.0,0
2347.0,61.2,6.7,0
1424.0,59.8,0.0,0
3629.0,38.2,16.4,1
1246.0,84.1,28.4,0
1571.0,80.0,0.0,0
3673.0,60.1,22.1,0
2306.0,50.4,33.2,0
3072.0,53.9,14.7,0
2527.0,41.8,28.5,1
2752.0,74.7,17.9,0
1478.0,65.6,19.6,0
1269.0,47.9,24.5,0
1561.0,69.3,29.3,0
960.0,88.9,38.1,0
3548.0,41.7,14.4,1
1420.0,60.2,0.0,0
2421.0,62.2,20.0,0
3251.0,44.2,0.0,1
3222.0,64.2,0.0,1
1978.0,68.3,0.0,0
2115.0,43.7,0.0,1
3981.0,43.5,22.3,1
2829.0,82.1,0.0,0
3333.0,52.1,6.4,1
3649.0,69.7,23.8,0
3235.0,69.5,0.0,0
1067.0,81.2,0.0,0
2424.0,75.7,22.5,0
767.0,81.2,10.5,0
2751.0,69.4,0.0,0
3839.0,59.7,0.0,1
2246.0,56.6,0.0,1
1959.0,55.8,0.0,1
529.0,58.0,0.0,0
3855.0,42.1,34.4,1
771.0,58.3,0.0,0
548.0,56.4,0.0,0
1286.0,36.9,29.7,1
636.0,50.1,12.9,0
2038.0,76.4,0.0,0
2258.0,66.8,28.2,0
1525.0,79.3,36.4,0
583.0,64.8,0.0,0
802.0,82.0,0.0,0
1784.0,78.8,37.3,0
618.0,40.4,37.3,0
2913.0,88.7,5.2,0
1145.0,35.8,0.0,1
1487.0,67.8,29.2,0
1819.0,78.6,0.0,0
1900.0,53.3,7.1,1
406.0,67.9,31.7,0
803.0,54.9,0.0,1
3506.0,38.3,0.0,1
404.0,35.5,38.2,0
2229.0,40.2,20.4,1
2162.0,40.4,0.0,1
1599.0,68.6,19.3,0
1953.0,63.9,0.0,0
3210.0,60.1,0.0,1
3428.0,73.1,0.0,0
1337.0,35.9,16.8,1
1561.0,49.9,0.0,1
1273.0,77.8,37.2,0
2128.0,85.0,0.0,0
2860.0,59.1,8.4,1
1222.0,39.5,27.5,1
1591.0,78.9,0.0,0
3749.0,83.7,0.0,0
575.0,57.8,0.0,0
2059.0,48.4,0.0,1
2962.0,37.4,23.4,1
942.0,67.5,5.6,0
571.0,85.0,0.0,0
898.0,72.3,15.5,0
3708.0,52.4,0.0,1
433.0,70.4,0.0,0
1078.0,80.8,0.0,0
513.0,61.2,0.0,0
798.0,80.1,28.9,0
2633.0,56.6,0.0,1
1270.0,54.2,21.6,0
2449.0,67.1,0.0,0
2525.0,60.6,13.3,0
3458.0,88.7,0.0,0
417.0,63.4,0.0,0
3472.0,56.2,0.0,1
2629.0,56.7,0.0,1
986.0,65.1,0.0,0
3183.0,54.5,0.0,1
3480.0,74.8,16.2,0
1315.0,55.9,0.0,1
3708.0,56.1,38.4,0
2036.0,68.9,11.2,0
2572.0,38.3,6.9,1
3945.0,71.0,15.4,0
1702.0,62.8,0.0,0
3327.0,59.9,29.3,0
1546.0,74.6,5.2,0
3277.0,76.7,39.3,0
2563.0,81.5,0.0,0
1179.0,55.6,22.2,0
1890.0,53.0,0.0,1
1543.0,74.3,0.0,0
681.0,67.0,0.0,0
507.0,69.7,0.0,0
1647.0,65.6,39.9,0
469.0,77.5,11.3,0
996.0,45.5,0.0,1
3011.0,65.6,37.7,0
2949.0,43.7,18.0,1
3059.0,57.4,12.3,1
1542.0,71.5,7.1,0
3604.0,62.1,0.0,1
2538.0,55.9,0.0,1
854.0,83.7,19.7,0
917.0,77.5,0.0,0
2895.0,63.9,33.5,0
1023.0,87.3,5.5,0
2226.0,58.3,34.4,0
3970.0,78.3,0.0,0
414.0,44.2,31.5,0
460.0,50.7,31.5,0
3975.0,53.6,0.0,1
2505.0,40.8,0.0,1
857.0,62.6,0.0,0
3630.0,45.6,0.0,1
3569.0,69.9,30.2,0
2330.0,45.5,8.4,1
2638.0,41.8,0.0,1
1383.0,88.3,33.0,0
582.0,71.2,0.0,0
2540.0,86.5,0.0,0
1461.0,61.9,0.0,0
2789.0,36.8,23.3,1
3410.0,66.6,11.8,0
465.0,65.7,24.2,0
2545.0,35.8,25.6,1
1233.0,82.4,0.0,0
3546.0,69.1,28.8,0
1313.0,76.0,0.0,0
2599.0,62.2,0.0,1
2393.0,69.0,32.7,0
1826.0,49.2,0.0,1
2839.0,88.6,0.0,0
3013.0,57.0,0.0,1
2441.0,43.9,0.0,1
3130.0,38.1,7.4,1
3940.0,70.0,0.0,0
1909.0,89.1,6.9,0
2252.0,84.3,23.5,0
445.0,73.6,29.0,0
3266.0,89.5,0.0,0
2273.0,74.8,19.6,0
1869.0,53.7,0.0,1
739.0,68.1,0.0,0
3603.0,39.4,20.5,1
1822.0,47.2,0.0,1
2857.0,58.0,36.4,0
938.0,46.1,0.0,1
3862.0,87.4,8.5,0
1042.0,89.8,15.4,0
1118.0,55.4,21.2,0
3492.0,74.0,0.0,0
3685.0,57.4,0.0,1
1164.0,42.7,32.5,0
2091.0,53.5,22.4,0
3041.0,47.8,0.0,1
3562.0,53.0,0.0,1
1765.0,46.8,13.4,1
2261.0,41.2,33.1,1
3070.0,47.0,29.9,0
3032.0,84.8,9.9,0
3219.0,39.7,0.0,1
2452.0,52.9,0.0,1
777.0,64.1,32.3,0
3654.0,54.5,9.4,1
3516.0,63.5,0.0,1
3273.0,37.4,28.9,1
760.0,70.7,0.0,0
1136.0,66.0,0.0,0
3077.0,72.5,19.0,0
483.0,66.2,0.0,0
3925.0,59.1,0.0,1
1758.0,54.3,23.9,0
2990.0,47.5,0.0,1
3595.0,62.5,0.0,1
1821.0,36.4,6.9,1
1549.0,53.1,0.0,1
2591.0,72.3,22.0,0
2492.0,41.0,0.0,1
1873.0,38.5,0.0,1
2566.0,70.9,26.8,0
3767.0,56.9,0.0,1
2084.0,79.1,25.5,0
1108.0,86.6,17.2,0
1758.0,87.6,30.0,0
1819.0,58.4,0.0,1
872.0,49.5,0.0,1
986.0,68.5,29.0,0
2864.0,69.6,0.0,0
1622.0,69.2,7.3,0
3838.0,52.7,26.3,0
1277.0,38.5,0.0,1
756.0,46.6,0.0,1
3113.0,43.5,36.6,1
3572.0,41.8,19.5,1
1401.0,85.9,0.0,0
1128.0,35.8,36.5,0
1069.0,68.1,39.6,0
2279.0,87.1,0.0,0
2086.0,54.8,0.0,1
1334.0,64.0,13.8,0
563.0,73.3,15.2,0
2133.0,52.4,34.8,0
3854.0,61.3,0.0,1
2749.0,79.9,33.8,0
2184.0,76.0,6.8,0
798.0,79.5,12.6,0
1309.0,89.3,0.0,0
1461.0,55.4,0.0,1
3153.0,76.1,7.8,0
3556.0,68.2,0.0,0
3646.0,71.7,0.0,0
3944.0,75.7,32.8,0
3937.0,76.2,0.0,0
3831.0,83.7,9.7,0
659.0,54.2,17.8,0
896.0,70.9,28.8,0
1496.0,50.4,0.0,1
2390.0,67.7,20.2,0
749.0,76.3,37.5,0
3445.0,78.5,7.9,0
2620.0,58.1,0.0,1
2353.0,63.0,0.0,1
995.0,53.4,11.6,0
1312.0,44.3,0.0,1
977.0,49.3,37.6,0
3467.0,85.2,0.0,0
2503.0,52.0,0.0,1
3046.0,88.6,17.8,0
1466.0,48.3,35.6,0
1737.0,74.8,25.4,0
1857.0,66.6,0.0,0
3136.0,73.3,31.3,0
3180.0,70.4,32.1,0
1145.0,73.9,0.0,0
3790.0,84.8,0.0,0
834.0,66.0,0.0,0
3626.0,38.7,14.1,1
761.0,49.9,0.0,1
1352.0,74.0,18.5,0
