x_km,y_km,thickness_ft,fault_density,lateral_ft,proppant_lbft,eur_mboe
3.41,8.77,52.4,0.2,8898.0,1826.0,402.8
18.5,7.52,40.1,0.6,10417.0,1282.0,293.6
11.62,5.13,48.7,0.468,9802.0,1524.0,507.2
6.94,6.12,63.3,0.218,9946.0,2281.0,644.0
11.82,6.11,47.8,0.574,6550.0,2392.0,506.7
0.46,0.24,44.2,0.2,7516.0,1832.0,291.5
19.17,6.04,40.1,0.446,8323.0,1768.0,285.7
9.65,10.27,46.4,0.322,5265.0,2201.0,191.5
15.65,8.51,40.7,0.97,9619.0,2322.0,420.2
1.65,9.55,46.7,0.2,6941.0,2224.0,243.5
9.73,4.69,55.7,0.293,6696.0,1615.0,201.2
9.81,6.35,54.5,0.354,6556.0,2027.0,430.5
18.76,0.4,40.1,0.215,6700.0,2372.0,183.3
11.43,4.6,49.3,0.407,7028.0,1243.0,263.1
9.47,5.69,56.5,0.309,8629.0,1621.0,284.8
5.34,3.06,61.7,0.201,8501.0,1091.0,418.8
6.63,0.37,52.1,0.201,6534.0,1654.0,340.2
10.41,8.28,49.1,0.447,6239.0,2236.0,300.6
8.78,5.22,59.3,0.261,9958.0,1315.0,508.6
0.43,4.99,48.9,0.2,5556.0,1867.0,228.7
16.53,3.0,40.5,0.375,8077.0,1059.0,366.4
17.92,6.45,40.2,0.636,8123.0,2436.0,341.1
2.8,5.26,57.8,0.2,8445.0,2312.0,340.6
11.08,5.69,50.4,0.453,10314.0,1839.0,376.7
2.17,6.97,53.5,0.2,8743.0,2129.0,364.8
13.44,0.08,41.8,0.221,10842.0,1166.0,267.4
5.62,10.89,47.8,0.204,10228.0,2352.0,284.3
13.19,0.85,42.5,0.239,6288.0,2144.0,248.2
14.54,5.41,42.2,0.745,6447.0,1192.0,99.4
15.37,2.49,41.1,0.347,7069.0,2569.0,134.6
2.15,6.29,54.5,0.2,7349.0,1036.0,242.0
18.32,3.36,40.1,0.331,8318.0,2006.0,216.0
4.6,10.32,49.1,0.201,6395.0,1275.0,189.6
0.75,4.76,49.9,0.2,6334.0,2151.0,148.2
11.1,7.67,48.3,0.541,7288.0,1113.0,167.9
7.42,2.99,60.4,0.208,9032.0,1130.0,336.9
16.6,0.23,40.3,0.224,9129.0,1746.0,239.1
16.17,4.85,40.8,0.627,10857.0,2590.0,391.9
6.34,6.44,63.2,0.211,6214.0,1442.0,389.4
19.06,5.51,40.1,0.427,7357.0,1980.0,267.1
5.82,11.54,46.0,0.204,10788.0,1830.0,443.9
10.3,8.48,49.0,0.432,9140.0,2347.0,487.9
5.12,11.95,44.9,0.201,8554.0,1462.0,222.3
18.72,3.54,40.1,0.323,8238.0,1888.0,281.2
3.29,9.47,50.1,0.2,5453.0,2521.0,311.0
0.9,6.67,49.6,0.2,10360.0,1532.0,326.5
8.7,7.34,56.3,0.286,8753.0,1703.0,301.8
19.85,11.83,40.0,0.296,8430.0,2422.0,318.4
17.83,7.85,40.2,0.711,8237.0,1532.0,123.9
14.97,10.79,40.6,0.72,7351.0,1609.0,134.8
17.82,8.71,40.2,0.701,6528.0,1487.0,140.5
17.87,1.53,40.2,0.249,9532.0,2295.0,339.4
10.38,8.39,49.0,0.442,8057.0,2489.0,349.3
6.32,5.81,64.4,0.209,5204.0,2010.0,359.2
15.44,11.03,40.4,0.676,7395.0,1998.0,158.9
13.23,9.68,42.1,0.775,10572.0,1624.0,190.6
7.47,1.25,54.6,0.203,7243.0,1020.0,282.5
1.89,1.61,49.7,0.2,7479.0,1278.0,220.5
14.94,0.84,41.0,0.246,8744.0,1236.0,207.8
5.25,5.92,63.9,0.203,9810.0,1185.0,277.8
18.74,0.97,40.1,0.224,9011.0,2046.0,300.9
4.82,8.68,55.2,0.202,10100.0,1218.0,484.8
2.46,6.63,55.1,0.2,5684.0,1137.0,179.9
16.62,10.03,40.3,0.75,10548.0,1612.0,412.7
3.07,3.36,57.1,0.2,10424.0,1398.0,394.5
3.59,6.23,59.6,0.2,8115.0,1233.0,230.4
11.99,1.41,44.9,0.243,8748.0,1234.0,214.4
17.49,10.62,40.1,0.588,6277.0,1410.0,126.7
3.93,2.1,56.4,0.2,7688.0,1859.0,320.4
6.21,1.23,55.5,0.201,6216.0,2213.0,327.0
15.55,2.46,41.0,0.343,5132.0,2364.0,303.0
19.44,9.67,40.0,0.429,10885.0,2202.0,218.2
10.01,1.27,49.2,0.216,6555.0,2005.0,243.1
2.88,7.37,55.0,0.2,8559.0,2452.0,334.8
0.28,8.95,45.0,0.2,6802.0,1832.0,191.4
4.59,9.01,53.7,0.202,7224.0,2013.0,323.5
2.64,2.28,53.4,0.2,7387.0,1659.0,300.6
13.55,0.74,42.0,0.238,7010.0,1524.0,149.5
2.44,5.39,56.3,0.2,8824.0,1531.0,356.4
10.13,2.43,51.4,0.238,10766.0,1237.0,272.0
13.89,8.39,42.1,0.94,7572.0,2275.0,240.6
11.62,4.28,48.6,0.397,10840.0,1089.0,438.3
4.0,5.39,61.8,0.201,9007.0,2079.0,482.7
16.08,1.36,40.5,0.265,8643.0,2383.0,302.4
14.31,6.81,42.2,0.92,6423.0,1796.0,151.5
14.78,2.23,41.5,0.325,5378.0,1112.0,156.9
2.62,8.15,52.3,0.2,10112.0,1685.0,424.8
2.48,0.85,49.3,0.2,8444.0,1549.0,330.3
18.55,11.71,40.0,0.385,7486.0,2577.0,251.4
7.95,8.21,55.6,0.251,9872.0,2106.0,446.1
6.02,2.18,59.2,0.201,6863.0,2154.0,265.6
9.77,0.17,47.1,0.206,9702.0,1825.0,294.8
13.26,4.01,44.2,0.48,6968.0,2135.0,307.2
19.11,1.83,40.1,0.238,10525.0,2156.0,389.3
5.73,2.62,60.7,0.201,6608.0,1106.0,275.9
18.5,10.47,40.1,0.489,5825.0,1356.0,260.8
0.5,7.24,47.7,0.2,9189.0,1021.0,298.0
11.1,2.12,48.0,0.25,5977.0,1816.0,221.9
12.68,6.68,45.1,0.738,10696.0,2401.0,218.7
2.12,3.07,53.4,0.2,8933.0,1975.0,492.8
2.81,11.71,44.0,0.2,6385.0,1800.0,263.5
8.38,0.39,50.2,0.203,6253.0,2482.0,405.6
19.32,8.79,40.0,0.473,10543.0,1276.0,501.2
11.92,9.28,44.2,0.632,8647.0,1119.0,144.5
18.66,0.81,40.1,0.221,10362.0,2468.0,260.5
16.09,2.06,40.6,0.306,5661.0,2444.0,105.9
9.35,4.61,57.1,0.272,10552.0,2093.0,563.1
15.7,10.42,40.4,0.763,8120.0,1394.0,275.8
0.36,6.44,48.1,0.2,9011.0,2552.0,375.9
2.18,7.86,51.7,0.2,7237.0,2225.0,249.4
16.59,9.4,40.3,0.824,5355.0,2078.0,165.0
15.94,9.94,40.4,0.819,10748.0,1357.0,280.2
4.65,5.72,63.1,0.202,10968.0,1821.0,587.3
10.62,6.11,51.8,0.425,7187.0,2316.0,334.1
12.12,8.62,44.6,0.694,10663.0,2376.0,455.4
17.35,3.16,40.3,0.36,6006.0,1898.0,190.4
12.06,10.25,42.9,0.573,5928.0,1836.0,294.9
8.25,0.25,50.0,0.202,5439.0,2116.0,271.3
7.48,2.35,58.4,0.206,7348.0,1845.0,268.1
8.52,9.6,50.0,0.267,5314.0,1668.0,291.6
13.04,4.08,44.7,0.475,7368.0,1137.0,304.1
17.35,1.8,40.2,0.269,5830.0,1202.0,183.7
9.08,2.24,54.1,0.218,9383.0,2216.0,431.1
4.96,6.37,62.6,0.203,10000.0,1039.0,528.7
4.73,10.15,49.8,0.202,9127.0,1084.0,207.3
14.92,0.85,41.0,0.247,6203.0,2447.0,297.5
16.33,0.37,40.3,0.228,9601.0,2126.0,275.6
2.11,5.58,54.9,0.2,6497.0,1007.0,290.2
1.33,11.47,43.0,0.2,9557.0,1499.0,293.8
11.89,3.35,47.2,0.34,8404.0,2221.0,234.0
2.92,11.51,44.4,0.2,7200.0,1668.0,222.7
16.49,10.65,40.2,0.678,5501.0,1750.0,248.2
6.21,3.4,62.9,0.203,9965.0,1734.0,438.2
2.88,9.8,48.4,0.2,10638.0,1323.0,298.1
18.42,8.23,40.1,0.617,8996.0,2154.0,216.8
3.31,6.14,58.8,0.2,10787.0,1165.0,449.1
5.69,5.07,64.9,0.204,10605.0,1812.0,710.7
3.07,9.79,48.8,0.2,6168.0,1272.0,142.2
2.31,9.52,48.0,0.2,9387.0,1074.0,487.2
0.42,9.08,45.1,0.2,7096.0,1229.0,230.3
1.11,11.98,42.2,0.2,7925.0,2391.0,320.1
3.49,5.74,59.9,0.2,5942.0,1282.0,237.6
1.07,9.68,45.3,0.2,10849.0,1445.0,330.5
11.82,10.35,43.1,0.536,9357.0,1221.0,265.7
13.61,2.54,43.0,0.337,6601.0,2177.0,183.4
7.87,0.5,51.3,0.202,7229.0,1713.0,245.0
6.36,4.86,64.9,0.207,7535.0,2510.0,542.1
10.09,10.28,45.6,0.357,9485.0,2063.0,222.2
17.5,3.47,40.3,0.381,10554.0,1850.0,342.3
17.02,8.4,40.3,0.832,6929.0,2051.0,178.2
0.87,0.09,44.7,0.2,7835.0,1065.0,186.8
3.63,4.26,60.4,0.2,8559.0,2521.0,651.4
4.73,7.39,59.6,0.202,7360.0,2530.0,321.2
4.99,1.56,56.3,0.2,8025.0,1442.0,258.2
11.42,10.76,43.1,0.458,5634.0,2005.0,189.7
8.33,1.88,55.1,0.208,6006.0,1323.0,208.0
0.99,10.92,43.4,0.2,7407.0,1876.0,255.7
7.47,2.6,59.2,0.207,10490.0,2233.0,504.1
10.48,11.93,42.6,0.309,7096.0,2504.0,278.7
2.03,7.26,52.5,0.2,6499.0,1543.0,253.7
16.67,1.01,40.3,0.245,9457.0,2110.0,257.2
1.04,0.78,46.1,0.2,10695.0,2146.0,432.9
18.5,0.9,40.1,0.225,7755.0,1354.0,212.6
1.98,7.08,52.6,0.2,5052.0,2006.0,212.0
16.87,9.71,40.2,0.759,9129.0,2049.0,482.9
18.05,4.84,40.2,0.473,7490.0,2223.0,234.0
19.59,5.34,40.1,0.367,9042.0,2600.0,401.1
16.04,7.07,40.8,0.918,6666.0,1064.0,285.8
15.59,6.4,41.1,0.88,5014.0,1324.0,251.8
12.85,8.26,43.7,0.817,7067.0,1232.0,260.4
15.58,5.66,41.2,0.779,9229.0,1247.0,228.0
2.69,8.57,51.4,0.2,7359.0,1727.0,288.6
10.72,11.97,42.4,0.321,6315.0,2406.0,221.6
10.28,4.2,53.3,0.304,7784.0,1718.0,186.9
17.15,0.15,40.2,0.22,9514.0,2070.0,345.3
9.26,1.51,51.7,0.212,5717.0,1602.0,245.4
7.7,6.64,60.7,0.237,9151.0,1511.0,464.5
12.79,4.13,45.2,0.466,9004.0,2335.0,311.4
5.33,11.28,46.6,0.202,7224.0,2049.0,316.2
2.8,7.53,54.3,0.2,10822.0,1561.0,310.2
9.56,6.24,55.6,0.33,10368.0,2463.0,346.4
8.34,9.58,50.4,0.259,6897.0,1798.0,159.2
4.65,3.1,60.9,0.201,5187.0,1301.0,230.9
7.35,9.84,50.8,0.226,6850.0,1773.0,234.0
7.33,0.04,50.4,0.201,6228.0,2080.0,224.1
6.55,7.44,60.3,0.215,8284.0,1587.0,391.0
7.59,11.22,46.3,0.221,10512.0,2350.0,357.0
13.71,9.45,41.8,0.849,10222.0,1853.0,151.2
5.94,10.24,50.0,0.206,6835.0,1748.0,445.8
18.98,4.76,40.1,0.386,7572.0,2374.0,250.9
18.33,9.89,40.1,0.555,5219.0,1741.0,114.7
9.62,6.61,54.8,0.344,8265.0,1663.0,279.3
6.57,7.42,60.3,0.215,5380.0,1166.0,224.4
10.71,0.71,46.5,0.215,10632.0,1580.0,331.3
16.97,2.42,40.4,0.314,10202.0,1635.0,392.6
13.05,6.61,44.4,0.782,6285.0,1289.0,176.9
16.09,0.71,40.5,0.239,9196.0,1941.0,421.2
10.65,8.9,47.3,0.468,8408.0,1230.0,224.2
12.66,10.08,42.4,0.664,9808.0,1358.0,303.8
5.76,11.04,47.4,0.204,7854.0,1898.0,359.0
14.7,1.22,41.2,0.262,6151.0,1430.0,245.1
4.05,11.28,45.9,0.201,8839.0,2023.0,413.7
13.9,0.81,41.7,0.242,5482.0,2105.0,188.6
17.21,5.69,40.4,0.653,8508.0,1482.0,227.0
2.64,10.08,47.3,0.2,6276.0,1140.0,125.9
12.29,0.84,43.8,0.231,9110.0,1783.0,285.4
1.9,0.22,46.7,0.2,9968.0,1149.0,363.5
14.51,0.3,41.1,0.229,5657.0,1824.0,231.4
1.69,6.14,52.9,0.2,7402.0,2162.0,321.6
18.72,9.74,40.1,0.514,9401.0,1993.0,473.8
2.75,1.53,51.8,0.2,5982.0,1717.0,231.0
19.18,1.5,40.1,0.229,8399.0,2513.0,248.0
16.02,6.82,40.8,0.899,9031.0,1163.0,171.1
11.87,2.81,46.7,0.304,7129.0,2408.0,220.0
15.65,8.76,40.7,0.956,9992.0,2280.0,389.0
15.9,11.4,40.2,0.603,8064.0,1672.0,252.6
18.92,9.19,40.1,0.515,8762.0,1245.0,269.5
5.07,10.53,48.8,0.202,5845.0,1249.0,189.9
11.8,6.24,47.7,0.581,5139.0,2475.0,213.3
1.9,9.99,46.2,0.2,5304.0,1374.0,121.9
12.32,2.19,45.1,0.283,10424.0,2399.0,408.8
3.43,0.82,51.2,0.2,10296.0,1805.0,394.7
11.3,7.87,47.4,0.573,9846.0,1739.0,221.9
11.45,0.62,44.9,0.219,6198.0,1991.0,228.5
9.32,10.71,45.8,0.289,8153.0,1344.0,241.1
10.45,8.3,49.0,0.452,9777.0,1685.0,557.9
15.28,11.43,40.4,0.615,9048.0,2502.0,198.3
15.98,3.77,40.9,0.48,5693.0,1381.0,185.2
9.84,5.83,54.9,0.341,10373.0,2475.0,347.7
11.99,8.9,44.5,0.663,5964.0,2591.0,186.3
18.62,2.91,40.1,0.292,6031.0,1083.0,173.7
2.39,6.5,55.0,0.2,10406.0,1850.0,406.1
2.34,7.91,52.1,0.2,7908.0,1275.0,281.8
1.75,11.75,43.0,0.2,7237.0,1995.0,271.1
13.16,8.94,42.7,0.831,8322.0,2583.0,224.7
8.37,1.42,53.5,0.206,10888.0,2435.0,559.4
15.49,5.7,41.2,0.789,5718.0,2480.0,174.0
13.42,7.07,43.5,0.864,9542.0,1341.0,239.3
6.67,1.76,57.4,0.202,7006.0,1868.0,346.2
17.97,5.18,40.2,0.516,5702.0,1376.0,176.1
15.25,3.41,41.3,0.447,7532.0,2439.0,313.4
5.41,1.43,56.1,0.2,8293.0,1306.0,339.2
7.28,6.14,62.7,0.224,6236.0,1246.0,305.6
6.29,1.99,58.4,0.202,7432.0,1019.0,261.3
3.15,7.09,56.5,0.2,8814.0,1291.0,272.0
2.96,2.04,53.7,0.2,8459.0,1304.0,234.0
18.72,8.68,40.1,0.561,9339.0,1124.0,128.5
8.76,2.34,55.3,0.216,10018.0,2388.0,642.9
7.67,10.76,47.6,0.226,7455.0,2248.0,189.3
14.59,0.31,41.0,0.23,7538.0,1407.0,282.4
11.06,6.26,50.1,0.486,7980.0,2253.0,248.5
18.72,3.84,40.1,0.342,8398.0,1675.0,330.2
15.61,2.7,41.0,0.365,5650.0,2241.0,114.0
9.59,5.66,56.0,0.316,6876.0,1517.0,267.9
7.53,10.1,49.7,0.228,6031.0,1903.0,335.6
19.73,10.98,40.0,0.341,7315.0,1611.0,258.5
14.36,3.64,42.3,0.472,10840.0,1300.0,257.3
19.02,1.85,40.1,0.24,8496.0,1937.0,175.6
2.37,8.64,50.4,0.2,7576.0,2201.0,246.4
17.01,6.98,40.4,0.803,8396.0,2205.0,455.4
12.74,2.41,44.4,0.306,9014.0,1570.0,260.4
2.44,9.12,49.3,0.2,7610.0,1830.0,289.9
11.77,6.23,47.9,0.576,7686.0,2222.0,319.3
13.72,7.84,42.6,0.93,9208.0,1087.0,118.2
0.25,4.31,48.2,0.2,5365.0,1115.0,197.8
9.09,5.27,58.2,0.276,8240.0,1602.0,317.4
16.51,2.16,40.5,0.306,8284.0,1358.0,245.4
5.91,9.08,54.4,0.208,9541.0,1599.0,330.0
9.17,1.88,52.9,0.215,10896.0,1150.0,259.8
8.85,9.34,50.2,0.288,9775.0,1947.0,334.2
6.04,9.58,52.4,0.208,8023.0,2075.0,386.9
18.37,8.96,40.1,0.605,6017.0,2267.0,229.8
15.63,0.23,40.5,0.227,8530.0,2041.0,275.8
2.21,3.28,54.0,0.2,10006.0,1634.0,459.9
19.94,5.62,40.0,0.35,10594.0,2496.0,321.8
17.58,7.15,40.2,0.73,9952.0,2162.0,296.1
5.68,11.03,47.4,0.204,6134.0,1844.0,217.0
16.74,4.51,40.5,0.543,9275.0,1331.0,327.9
2.13,10.5,45.5,0.2,10281.0,2038.0,379.9
19.98,1.96,40.0,0.227,9086.0,1947.0,249.7
13.31,4.46,44.2,0.54,9115.0,2093.0,186.2
13.0,0.63,42.6,0.231,8001.0,2250.0,355.8
1.81,8.91,48.4,0.2,8822.0,2464.0,311.4
17.94,1.81,40.2,0.259,6766.0,2518.0,245.4
0.58,3.08,48.3,0.2,5533.0,2008.0,365.8
4.82,9.3,52.9,0.202,9966.0,2546.0,514.2
2.86,6.42,56.8,0.2,10659.0,2458.0,675.1
15.54,0.17,40.6,0.226,10141.0,1004.0,219.9
3.96,0.03,49.5,0.2,7003.0,2020.0,353.2
18.21,6.13,40.2,0.571,5561.0,1286.0,156.7
13.13,3.66,44.3,0.431,6681.0,1472.0,236.3
0.72,2.16,47.6,0.2,10057.0,1476.0,488.7
0.11,7.36,46.5,0.2,8935.0,1773.0,295.5
1.03,2.74,49.3,0.2,10800.0,1017.0,317.8
12.12,7.11,46.2,0.682,7056.0,1377.0,154.3
16.03,4.55,40.9,0.59,8309.0,1047.0,274.4
4.77,2.24,58.4,0.2,9740.0,2041.0,395.3
16.99,1.66,40.3,0.269,6404.0,2423.0,286.9
1.14,2.84,49.8,0.2,10785.0,2596.0,320.9
16.02,0.36,40.4,0.229,8554.0,1718.0,288.9
18.56,3.7,40.1,0.342,5047.0,1416.0,131.2
15.44,10.82,40.4,0.708,5151.0,2365.0,236.3
13.96,9.98,41.3,0.807,10293.0,1181.0,242.6
16.76,4.46,40.5,0.536,8872.0,2559.0,245.0
0.8,6.91,49.0,0.2,9578.0,2144.0,344.3
4.04,6.81,59.7,0.201,9704.0,1806.0,364.4
2.5,9.94,47.4,0.2,7523.0,1155.0,280.7
10.09,2.84,52.2,0.248,9792.0,1029.0,247.2
14.9,3.56,41.7,0.467,10625.0,1871.0,289.7
12.6,3.62,45.5,0.4,6033.0,1662.0,232.0
17.02,0.49,40.2,0.228,9585.0,2348.0,437.5
3.1,3.78,58.0,0.2,6847.0,2028.0,328.9
14.69,10.53,40.7,0.757,6929.0,1691.0,181.5
3.86,10.94,46.6,0.201,7477.0,1362.0,260.8
5.42,1.32,55.7,0.2,10182.0,1769.0,276.0
14.2,5.5,42.6,0.745,5132.0,1261.0,92.0
19.6,4.58,40.1,0.328,7604.0,2067.0,222.8
12.23,5.87,46.7,0.606,9080.0,1969.0,240.2
1.09,6.66,50.2,0.2,5662.0,2296.0,187.1
12.33,0.24,43.1,0.219,9754.0,1719.0,364.1
0.85,10.11,44.3,0.2,10651.0,1446.0,335.3
17.68,11.68,40.1,0.452,5546.0,2338.0,202.4
14.19,7.84,42.0,0.97,5918.0,2106.0,135.2
3.46,7.93,55.2,0.2,10845.0,2131.0,468.0
1.83,6.34,53.2,0.2,6187.0,1845.0,298.4
3.67,4.01,60.2,0.2,5474.0,2402.0,288.0
19.6,1.79,40.0,0.229,10713.0,1364.0,309.3
9.17,7.01,55.6,0.315,10356.0,1643.0,331.9
15.68,0.54,40.6,0.235,8934.0,2274.0,301.3
12.73,9.89,42.5,0.692,8309.0,1213.0,336.9
11.45,5.05,49.3,0.445,10515.0,2293.0,566.2
2.9,4.98,58.2,0.2,8933.0,1564.0,484.3
18.92,3.93,40.1,0.335,8950.0,1201.0,246.9
