well,depth_ft,gr,rhob,nphi,dtc,cali,bad
W-0,5037.5,70.9,2.358,0.245,88.0,8.47,0
W-0,5038.0,68.8,2.368,0.236,91.2,8.61,0
W-0,5038.5,75.6,2.341,0.259,90.9,8.49,0
W-0,5039.0,72.0,2.318,0.265,96.3,8.46,0
W-0,5039.5,70.2,2.346,0.233,89.1,8.56,0
W-0,5040.0,74.6,2.298,0.265,94.0,8.45,0
W-0,5040.5,64.2,2.362,0.242,86.9,8.48,0
W-0,5041.0,64.6,2.336,0.245,92.8,8.56,0
W-0,5041.5,72.8,2.334,0.246,90.2,8.5,0
W-0,5042.0,70.1,2.328,0.254,90.2,8.42,0
W-0,5042.5,70.9,2.342,0.244,89.7,8.53,0
W-0,5043.0,66.0,2.322,0.254,93.3,8.48,0
W-0,5043.5,69.9,2.324,0.279,94.6,8.58,0
W-0,5044.0,76.2,2.336,0.264,97.2,8.47,0
W-0,5044.5,72.8,2.351,0.264,90.9,8.55,0
W-0,5045.0,71.1,2.33,0.266,93.7,8.59,0
W-0,5045.5,69.3,2.351,0.224,88.6,8.46,0
W-0,5046.0,69.2,2.303,0.246,92.8,8.49,0
W-0,5046.5,64.0,2.34,0.231,89.7,8.52,0
W-0,5047.0,70.5,2.327,0.253,94.7,8.46,0
W-0,5047.5,71.6,2.282,0.276,97.7,8.51,0
W-0,5048.0,63.8,2.327,0.257,93.4,8.49,0
W-0,5048.5,66.2,2.372,0.24,86.9,8.49,0
W-0,5049.0,64.9,2.331,0.248,92.7,8.5,0
W-0,5049.5,65.1,2.293,0.261,94.5,8.5,0
W-0,5050.0,68.0,2.318,0.233,92.8,8.51,0
W-0,5050.5,62.1,2.317,0.255,91.6,8.47,0
W-0,5051.0,70.0,2.303,0.264,93.2,8.47,0
W-0,5051.5,70.8,2.314,0.259,95.7,8.49,0
W-0,5052.0,67.4,2.311,0.291,94.9,8.5,0
W-0,5052.5,60.6,2.309,0.277,94.2,8.48,0
W-0,5053.0,64.7,2.297,0.279,94.7,8.52,0
W-0,5053.5,71.2,2.327,0.244,96.6,8.41,0
W-0,5054.0,59.5,2.31,0.256,95.9,8.46,0
W-0,5054.5,66.1,2.33,0.247,90.7,8.49,0
W-0,5055.0,63.8,2.344,0.235,90.8,8.46,0
W-0,5055.5,69.8,2.301,0.278,95.2,8.58,0
W-0,5056.0,65.2,2.321,0.259,93.0,8.5,0
W-0,5056.5,67.8,2.31,0.249,92.9,8.51,0
W-0,5057.0,68.3,2.315,0.268,93.3,8.48,0
W-0,5057.5,71.9,2.328,0.247,93.6,8.5,0
W-0,5058.0,65.9,2.332,0.232,90.5,8.44,0
W-0,5058.5,67.6,2.301,0.269,93.4,8.49,0
W-0,5059.0,62.7,2.321,0.262,92.7,8.45,0
W-0,5059.5,70.6,2.364,0.243,88.5,8.49,0
W-0,5060.0,64.4,2.33,0.246,95.0,8.37,0
W-0,5060.5,65.0,2.297,0.284,97.2,8.44,0
W-0,5061.0,66.7,2.34,0.252,93.4,8.57,0
W-0,5061.5,62.7,2.373,0.214,88.6,8.54,0
W-0,5062.0,68.4,2.29,0.257,95.4,8.57,0
W-0,5062.5,70.7,2.33,0.273,91.4,8.57,0
W-0,5063.0,69.3,2.335,0.265,93.2,8.53,0
W-0,5063.5,63.2,2.343,0.251,92.3,8.48,0
W-0,5064.0,67.3,2.31,0.282,96.2,8.45,0
W-0,5064.5,69.5,2.341,0.258,91.0,8.56,0
W-0,5065.0,61.5,2.297,0.274,94.3,8.5,0
W-0,5065.5,63.4,2.322,0.248,93.7,8.62,0
W-0,5066.0,69.5,2.35,0.276,94.2,8.48,0
W-0,5066.5,67.6,2.319,0.26,90.5,8.6,0
W-0,5067.0,67.4,2.328,0.246,93.3,8.49,0
W-0,5067.5,71.3,2.297,0.257,94.5,8.57,0
W-0,5068.0,67.3,2.335,0.245,89.3,8.58,0
W-0,5068.5,68.2,2.372,0.213,86.3,8.45,0
W-0,5069.0,75.2,2.308,0.268,93.3,8.48,0
W-0,5069.5,67.6,2.313,0.247,95.6,8.45,0
W-0,5070.0,66.0,2.306,0.261,95.6,8.44,0
W-0,5070.5,69.3,2.314,0.25,93.5,8.53,0
W-0,5071.0,68.4,2.316,0.245,94.7,8.49,0
W-0,5071.5,65.7,2.318,0.252,93.7,8.5,0
W-0,5072.0,63.8,2.355,0.25,93.7,8.53,0
W-0,5072.5,73.7,2.332,0.269,90.8,8.41,0
W-0,5073.0,67.5,2.314,0.265,91.1,8.56,0
W-0,5073.5,64.2,2.294,0.281,95.2,8.48,0
W-0,5074.0,69.6,2.353,0.231,86.1,8.53,0
W-0,5074.5,66.6,2.329,0.268,95.3,8.53,0
W-0,5075.0,66.1,2.357,0.246,88.3,8.57,0
W-0,5075.5,68.1,2.321,0.241,91.1,8.49,0
W-0,5076.0,61.9,2.329,0.247,90.0,8.39,0
W-0,5076.5,66.6,2.371,0.206,88.4,8.5,0
W-0,5077.0,71.3,2.312,0.271,96.0,8.51,0
W-0,5077.5,67.7,2.327,0.273,94.9,8.45,0
W-0,5078.0,65.2,2.364,0.228,86.1,8.51,0
W-0,5078.5,65.2,2.296,0.237,93.5,8.48,0
W-0,5079.0,65.3,2.301,0.277,93.6,8.43,0
W-0,5079.5,65.3,2.276,0.26,96.8,8.53,0
W-0,5080.0,64.5,2.311,0.249,93.7,8.47,0
W-0,5080.5,68.1,2.328,0.261,91.7,8.48,0
W-0,5081.0,61.0,2.301,0.272,95.1,8.48,0
W-0,5081.5,68.5,2.295,0.267,95.0,8.56,0
W-0,5082.0,65.1,2.301,0.258,97.0,8.5,0
W-0,5082.5,67.0,2.353,0.243,91.6,8.5,0
W-0,5083.0,62.8,2.329,0.25,93.9,8.48,0
W-0,5083.5,70.4,2.32,0.244,89.3,8.52,0
W-0,5084.0,70.1,2.369,0.227,89.0,8.57,0
W-0,5084.5,69.2,2.323,0.262,96.5,8.53,0
W-0,5085.0,61.5,2.274,0.278,98.7,8.53,0
W-0,5085.5,68.7,2.298,0.243,90.9,8.53,0
W-0,5086.0,67.2,2.298,0.282,94.8,8.43,0
W-0,5086.5,60.7,2.324,0.222,91.1,8.46,0
W-0,5087.0,64.9,2.332,0.247,95.1,8.49,0
W-0,5087.5,66.2,2.303,0.25,93.7,8.46,0
W-0,5088.0,67.4,2.329,0.245,89.9,8.45,0
W-0,5088.5,66.3,2.346,0.248,90.8,8.41,0
W-0,5089.0,66.6,2.297,0.282,91.0,8.43,0
W-0,5089.5,70.3,2.277,0.261,93.5,8.49,0
W-0,5090.0,70.1,2.348,0.248,90.7,8.5,0
W-0,5090.5,57.9,2.287,0.266,95.5,8.46,0
W-0,5091.0,65.4,2.317,0.231,89.4,8.5,0
W-0,5091.5,66.3,2.333,0.279,92.5,8.48,0
W-0,5092.0,61.7,2.336,0.24,94.8,8.55,0
W-0,5092.5,67.8,2.297,0.269,92.0,8.49,0
W-0,5093.0,71.4,2.324,0.257,92.8,8.53,0
W-0,5093.5,63.9,2.3,0.272,95.1,8.51,0
W-0,5094.0,67.6,2.337,0.25,95.6,8.43,0
W-0,5094.5,64.5,2.31,0.269,93.2,8.5,0
W-0,5095.0,65.9,2.341,0.223,90.4,8.44,0
W-0,5095.5,72.3,2.302,0.277,97.6,8.49,0
W-0,5096.0,66.1,2.316,0.25,91.2,8.46,0
W-0,5096.5,69.7,2.324,0.252,93.2,8.52,0
W-0,5097.0,62.2,2.347,0.237,88.6,8.43,0
W-0,5097.5,73.1,2.343,0.255,90.6,8.5,0
W-0,5098.0,69.6,2.288,0.262,95.8,8.53,0
W-0,5098.5,67.1,2.312,0.264,93.7,8.55,0
W-0,5099.0,69.3,2.375,0.229,87.6,8.46,0
W-0,5099.5,63.3,2.307,0.253,94.4,8.5,0
W-0,5100.0,71.2,2.336,0.242,93.5,8.51,0
W-0,5100.5,67.3,2.295,0.265,93.6,8.58,0
W-0,5101.0,67.7,2.33,0.242,92.3,8.43,0
W-0,5101.5,67.1,2.331,0.259,92.3,8.45,0
W-0,5102.0,66.0,2.315,0.268,94.4,8.64,0
W-0,5102.5,69.8,2.32,0.222,88.2,8.49,0
W-0,5103.0,68.1,2.339,0.22,92.6,8.41,0
W-0,5103.5,68.8,2.332,0.255,90.9,8.47,0
W-0,5104.0,66.5,2.308,0.252,95.5,8.36,0
W-0,5104.5,67.9,2.355,0.24,89.1,8.51,0
W-0,5105.0,65.5,2.361,0.242,88.4,8.54,0
W-0,5105.5,72.9,2.305,0.247,95.8,8.45,0
W-0,5106.0,61.5,2.331,0.228,92.9,8.48,0
W-0,5106.5,69.8,2.329,0.268,92.1,8.55,0
W-0,5107.0,70.0,2.371,0.235,90.2,8.41,0
W-0,5107.5,63.7,2.33,0.239,90.8,8.43,0
W-0,5108.0,73.2,2.324,0.241,92.4,8.49,0
W-0,5108.5,70.0,2.31,0.257,93.1,8.46,0
W-0,5109.0,69.9,2.357,0.228,92.3,8.49,0
W-0,5109.5,66.8,2.29,0.283,94.5,8.44,0
W-0,5110.0,66.0,2.348,0.235,93.4,8.51,0
W-0,5110.5,66.1,2.351,0.257,90.7,8.49,0
W-0,5111.0,68.0,2.295,0.266,95.3,8.53,0
W-0,5111.5,70.5,2.318,0.242,94.0,8.51,0
W-0,5112.0,66.9,2.332,0.241,91.5,8.51,0
W-0,5112.5,63.7,2.325,0.219,91.7,8.43,0
W-0,5113.0,70.0,2.31,0.266,94.8,8.52,0
W-0,5113.5,71.0,2.304,0.267,96.3,8.48,0
W-0,5114.0,69.9,2.348,0.251,89.7,8.49,0
W-0,5114.5,70.0,2.319,0.228,92.0,8.55,0
W-0,5115.0,66.4,2.316,0.267,92.5,8.46,0
W-0,5115.5,64.2,2.367,0.25,91.8,8.57,0
W-0,5116.0,64.5,2.326,0.266,92.1,8.57,0
W-0,5116.5,62.7,2.321,0.251,95.0,8.54,0
W-0,5117.0,68.0,2.319,0.278,94.2,8.45,0
W-0,5117.5,66.8,2.306,0.249,94.3,8.39,0
W-0,5118.0,64.8,2.336,0.257,91.6,8.55,0
W-0,5118.5,57.2,2.326,0.241,90.1,8.51,0
W-0,5119.0,61.9,2.306,0.241,92.3,8.46,0
W-0,5119.5,68.8,2.331,0.233,90.7,8.56,0
W-0,5120.0,63.1,2.295,0.26,95.5,8.46,0
W-0,5120.5,66.1,2.321,0.242,92.4,8.48,0
W-0,5121.0,60.2,2.34,0.247,90.2,8.53,0
W-0,5121.5,68.0,2.353,0.221,92.9,8.44,0
W-0,5122.0,64.2,2.291,0.245,97.7,8.49,0
W-0,5122.5,64.9,2.297,0.269,94.4,8.55,0
W-0,5123.0,70.6,2.282,0.285,94.6,8.51,0
W-0,5123.5,68.9,2.355,0.235,91.1,8.56,0
W-0,5124.0,64.6,2.325,0.256,95.9,8.56,0
W-0,5124.5,63.3,2.265,0.294,97.5,8.5,0
W-0,5125.0,63.9,2.347,0.246,90.3,8.38,0
W-0,5125.5,66.6,2.35,0.232,23.0,8.44,1
W-0,5126.0,65.4,2.284,0.281,29.3,8.54,1
W-0,5126.5,64.2,2.334,0.234,23.0,8.42,1
W-0,5127.0,69.7,2.322,0.253,25.7,8.48,1
W-0,5127.5,65.2,2.315,0.246,25.7,8.52,1
W-0,5128.0,72.7,2.306,0.253,24.1,8.57,1
W-0,5128.5,65.9,2.341,0.237,23.6,8.47,1
W-0,5129.0,70.9,2.321,0.252,23.4,8.47,1
W-0,5129.5,66.1,2.315,0.259,92.0,8.5,0
W-0,5130.0,67.8,2.327,0.229,90.0,8.52,0
W-0,5130.5,62.6,2.34,0.255,92.1,8.49,0
W-0,5131.0,62.3,2.315,0.238,91.6,8.55,0
W-0,5131.5,66.0,2.364,0.234,89.1,8.46,0
W-0,5132.0,67.8,2.311,0.245,92.0,8.51,0
W-0,5132.5,65.4,2.308,0.259,91.1,8.52,0
W-0,5133.0,61.5,2.333,0.223,92.5,8.48,0
W-0,5133.5,61.4,2.344,0.26,93.8,8.54,0
W-0,5134.0,61.2,2.325,0.245,92.4,8.51,0
W-0,5134.5,60.2,2.34,0.26,49.1,8.54,1
W-0,5135.0,65.5,2.307,0.256,52.5,8.51,1
W-0,5135.5,68.7,2.282,0.27,50.3,8.52,1
W-0,5136.0,65.2,2.325,0.271,50.6,8.47,1
W-0,5136.5,59.3,2.302,0.255,56.1,8.47,1
W-0,5137.0,66.2,2.318,0.264,49.8,8.56,1
W-0,5137.5,66.4,2.323,0.257,50.9,8.53,1
W-0,5138.0,72.9,2.283,0.276,54.5,8.45,1
W-0,5138.5,61.8,2.317,0.26,53.9,8.51,1
W-0,5139.0,65.5,2.348,0.241,90.6,8.38,0
W-0,5139.5,71.9,2.32,0.249,90.0,8.47,0
W-0,5140.0,68.3,2.297,0.255,95.5,8.55,0
W-0,5140.5,67.9,2.343,0.242,95.9,8.49,0
W-0,5141.0,67.0,2.309,0.265,95.2,8.51,0
W-0,5141.5,67.8,2.352,0.241,89.4,8.35,0
W-0,5142.0,68.7,2.346,0.243,90.1,8.48,0
W-0,5142.5,63.7,2.322,0.27,90.8,8.52,0
W-0,5143.0,68.9,2.349,0.22,91.1,8.52,0
W-0,5143.5,62.2,2.169,0.363,90.6,10.42,1
W-0,5144.0,67.2,2.139,0.373,95.0,10.36,1
W-0,5144.5,66.7,2.198,0.376,87.7,10.36,1
W-0,5145.0,64.2,2.18,0.363,89.3,10.31,1
W-0,5145.5,66.0,2.174,0.368,92.8,10.36,1
W-0,5146.0,64.8,2.147,0.358,92.5,10.31,1
W-0,5146.5,62.4,2.163,0.371,91.1,10.28,1
W-0,5147.0,64.5,2.144,0.398,93.5,10.32,1
W-0,5147.5,62.3,2.131,0.384,91.5,10.45,1
W-0,5148.0,66.7,2.143,0.394,91.6,10.36,1
W-0,5148.5,62.1,2.181,0.405,93.0,10.38,1
W-0,5149.0,67.0,2.149,0.369,94.9,10.35,1
W-0,5149.5,61.5,2.184,0.353,90.2,10.28,1
W-0,5150.0,64.0,2.156,0.375,96.5,10.42,1
W-0,5150.5,63.2,2.193,0.381,89.5,10.26,1
W-0,5151.0,69.4,2.133,0.398,93.8,10.34,1
W-0,5151.5,66.3,2.139,0.388,93.2,10.37,1
W-0,5152.0,64.6,2.144,0.378,94.5,10.38,1
W-0,5152.5,66.3,2.191,0.364,95.5,10.34,1
W-0,5153.0,58.4,2.139,0.391,90.8,10.28,1
W-0,5153.5,65.1,2.211,0.336,86.8,10.33,1
W-0,5154.0,71.5,2.149,0.376,95.1,10.33,1
W-0,5154.5,66.6,2.155,0.381,90.1,10.33,1
W-0,5155.0,66.9,2.34,0.249,93.2,8.55,0
W-0,5155.5,68.5,2.336,0.258,95.5,8.44,0
W-0,5156.0,70.2,2.325,0.251,92.3,8.52,0
W-0,5156.5,61.7,2.338,0.247,91.0,8.51,0
W-0,5157.0,63.0,2.311,0.269,94.6,8.55,0
W-0,5157.5,68.6,2.326,0.259,95.3,8.49,0
W-0,5158.0,65.8,2.324,0.262,92.4,8.54,0
W-0,5158.5,71.6,2.319,0.251,91.8,8.49,0
W-0,5159.0,67.1,2.312,0.255,92.8,8.52,0
W-0,5159.5,61.8,2.354,0.246,91.7,8.42,0
W-0,5160.0,64.1,2.329,0.256,90.5,8.37,0
W-0,5160.5,59.6,2.301,0.25,94.3,8.52,0
W-0,5161.0,67.6,2.354,0.226,89.1,8.52,0
W-0,5161.5,68.1,2.335,0.252,91.7,8.52,0
W-0,5162.0,68.1,2.346,0.237,91.4,8.47,0
W-0,5162.5,72.9,2.352,0.264,95.2,8.57,0
W-0,5163.0,72.6,2.359,0.246,90.2,8.48,0
W-0,5163.5,68.5,2.322,0.265,91.1,8.52,0
W-0,5164.0,62.1,2.281,0.276,97.1,8.53,0
W-0,5164.5,70.2,2.348,0.237,90.2,8.59,0
W-0,5165.0,70.6,2.346,0.225,92.1,8.48,0
W-0,5165.5,70.1,2.367,0.235,89.9,8.47,0
W-0,5166.0,71.8,2.302,0.272,94.9,8.43,0
W-0,5166.5,65.0,2.352,0.229,88.6,8.58,0
W-0,5167.0,74.5,2.336,0.244,89.7,8.52,0
W-0,5167.5,65.1,2.34,0.243,88.7,8.52,0
W-0,5168.0,70.0,2.36,0.245,91.1,8.66,0
W-0,5168.5,62.8,2.339,0.254,89.8,8.52,0
W-0,5169.0,65.5,2.283,0.274,98.6,8.43,0
W-0,5169.5,73.1,2.319,0.273,94.8,8.49,0
W-0,5170.0,66.9,2.347,0.239,90.3,8.45,0
W-0,5170.5,70.3,2.313,0.225,92.2,8.48,0
W-0,5171.0,68.5,2.337,0.236,91.7,8.48,0
W-0,5171.5,67.6,2.372,0.243,87.7,8.47,0
W-0,5172.0,72.7,2.324,0.243,92.6,8.43,0
W-0,5172.5,67.1,2.306,0.267,96.2,8.58,0
W-0,5173.0,62.2,2.321,0.283,94.8,8.51,0
W-0,5173.5,65.4,2.319,0.237,91.0,8.49,0
W-0,5174.0,68.8,2.33,0.25,93.0,8.54,0
W-0,5174.5,68.9,2.314,0.245,93.7,8.52,0
W-0,5175.0,63.2,2.315,0.276,93.6,8.51,0
W-0,5175.5,66.1,2.362,0.245,90.2,8.53,0
W-0,5176.0,66.3,2.361,0.232,92.3,8.51,0
W-0,5176.5,67.2,2.325,0.269,91.5,8.53,0
W-0,5177.0,64.6,2.311,0.272,96.5,8.54,0
W-0,5177.5,67.0,2.336,0.226,89.6,8.51,0
W-0,5178.0,66.8,2.313,0.251,94.5,8.49,0
W-0,5178.5,71.4,2.337,0.261,93.8,8.58,0
W-0,5179.0,71.1,2.311,0.252,95.3,8.48,0
W-0,5179.5,68.2,2.307,0.236,92.5,8.52,0
W-0,5180.0,67.4,2.359,0.242,92.5,8.52,0
W-0,5180.5,69.2,2.378,0.214,91.9,8.47,0
W-0,5181.0,66.7,2.349,0.264,90.7,8.46,0
W-0,5181.5,65.3,2.31,0.264,93.8,8.48,0
W-0,5182.0,65.9,2.34,0.234,90.3,8.48,0
W-0,5182.5,67.4,2.34,0.234,90.2,8.43,0
W-0,5183.0,65.5,2.359,0.206,91.3,8.47,0
W-0,5183.5,69.1,2.287,0.259,93.9,8.51,0
W-0,5184.0,70.9,2.31,0.273,92.3,8.56,0
W-0,5184.5,64.3,2.308,0.287,95.9,8.53,0
W-0,5185.0,69.1,2.299,0.271,94.8,8.37,0
W-0,5185.5,68.9,2.326,0.256,96.3,8.53,0
W-0,5186.0,71.0,2.344,0.242,90.8,8.47,0
W-0,5186.5,70.3,2.358,0.236,91.8,8.52,0
W-0,5187.0,66.2,2.34,0.269,90.1,8.5,0
W-0,5187.5,67.7,2.292,0.278,96.9,8.49,0
W-0,5188.0,71.5,2.333,0.281,90.1,8.49,0
W-0,5188.5,73.7,2.345,0.261,92.0,8.5,0
W-0,5189.0,64.6,2.339,0.234,93.1,8.57,0
W-0,5189.5,72.1,2.368,0.229,89.8,8.5,0
W-0,5190.0,74.6,2.314,0.259,94.0,8.55,0
W-0,5190.5,71.1,2.352,0.24,89.1,8.55,0
W-0,5191.0,72.6,2.326,0.255,93.8,8.53,0
W-0,5191.5,68.3,2.303,0.298,92.1,8.41,0
W-0,5192.0,69.4,2.32,0.242,93.5,8.56,0
W-0,5192.5,64.6,2.327,0.254,95.3,8.48,0
W-0,5193.0,62.6,2.324,0.258,94.2,8.54,0
W-0,5193.5,72.7,2.342,0.249,89.6,8.45,0
W-0,5194.0,67.0,2.36,0.244,90.1,8.44,0
W-0,5194.5,68.0,2.334,0.232,91.8,8.6,0
W-0,5195.0,64.3,2.305,0.27,94.8,8.45,0
W-0,5195.5,64.3,2.323,0.256,89.9,8.56,0
W-0,5196.0,67.8,2.343,0.246,91.3,8.51,0
W-0,5196.5,66.3,2.335,0.252,91.2,8.48,0
W-0,5197.0,69.9,2.317,0.281,97.0,8.5,0
W-0,5197.5,70.2,2.312,0.27,93.0,8.43,0
W-0,5198.0,70.1,2.333,0.258,94.9,8.5,0
W-0,5198.5,69.9,2.337,0.233,89.7,8.45,0
W-0,5199.0,74.2,2.317,0.25,91.6,8.48,0
W-0,5199.5,66.0,2.334,0.24,92.0,8.55,0
W-0,5200.0,68.9,2.341,0.251,93.2,8.51,0
W-0,5200.5,72.6,2.324,0.256,92.4,8.43,0
W-0,5201.0,73.3,2.32,0.25,93.7,8.54,0
W-0,5201.5,65.1,2.376,0.224,88.1,8.5,0
W-0,5202.0,68.6,2.366,0.22,90.2,8.47,0
W-0,5202.5,73.5,2.329,0.249,93.5,8.54,0
W-0,5203.0,70.9,2.297,0.253,94.6,8.49,0
W-0,5203.5,70.3,2.378,0.215,88.1,8.44,0
W-0,5204.0,68.3,2.319,0.249,90.9,8.59,0
W-0,5204.5,67.2,2.37,0.219,88.6,8.5,0
W-0,5205.0,68.7,2.345,0.248,93.7,8.5,0
W-0,5205.5,66.1,2.336,0.257,91.8,8.48,0
W-0,5206.0,66.5,2.34,0.241,90.2,8.56,0
W-0,5206.5,67.1,2.354,0.24,90.9,8.47,0
W-0,5207.0,64.7,2.327,0.259,90.0,8.42,0
W-0,5207.5,68.4,2.336,0.237,89.9,8.47,0
W-0,5208.0,76.0,2.372,0.225,91.7,8.57,0
W-0,5208.5,62.5,2.324,0.275,93.5,8.54,0
W-0,5209.0,68.8,2.311,0.271,96.5,8.49,0
W-0,5209.5,66.1,2.314,0.268,93.6,8.57,0
W-0,5210.0,70.1,2.364,0.244,89.3,8.54,0
W-0,5210.5,68.2,2.328,0.231,93.7,8.49,0
W-0,5211.0,70.1,2.302,0.276,89.5,8.49,0
W-0,5211.5,70.7,2.332,0.244,90.7,8.52,0
W-0,5212.0,67.4,2.317,0.264,92.3,8.46,0
W-0,5212.5,70.1,2.318,0.255,94.4,8.5,0
W-0,5213.0,60.0,2.284,0.275,97.2,8.52,0
W-0,5213.5,72.5,2.297,0.271,94.2,8.42,0
W-0,5214.0,68.3,2.358,0.236,91.1,8.49,0
W-0,5214.5,70.6,2.28,0.278,96.6,8.48,0
W-0,5215.0,63.2,2.332,0.251,89.3,8.55,0
W-0,5215.5,64.6,2.303,0.245,94.5,8.41,0
W-0,5216.0,67.5,2.313,0.257,93.9,8.48,0
W-0,5216.5,66.2,2.35,0.265,92.9,8.48,0
W-0,5217.0,67.5,2.309,0.251,93.9,8.55,0
W-0,5217.5,69.7,2.328,0.248,92.6,8.5,0
W-0,5218.0,60.9,2.335,0.249,94.9,8.59,0
W-0,5218.5,68.7,2.318,0.26,94.6,8.53,0
W-0,5219.0,65.5,2.291,0.259,96.0,8.48,0
W-0,5219.5,65.1,2.319,0.252,94.8,8.51,0
W-0,5220.0,61.2,2.326,0.261,93.2,8.48,0
W-0,5220.5,67.3,2.299,0.258,94.9,8.54,0
W-0,5221.0,58.6,2.311,0.269,95.5,8.43,0
W-0,5221.5,68.4,2.296,0.271,93.7,8.46,0
W-0,5222.0,61.8,2.328,0.257,91.3,8.52,0
W-0,5222.5,65.8,2.341,0.242,93.2,8.56,0
W-0,5223.0,65.8,2.333,0.285,93.9,8.39,0
W-0,5223.5,69.5,2.33,0.258,91.4,8.57,0
W-0,5224.0,65.9,2.307,0.266,93.2,8.49,0
