hour,speed,flow,p_suct,p_disc,t_suct,t_disc,vib,power
32,8385.53,110.08,351.24,1043.6,88.61,237.0,2.33,178.84
33,8343.57,104.24,349.59,1030.69,89.36,237.95,2.32,169.88
34,8342.94,104.67,344.22,1008.33,86.35,232.47,2.1,157.43
35,8218.56,102.04,345.63,1006.81,89.65,235.4,2.35,154.99
36,8110.76,96.84,346.56,983.1,89.24,225.79,2.24,143.79
37,7984.18,88.68,347.35,986.96,91.19,228.88,2.13,130.02
38,7888.43,84.28,351.24,985.42,90.63,225.66,2.24,123.42
39,7867.18,87.73,350.66,991.35,88.94,227.08,2.25,134.9
40,7820.87,82.71,353.2,993.56,89.31,226.91,2.37,123.04
41,7784.54,80.42,352.26,989.65,89.65,225.67,2.05,114.05
42,7719.45,75.85,353.22,989.63,92.23,229.23,2.42,111.34
43,7792.44,78.27,351.83,983.51,88.77,222.37,2.22,115.49
44,7838.15,77.4,350.63,994.35,88.92,228.44,2.13,116.3
45,7861.15,85.21,353.3,997.04,88.31,227.02,2.12,129.56
46,7965.99,89.7,352.76,997.09,87.78,226.12,2.05,136.14
47,8050.07,91.5,351.13,1001.02,90.46,229.55,1.94,138.21
48,8174.14,97.27,353.81,1019.73,90.3,232.93,2.31,147.45
49,8208.15,101.72,342.96,998.61,91.92,233.59,2.51,154.22
50,8345.11,103.1,349.13,1017.21,91.56,235.63,1.98,158.85
51,8444.1,109.02,349.08,1028.14,93.6,240.35,2.1,172.02
52,8407.01,105.97,353.46,1037.79,89.89,232.64,2.35,171.35
53,8514.16,114.78,354.71,1047.92,89.61,237.45,2.24,187.08
54,8438.11,113.59,345.65,1027.66,88.05,233.86,2.38,183.45
55,8441.21,107.85,354.23,1050.25,91.04,237.85,2.23,174.18
56,8419.59,107.85,346.49,1028.18,90.18,238.08,2.16,176.22
57,8442.81,111.2,346.58,1023.16,90.98,236.23,2.21,177.75
58,8228.01,101.17,349.3,1022.26,88.29,233.04,1.86,159.14
59,8201.48,99.82,349.05,1008.57,90.53,232.46,2.04,155.37
60,8016.37,93.57,345.32,978.36,90.31,226.15,2.34,136.04
61,7957.89,89.55,351.95,995.38,90.21,228.46,2.38,127.99
62,7914.85,86.5,352.04,995.94,88.98,224.64,2.41,128.02
63,7828.71,81.88,353.16,1000.02,91.78,233.76,2.27,125.74
64,7762.83,81.28,348.7,973.7,93.08,227.34,1.87,118.71
65,7766.01,77.86,349.88,974.54,88.33,219.97,2.12,113.03
66,7690.03,74.48,349.91,969.75,91.08,222.1,2.42,105.18
67,7706.27,75.98,355.06,988.28,85.68,221.87,2.47,106.4
68,7854.13,77.41,341.5,953.55,91.0,224.67,2.42,114.76
69,7800.09,82.4,347.13,969.3,87.19,218.95,2.17,118.93
70,7825.77,81.21,350.02,974.96,89.21,224.88,2.01,117.06
71,7872.36,87.35,346.74,977.43,88.03,223.63,2.2,126.41
72,7969.66,88.78,349.23,1001.87,89.68,231.15,2.2,138.83
73,8219.39,96.87,349.62,1011.3,91.26,235.11,2.44,152.09
74,8212.58,99.79,348.03,1008.25,87.21,230.13,2.25,150.77
75,8309.66,106.74,350.19,1032.89,89.46,240.64,2.23,173.56
76,8339.07,106.43,351.88,1028.68,89.23,230.2,2.24,167.67
77,8399.8,108.62,349.29,1036.32,92.37,238.5,2.3,172.41
78,8407.02,109.32,348.64,1036.97,90.65,238.5,2.34,174.85
79,8360.84,105.86,349.5,1027.4,88.23,238.43,2.12,165.16
80,8403.11,107.51,349.98,1020.7,89.29,236.82,2.07,164.35
81,8221.88,101.11,344.78,1014.43,92.33,240.67,2.42,160.26
82,8136.88,97.55,351.38,1018.45,91.07,231.91,1.96,151.07
83,8110.92,96.29,348.65,998.94,88.62,227.17,2.45,147.82
84,7954.98,87.01,353.78,1007.99,89.6,226.63,1.91,133.55
85,7904.0,88.19,351.77,999.53,89.65,226.19,2.11,134.82
86,7732.22,78.63,353.51,995.37,89.19,228.42,2.36,111.56
87,7699.13,77.0,346.97,962.35,87.43,220.07,2.22,107.94
88,7679.01,74.59,348.89,969.18,88.98,222.24,2.03,109.67
89,7671.84,70.02,346.27,950.77,92.08,224.74,2.3,94.98
90,7599.36,74.4,347.88,963.95,89.43,219.1,2.24,108.12
91,7597.97,70.62,353.76,974.17,89.85,221.7,2.21,98.13
92,7637.49,72.75,354.46,979.06,90.21,220.37,2.14,106.12
93,7618.13,73.97,346.56,961.13,93.33,225.87,2.22,110.9
94,7713.48,74.51,348.63,965.76,90.01,221.74,2.14,109.62
95,7745.13,78.17,349.77,974.09,91.64,224.3,2.58,108.26
96,7889.59,86.08,351.76,996.3,89.1,227.0,2.17,131.89
97,7996.19,89.93,344.72,988.97,89.61,230.22,2.14,140.52
98,8177.53,97.51,345.19,993.02,90.02,230.36,2.12,155.67
99,8169.91,99.4,351.47,1017.39,88.84,231.72,2.47,155.76
100,8164.12,103.04,344.15,1002.44,89.69,231.5,1.97,154.1
101,8329.41,108.09,348.66,1023.26,91.33,237.99,2.28,171.49
102,8283.4,101.27,350.49,1014.74,88.8,230.64,2.18,161.72
103,8311.71,104.2,351.25,1021.32,90.0,232.26,2.01,162.36
104,8207.39,97.76,349.57,1008.58,91.06,230.91,2.09,153.36
105,8190.19,99.08,348.9,997.62,88.76,227.77,2.25,147.35
106,8066.62,92.58,352.53,1015.85,91.64,236.51,2.07,144.26
107,7978.93,87.21,350.86,1000.54,90.11,228.86,2.24,124.61
108,7888.9,87.04,348.06,987.16,89.75,225.18,2.46,126.83
109,7702.34,74.13,350.11,963.01,86.99,220.23,2.24,105.97
110,7743.43,77.01,351.15,968.98,89.44,220.55,2.0,109.89
111,7608.17,70.28,355.15,981.57,90.56,223.58,2.1,98.85
112,7556.22,68.58,352.36,974.95,92.62,224.22,2.21,98.25
113,7482.21,64.41,353.64,958.13,90.85,222.0,2.22,92.02
114,7519.79,69.63,348.17,956.15,91.69,221.79,2.28,98.66
115,7404.82,67.11,348.43,948.53,88.19,220.49,2.31,94.31
116,7532.17,68.75,349.29,959.76,89.81,219.04,2.5,100.21
117,7674.53,72.89,349.57,970.29,91.83,224.62,2.23,104.59
118,7756.75,77.01,346.98,968.26,88.67,225.83,2.04,115.67
119,7710.71,77.53,353.8,985.36,91.45,225.74,2.39,111.23
120,7864.02,82.19,352.65,997.5,91.1,232.83,2.4,129.37
121,7983.6,85.96,349.08,993.71,90.41,228.37,2.23,132.5
122,8108.04,93.54,351.93,1014.77,89.51,231.29,2.16,143.47
123,8217.22,98.5,350.67,1013.56,88.52,234.17,2.3,151.4
124,8255.62,101.76,352.16,1031.13,92.66,234.32,2.18,161.77
125,8266.04,100.63,345.97,1008.56,90.95,231.41,1.91,157.32
126,8344.09,106.15,349.56,1025.54,90.51,234.11,2.31,170.72
127,8246.19,98.57,349.83,1012.6,89.38,233.15,2.34,148.31
128,8197.25,100.17,351.87,1014.5,90.06,228.12,2.42,156.08
129,8047.21,94.55,348.11,1000.02,90.25,231.91,2.09,137.35
130,8057.81,90.98,342.5,977.56,90.6,230.72,2.23,134.15
131,7939.65,85.09,346.75,985.18,91.1,233.23,2.24,131.0
132,7945.97,83.66,349.82,988.4,88.83,227.84,2.21,120.29
133,7758.29,79.62,350.19,971.32,87.8,221.63,2.23,110.55
134,7654.46,72.62,355.05,971.08,90.13,223.17,2.24,105.1
135,7593.9,72.88,351.75,957.22,87.38,217.81,2.28,107.21
136,7651.73,68.65,350.24,965.52,89.51,220.59,2.35,99.61
137,7542.61,68.72,349.9,954.95,89.24,216.89,2.43,91.4
138,7596.99,70.52,353.31,975.56,90.74,221.89,2.12,97.4
139,7663.77,74.62,348.23,965.8,92.97,226.05,2.2,107.83
140,7573.0,70.78,349.58,961.39,87.08,218.92,2.18,97.58
141,7552.82,69.74,346.73,955.39,93.41,221.04,2.16,99.53
142,7519.74,72.56,354.26,976.64,89.65,221.19,2.0,106.02
143,7802.71,80.23,351.18,971.78,90.52,223.17,2.21,114.63
144,7872.7,84.84,347.88,978.28,87.88,224.91,2.28,130.13
145,7966.75,89.92,349.66,997.1,91.5,233.62,2.18,137.48
146,8123.33,93.11,351.53,1015.57,90.06,232.11,2.2,147.77
147,8170.14,97.67,349.25,1018.02,89.91,231.75,2.27,155.07
148,8331.77,107.71,348.4,1010.62,87.09,226.14,2.43,165.95
149,8296.38,102.62,348.04,1014.26,90.11,235.17,2.16,158.92
150,8313.92,104.33,351.02,1016.93,91.27,231.93,2.04,161.18
151,8244.59,100.21,348.93,1021.82,89.65,236.1,2.2,159.32
152,8211.67,100.87,348.64,1012.96,91.76,237.51,2.49,154.29
153,8176.02,99.7,345.99,1002.31,91.7,230.92,2.03,157.75
154,8137.19,94.85,350.23,1009.28,89.04,231.3,2.3,143.5
155,8138.04,96.87,349.46,1013.51,92.39,237.52,2.38,150.61
156,7943.63,88.1,349.04,996.81,90.07,231.3,1.85,132.34
157,7914.24,84.53,350.6,996.75,90.07,224.12,2.26,125.97
158,7808.9,78.75,352.24,984.36,90.15,223.12,2.31,122.63
159,7626.19,73.03,352.1,970.85,90.1,219.52,2.19,104.16
160,7602.72,70.65,351.66,971.47,86.05,219.52,2.14,101.34
161,7606.9,69.26,349.28,963.41,89.72,222.67,2.16,97.34
162,7737.82,76.42,348.3,966.92,87.95,215.89,2.17,110.42
163,7573.82,69.87,346.87,951.31,92.44,222.77,2.2,98.32
164,7627.03,75.62,348.22,972.9,92.38,228.65,2.15,106.86
165,7691.19,73.47,350.06,978.74,91.28,226.41,2.17,106.51
166,7783.15,85.33,347.64,974.49,89.64,225.2,2.38,126.54
167,7961.61,84.47,350.29,990.07,88.49,224.75,2.02,129.06
168,7997.25,90.27,347.1,990.35,89.01,225.88,1.94,135.42
169,8129.68,94.3,345.02,993.99,92.91,233.97,2.38,142.85
170,8137.04,100.52,352.46,1015.78,88.96,230.25,2.18,154.38
171,8254.89,103.12,348.58,1028.08,86.47,234.04,2.16,161.97
172,8328.46,104.29,347.49,1019.19,91.55,238.07,2.21,160.7
173,8323.17,104.11,346.72,1017.78,92.25,237.74,2.26,158.35
174,8324.17,106.75,351.27,1038.48,92.49,241.58,2.15,169.1
175,8405.74,107.29,354.12,1041.28,91.56,236.58,2.31,174.86
176,8523.58,110.43,348.79,1030.49,91.8,235.79,2.1,174.55
177,8339.49,101.87,349.35,1015.76,90.08,234.24,2.18,157.36
178,8258.72,101.27,353.21,1025.06,86.89,229.87,1.88,157.58
179,8186.65,96.99,344.57,987.92,90.04,231.11,2.38,149.23
180,8163.92,93.51,355.9,1028.27,90.93,230.11,2.18,143.79
181,7966.62,90.3,357.33,1018.12,89.8,232.07,2.3,139.92
182,7792.81,81.05,341.88,961.03,89.73,227.01,2.28,116.8
183,7851.0,84.31,349.71,984.13,88.55,224.07,2.29,124.92
184,7791.45,77.77,347.84,975.72,88.5,222.08,2.21,114.62
185,7759.7,82.26,349.21,971.86,92.76,228.7,2.27,119.62
186,7706.81,77.31,348.74,970.85,92.81,224.51,2.08,114.58
187,7637.34,72.08,352.44,979.02,90.0,228.02,2.05,105.31
188,7736.91,73.83,349.66,961.77,90.42,220.62,2.21,110.68
189,7928.25,86.39,347.27,985.28,88.53,229.78,2.1,128.62
190,8009.86,89.14,349.48,986.85,90.96,227.37,2.41,127.33
191,8007.36,89.2,351.54,1000.36,92.64,234.22,2.26,136.83
192,8077.45,95.68,346.45,988.1,87.71,225.15,2.09,144.29
193,8276.63,101.87,345.06,1013.0,90.7,236.02,2.18,158.83
194,8199.87,101.44,355.98,1028.87,90.81,234.27,2.23,158.42
195,8260.68,107.09,348.07,1011.01,90.79,235.12,2.22,159.33
196,8469.68,113.54,349.59,1036.02,92.46,242.26,2.29,176.24
197,8462.73,111.5,348.81,1029.95,93.05,238.85,2.26,182.36
198,8523.64,112.96,351.64,1035.79,89.65,236.09,2.05,178.83
199,8515.76,109.89,355.32,1055.25,91.01,241.58,1.93,182.58
200,8505.1,110.4,351.74,1031.16,90.13,233.9,2.19,170.41
201,8423.58,112.25,345.44,1016.94,89.05,236.29,2.33,172.92
202,8300.91,104.74,345.85,1008.64,90.41,233.84,2.17,164.02
203,8264.4,102.11,348.8,1019.03,91.01,235.62,2.4,159.32
204,8095.31,92.49,349.2,1003.31,90.33,230.98,2.19,142.63
205,8067.73,89.34,344.83,990.22,88.68,227.47,2.4,134.36
206,7927.52,84.55,352.46,994.77,89.3,225.48,2.38,125.99
207,7786.47,80.59,346.74,959.27,89.32,222.15,2.37,113.08
208,7729.49,77.23,354.48,991.46,88.74,223.38,2.03,111.16
209,7769.65,79.95,355.46,998.75,90.47,229.43,2.22,124.18
210,7762.78,81.56,349.26,984.43,90.63,229.1,2.39,125.51
211,7689.22,75.86,351.32,977.97,91.47,225.95,2.26,107.8
212,7797.98,83.16,346.3,964.51,88.71,221.13,2.29,116.57
213,7882.63,79.82,351.87,986.26,89.13,222.74,2.0,117.03
214,7909.08,86.13,348.51,996.19,92.33,235.67,2.49,131.07
215,8002.72,94.19,346.74,987.44,89.75,226.33,2.08,140.14
216,8163.91,95.77,349.13,1001.75,90.05,230.5,1.91,147.22
217,8263.7,104.12,348.6,1022.05,89.74,235.47,2.17,163.43
218,8300.5,102.7,349.02,1017.63,91.7,234.88,1.85,159.87
219,8345.75,107.76,352.85,1029.21,91.76,233.7,2.07,177.34
220,8421.71,112.22,347.64,1034.3,91.67,238.52,2.63,178.39
221,8512.63,113.88,355.21,1056.32,90.04,237.35,2.2,191.49
222,8450.46,111.05,346.02,1025.49,88.69,234.92,2.04,180.67
223,8403.01,108.64,354.85,1041.23,92.89,240.88,2.25,175.64
224,8458.06,111.85,346.95,1035.48,91.28,240.4,2.11,174.09
225,8363.99,108.39,350.0,1029.49,89.32,234.09,2.36,172.03
226,8368.39,105.96,348.53,1035.15,92.14,240.37,2.11,168.35
227,8311.53,105.86,348.97,1023.44,89.2,235.62,2.26,166.63
228,8088.76,92.85,352.4,1006.4,92.12,230.62,2.03,138.36
229,7981.97,87.97,354.5,1006.34,92.22,231.93,2.59,135.94
230,7772.13,83.38,353.57,1000.57,88.62,223.36,2.28,128.74
231,7814.87,79.08,348.79,984.08,90.87,229.88,2.19,120.67
232,7726.25,78.22,350.55,970.85,91.17,223.93,2.17,112.01
233,7788.87,79.96,347.65,975.17,93.92,229.27,2.13,113.84
234,7639.86,76.66,347.03,960.64,88.89,220.27,2.11,110.83
235,7644.5,77.04,346.56,955.86,92.15,221.69,2.11,114.8
236,7625.03,73.18,348.69,964.8,90.03,219.39,2.48,105.44
237,7787.71,80.77,350.75,975.48,88.14,220.26,2.13,119.03
238,7802.55,82.64,344.26,964.1,89.82,226.08,1.89,118.73
239,7952.54,84.99,349.86,987.64,90.0,224.81,2.03,124.85
240,7997.01,91.47,354.55,1008.85,88.41,223.72,2.34,141.48
241,8171.74,95.73,353.37,1018.81,90.47,229.92,2.17,148.2
242,8153.72,97.45,348.24,999.56,91.44,230.97,2.18,149.2
243,8212.17,100.85,345.81,1012.77,90.36,234.4,2.39,158.4
244,8442.09,113.22,351.38,1043.37,89.19,236.96,2.14,184.08
245,8280.78,106.03,343.05,1013.84,89.78,238.66,2.32,167.65
246,8356.7,102.09,353.33,1035.7,89.99,237.52,2.13,160.03
247,8466.67,113.18,349.36,1032.95,90.33,241.43,2.34,178.03
248,8417.48,114.42,355.49,1063.64,91.66,238.18,2.2,189.2
249,8204.51,101.26,344.82,998.1,90.41,230.86,2.18,154.21
250,8151.4,98.41,352.75,1019.56,87.9,231.11,2.33,151.45
251,8166.08,98.17,349.7,1010.21,89.16,229.93,2.32,151.89
252,8035.35,94.62,349.01,995.72,90.25,230.96,2.18,145.37
253,7805.69,83.4,345.89,976.8,91.69,228.93,2.13,126.25
254,7824.19,81.53,351.79,987.86,91.95,230.77,2.45,125.17
255,7800.41,79.01,352.03,989.33,92.66,230.6,2.3,113.5
256,7656.0,73.21,355.36,989.78,90.2,226.36,2.17,104.9
257,7576.77,66.94,353.02,978.37,91.14,223.4,2.14,96.87
258,7608.98,69.63,348.22,957.65,87.82,219.11,2.39,99.32
259,7466.87,68.9,346.99,946.02,90.64,219.8,2.27,95.71
260,7570.65,71.54,345.89,965.34,88.39,219.88,2.21,101.79
261,7671.81,75.85,354.42,975.26,89.91,224.37,2.24,108.98
262,7824.94,79.59,347.67,965.23,94.54,229.33,2.26,116.08
263,7812.12,83.54,354.44,998.11,90.46,226.01,2.2,121.4
264,7972.37,88.09,351.58,1007.53,88.7,231.25,2.38,141.72
265,8123.3,94.99,350.99,1008.79,90.61,229.92,2.39,145.72
266,8195.98,97.13,349.08,1011.0,89.22,227.79,2.28,153.05
267,8198.94,102.63,351.98,1011.44,88.56,231.16,2.42,156.1
268,8256.5,99.78,349.95,1016.46,93.15,233.54,2.22,156.84
269,8342.66,103.14,348.89,1009.09,91.6,233.25,2.32,159.15
270,8215.32,103.8,352.09,1029.41,90.52,235.31,2.37,166.57
271,8327.34,106.55,349.57,1013.41,89.41,232.74,2.37,164.43
272,8204.32,101.63,347.6,1003.88,89.53,232.91,2.35,160.22
273,8284.51,103.07,351.8,1028.96,92.31,237.96,2.31,158.35
274,8167.26,99.51,349.81,1016.92,90.46,234.63,2.5,157.64
275,7992.86,92.34,351.47,1002.71,85.38,222.76,2.12,140.53
276,7834.63,82.94,348.64,985.1,93.63,231.16,2.18,120.02
277,7755.04,78.34,346.37,968.8,90.27,222.13,2.18,119.59
278,7798.64,80.67,355.21,991.55,90.52,228.07,2.16,125.27
279,7638.24,75.66,354.64,974.79,91.63,220.15,1.93,103.29
280,7593.1,71.48,352.65,973.26,90.7,222.22,2.45,104.12
281,7457.17,63.19,348.84,950.37,91.12,218.23,2.12,91.0
282,7529.6,68.74,349.1,962.43,89.36,219.94,2.27,99.8
283,7568.12,69.04,354.15,972.29,88.16,219.37,2.04,104.24
284,7527.94,65.99,348.94,947.04,90.42,218.24,2.35,96.15
285,7671.38,70.76,348.1,961.56,92.15,226.83,2.12,102.16
286,7694.96,74.31,355.62,988.43,89.03,223.06,2.05,116.55
287,7771.08,81.62,349.86,976.61,88.91,222.41,2.24,122.11
288,7886.59,81.74,355.31,999.51,91.83,227.57,2.1,121.71
289,7993.64,87.87,345.8,979.52,89.31,229.2,2.11,128.14
290,8035.24,92.61,351.55,1010.7,89.38,231.83,2.23,146.02
291,8136.48,100.12,356.21,1020.82,89.44,227.13,2.33,152.76
292,8289.92,102.5,350.09,1015.78,89.9,231.26,2.1,157.95
293,8084.15,94.23,349.21,1002.73,87.64,228.96,2.05,142.85
294,8225.84,100.61,346.5,1015.39,89.19,234.77,2.22,158.02
295,8248.82,104.3,353.25,1032.89,90.35,232.63,2.3,164.76
296,8244.79,96.1,347.69,1000.64,90.33,232.75,2.43,142.38
297,8104.22,94.37,349.72,1013.72,91.74,232.38,2.04,149.57
298,7920.79,92.95,346.3,991.7,92.76,235.15,2.15,138.62
299,7933.14,90.44,354.67,1004.14,92.27,230.67,2.38,142.97
300,7926.72,86.64,353.46,991.76,91.37,224.55,2.5,129.82
301,7666.11,75.8,349.91,972.14,89.78,222.21,2.07,113.84
302,7731.61,77.44,346.54,971.31,89.07,223.29,2.11,114.75
303,7564.76,72.09,354.61,984.58,90.03,223.81,2.3,109.98
304,7534.73,71.44,348.9,952.82,90.88,220.55,2.16,102.48
305,7447.34,65.17,346.68,952.76,91.23,220.44,2.15,93.04
306,7482.44,64.98,344.71,929.57,90.93,215.73,2.3,92.1
307,7631.94,71.61,348.06,956.08,89.82,222.15,2.47,109.12
308,7615.98,69.57,345.64,949.47,91.18,223.0,2.04,97.27
309,7716.09,74.8,348.13,974.18,91.89,227.09,2.44,111.63
310,7754.26,76.23,352.23,990.75,91.32,227.89,2.13,113.5
311,7811.33,79.22,348.87,984.35,89.95,225.37,2.26,118.9
312,7999.3,88.15,351.07,992.9,88.75,226.24,2.44,132.01
313,8041.79,89.4,347.83,997.65,88.71,233.91,2.25,128.94
314,8110.04,97.06,350.2,1012.14,88.98,233.12,2.16,149.19
315,8163.04,95.97,355.76,1019.4,90.39,229.75,2.31,151.5
316,8182.12,96.95,348.95,1004.54,90.78,230.72,2.19,145.95
317,8252.17,100.23,351.15,1026.69,87.88,226.53,2.29,160.7
318,8369.41,105.93,345.3,1011.93,89.24,236.35,2.2,165.35
319,8220.68,100.09,354.56,1023.56,90.36,233.53,2.34,155.59
320,8347.96,106.37,348.57,1016.93,88.65,231.5,2.01,168.58
321,8162.69,98.16,353.15,1024.33,90.65,230.38,2.06,155.67
322,8190.09,100.13,349.63,1011.44,89.54,229.24,2.0,155.79
323,8075.12,93.63,351.83,1001.4,88.91,228.28,2.19,144.82
324,8033.79,91.7,352.01,1015.77,90.08,231.32,1.97,142.5
325,7886.07,83.44,348.64,989.41,90.59,229.83,2.1,119.71
326,7691.44,74.95,353.28,978.73,88.73,221.81,2.06,108.24
327,7715.64,73.98,347.72,963.68,89.64,224.56,2.44,100.91
328,7621.13,70.09,352.33,970.42,90.7,223.25,2.09,103.13
329,7579.44,69.46,348.83,953.31,88.86,220.72,2.05,100.74
330,7697.21,72.87,351.05,974.53,87.51,216.68,2.26,108.85
331,7625.36,74.52,348.61,957.31,87.7,216.35,2.48,107.33
332,7644.64,72.48,350.15,965.78,89.37,220.7,2.22,107.07
333,7647.29,73.5,346.78,955.02,88.02,221.88,2.22,99.59
334,7837.52,80.85,350.74,977.59,89.48,227.33,2.4,117.86
335,7903.76,82.07,350.13,992.45,92.5,229.79,2.34,118.67
336,7962.78,87.09,348.38,990.37,87.93,224.92,2.26,129.25
337,8051.56,95.74,349.83,1007.92,89.58,226.77,2.12,151.73
338,8238.16,101.29,350.4,1010.0,93.2,236.2,2.28,159.12
339,8346.55,103.44,348.15,1015.11,90.61,233.33,2.02,162.97
340,8245.42,98.55,349.61,1017.91,89.45,238.81,2.12,153.06
341,8408.15,108.69,346.98,1023.24,89.76,234.7,2.45,168.64
342,8436.68,110.36,357.04,1041.61,90.64,238.9,2.43,176.96
343,8429.8,108.89,353.18,1042.79,92.54,240.74,2.31,178.68
344,8478.95,115.02,350.82,1038.92,89.2,234.55,1.96,186.08
345,8230.87,101.09,353.52,1031.19,88.86,233.16,2.03,154.99
346,8249.26,101.73,344.06,994.11,87.93,231.24,2.11,154.53
347,8187.35,99.67,342.33,978.93,90.15,229.22,2.18,142.21
348,8002.31,91.59,348.8,987.02,87.89,226.8,2.01,138.67
349,8025.94,90.51,345.86,983.15,89.3,229.13,2.16,132.37
350,7875.37,81.04,349.29,990.23,88.64,227.47,2.47,117.42
351,7894.87,81.83,350.62,972.52,91.61,224.64,2.27,121.1
352,7723.59,77.26,352.76,979.18,89.24,220.18,2.25,114.58
353,7776.84,78.36,346.59,974.33,90.6,226.37,2.06,115.43
354,7760.07,78.72,351.2,980.42,87.59,222.4,1.97,122.1
355,7713.36,79.07,350.04,979.5,90.2,221.41,2.03,118.0
356,7772.31,79.63,351.04,973.05,88.2,221.5,1.96,113.58
357,7879.82,83.36,348.44,971.39,89.36,223.29,2.22,122.64
358,7877.62,81.92,354.15,1004.69,93.32,228.52,2.26,123.39
359,7938.97,87.89,349.69,996.31,91.4,229.42,2.06,136.28
360,8083.65,96.75,355.32,1020.87,89.81,229.68,2.22,150.95
361,8270.27,100.56,347.63,1003.24,94.8,240.17,2.43,154.89
362,8334.36,105.42,352.23,1033.16,88.63,234.23,2.52,163.2
363,8264.06,104.34,349.82,1017.97,91.75,237.22,2.34,162.85
364,8483.55,109.51,349.02,1036.38,87.7,235.45,2.22,175.62
365,8567.28,115.18,351.9,1062.73,89.63,237.85,2.38,188.37
366,8448.34,109.7,349.1,1035.1,87.98,237.01,2.45,175.11
367,8424.54,108.66,342.01,1007.33,90.39,235.25,1.94,170.15
368,8483.7,111.37,340.81,995.55,90.08,233.8,2.47,170.31
369,8409.11,109.53,353.82,1036.08,89.54,232.32,2.16,170.28
370,8341.97,106.42,353.69,1041.9,91.64,237.86,2.14,170.07
371,8300.51,104.08,355.66,1032.75,89.15,234.18,2.17,163.01
372,8172.05,98.3,349.95,1009.33,90.49,233.71,2.25,151.72
373,8072.22,92.14,346.12,995.36,91.23,235.09,2.03,139.71
374,7958.56,88.08,348.74,998.29,87.78,230.93,2.16,132.13
375,8006.8,89.36,350.03,994.54,88.88,222.88,2.28,132.9
376,7763.67,80.98,346.98,969.35,90.08,222.28,2.24,117.73
377,7613.86,73.66,354.95,983.2,90.95,220.24,2.28,110.89
378,7848.65,83.47,356.72,998.97,92.13,228.47,2.16,125.83
379,7758.74,77.52,351.43,976.77,89.68,221.84,2.32,117.35
380,7819.69,81.84,349.97,983.11,89.53,224.29,2.37,124.24
381,7936.76,85.64,346.12,981.09,88.69,225.86,2.35,131.26
382,7846.37,80.37,354.64,1009.12,90.49,229.7,2.27,126.74
383,7986.81,88.64,350.23,997.25,89.55,225.14,2.34,138.37
384,8040.44,93.09,349.13,1004.29,89.59,227.81,2.33,138.71
385,8163.48,99.41,351.44,1011.28,89.86,230.72,2.61,154.89
386,8319.57,106.42,348.24,1022.61,90.83,238.62,2.41,171.13
387,8469.98,109.13,350.44,1029.57,89.15,234.7,2.23,177.25
388,8402.88,110.63,345.67,1024.89,88.84,234.94,2.11,173.21
389,8421.15,110.32,353.26,1044.67,90.65,233.39,2.2,180.08
390,8321.74,108.5,349.69,1028.09,85.46,233.08,2.18,172.05
391,8472.21,111.98,353.48,1059.78,89.09,237.83,2.33,190.33
