kh_md_ft,kh_welltest,lateral_ft,depletion_idx,offset_wct,gor_scf,frac_efficiency_post,productivity_boed
916.0,978.0,4060.0,0.62,0.16,1064.0,0.1278,5.0
322.0,312.0,8817.0,0.36,0.33,814.0,0.2025,7.5
492.0,535.0,6905.0,0.26,0.66,1793.0,0.2555,10.0
1881.0,1930.0,8716.0,0.22,0.33,1377.0,0.46,17.8
500.0,445.0,5944.0,0.52,0.2,705.0,0.1146,4.4
1200.0,1584.0,4017.0,0.1,0.06,1651.0,0.2211,8.4
315.0,299.0,6411.0,0.49,0.51,1178.0,0.1162,4.7
564.0,634.0,8934.0,0.71,0.03,1481.0,0.2172,8.1
311.0,216.0,6752.0,0.21,0.1,1023.0,0.121,4.6
507.0,614.0,5534.0,0.31,0.42,822.0,0.171,7.0
1303.0,1624.0,7248.0,0.47,0.53,1402.0,0.2469,9.8
167.0,168.0,9266.0,0.16,0.29,952.0,0.154,6.4
942.0,1024.0,4836.0,0.41,0.44,1310.0,0.1608,6.2
804.0,875.0,8842.0,0.51,0.16,1265.0,0.3096,11.7
414.0,376.0,8671.0,0.34,0.07,2381.0,0.1609,6.2
209.0,227.0,6595.0,0.53,0.31,874.0,0.1108,4.2
705.0,624.0,10792.0,0.67,0.6,1073.0,0.1786,6.9
435.0,397.0,10263.0,0.18,0.31,2084.0,0.2284,8.5
801.0,949.0,6213.0,0.55,0.47,1092.0,0.3141,12.2
677.0,783.0,4218.0,0.34,0.78,1461.0,0.1336,5.0
2396.0,2155.0,6158.0,0.43,0.15,2024.0,0.3199,13.2
549.0,492.0,5433.0,0.19,0.13,509.0,0.1555,6.5
293.0,266.0,7831.0,0.48,0.29,2413.0,0.1374,5.3
768.0,857.0,10431.0,0.29,0.26,1426.0,0.3074,11.5
793.0,683.0,10092.0,0.42,0.33,2019.0,0.2402,9.4
1973.0,2082.0,6141.0,0.34,0.15,2342.0,0.4809,18.0
1297.0,1451.0,7000.0,0.46,0.03,2254.0,0.3797,14.5
885.0,873.0,4256.0,0.69,0.19,941.0,0.1243,5.4
2144.0,2495.0,7809.0,0.59,0.24,1610.0,0.4808,16.7
257.0,246.0,4444.0,0.57,0.59,1321.0,0.0758,3.1
399.0,386.0,10570.0,0.37,0.26,1565.0,0.1618,6.6
317.0,274.0,10069.0,0.37,0.73,2059.0,0.1499,5.5
487.0,567.0,5499.0,0.07,0.54,1209.0,0.1474,5.7
221.0,197.0,8896.0,0.34,0.39,1454.0,0.1625,6.5
1106.0,1165.0,7976.0,0.56,0.46,1716.0,0.2185,8.7
557.0,551.0,9610.0,0.72,0.71,1041.0,0.1992,8.1
205.0,175.0,7330.0,0.63,0.14,1713.0,0.1078,4.3
295.0,269.0,5342.0,0.1,0.44,798.0,0.1389,5.2
855.0,1052.0,8479.0,0.15,0.52,1743.0,0.2609,10.4
1300.0,1340.0,4562.0,0.32,0.36,786.0,0.2736,11.2
3286.0,2824.0,8092.0,0.76,0.26,2051.0,0.3998,16.1
6844.0,7164.0,5489.0,0.11,0.5,888.0,0.5582,21.8
927.0,907.0,8795.0,0.48,0.39,1792.0,0.3151,12.7
301.0,506.0,9796.0,0.37,0.47,1662.0,0.1824,7.2
121.0,126.0,4767.0,0.46,0.36,1351.0,0.0611,2.3
824.0,778.0,6802.0,0.48,0.35,1791.0,0.2178,8.6
347.0,430.0,9135.0,0.17,0.34,2193.0,0.1395,5.6
477.0,362.0,5146.0,0.23,0.33,740.0,0.1649,6.6
408.0,413.0,7966.0,0.47,0.4,1853.0,0.19,6.9
594.0,802.0,8703.0,0.37,0.27,1320.0,0.281,9.8
1561.0,1534.0,6484.0,0.55,0.1,1848.0,0.2423,9.4
754.0,582.0,9824.0,0.33,0.46,2250.0,0.2466,9.2
586.0,552.0,7575.0,0.77,0.61,1806.0,0.1481,6.0
290.0,361.0,8389.0,0.38,0.37,820.0,0.1887,7.5
174.0,184.0,4986.0,0.64,0.19,1332.0,0.0849,3.2
451.0,397.0,4162.0,0.21,0.42,1599.0,0.1183,5.2
637.0,575.0,4355.0,0.26,0.62,754.0,0.2054,7.7
2736.0,2516.0,10327.0,0.51,0.03,1787.0,0.59,23.5
738.0,779.0,10178.0,0.34,0.18,1926.0,0.2868,11.7
1460.0,1785.0,9653.0,0.42,0.16,2025.0,0.494,18.8
446.0,522.0,5397.0,0.95,0.1,740.0,0.1136,4.1
258.0,276.0,7678.0,0.52,0.45,1910.0,0.1041,4.1
307.0,252.0,9573.0,0.38,0.62,1232.0,0.1566,6.0
372.0,305.0,8723.0,0.54,0.25,922.0,0.2079,7.9
3651.0,3955.0,4809.0,0.51,0.09,1549.0,0.5019,19.2
345.0,282.0,10269.0,0.52,0.31,1645.0,0.1326,5.4
1301.0,1258.0,5125.0,0.32,0.45,1414.0,0.3091,11.8
323.0,338.0,5203.0,0.28,0.25,2182.0,0.1335,5.1
1401.0,1182.0,10307.0,0.14,0.43,812.0,0.4132,18.5
905.0,776.0,7392.0,0.23,0.3,1314.0,0.4022,14.9
587.0,579.0,6610.0,0.39,0.45,1034.0,0.1633,6.8
644.0,694.0,7876.0,0.53,0.53,598.0,0.186,7.2
394.0,462.0,10870.0,0.71,0.54,1178.0,0.1501,5.4
950.0,1041.0,4837.0,0.03,0.47,1936.0,0.2148,8.4
462.0,467.0,9299.0,0.07,0.7,1546.0,0.224,9.1
250.0,223.0,6340.0,0.09,0.29,1337.0,0.1369,5.2
239.0,204.0,4819.0,0.65,0.31,1449.0,0.1256,4.5
764.0,707.0,6954.0,0.53,0.26,1125.0,0.1768,7.2
2353.0,2502.0,7841.0,0.38,0.29,744.0,0.4275,18.8
756.0,795.0,5442.0,0.3,0.63,1681.0,0.2087,7.6
605.0,441.0,6837.0,0.53,0.35,2131.0,0.2403,8.9
836.0,743.0,8450.0,0.25,0.5,2078.0,0.2433,9.2
1891.0,2265.0,8035.0,0.11,0.2,967.0,0.4891,20.8
793.0,802.0,9062.0,0.75,0.5,1369.0,0.3146,11.8
479.0,387.0,9855.0,0.41,0.43,1604.0,0.1696,6.2
1612.0,2295.0,6864.0,0.21,0.15,2105.0,0.353,12.3
937.0,933.0,6961.0,0.31,0.57,893.0,0.3489,13.7
2272.0,2407.0,7477.0,0.6,0.14,764.0,0.3692,14.2
770.0,818.0,7964.0,0.52,0.14,2363.0,0.2177,9.4
250.0,236.0,4758.0,0.23,0.51,791.0,0.1122,4.1
223.0,200.0,6188.0,0.24,0.24,2478.0,0.1856,6.9
2492.0,3425.0,5203.0,0.68,0.38,1698.0,0.1955,7.4
2641.0,3070.0,6701.0,0.48,0.13,1498.0,0.5315,19.4
576.0,652.0,10813.0,0.52,0.14,878.0,0.1779,7.2
490.0,534.0,8079.0,0.23,0.26,2221.0,0.1661,6.5
2141.0,1842.0,7006.0,0.1,0.15,844.0,0.3818,14.9
274.0,332.0,7962.0,0.3,0.18,1303.0,0.1677,6.2
325.0,287.0,8684.0,0.39,0.37,596.0,0.1548,5.7
1113.0,1161.0,7045.0,0.56,0.6,545.0,0.2009,7.7
485.0,379.0,7134.0,0.39,0.26,1959.0,0.1628,6.2
662.0,488.0,8910.0,0.05,0.26,915.0,0.2617,9.9
584.0,612.0,4426.0,0.5,0.49,1702.0,0.1187,4.7
871.0,772.0,7781.0,0.39,0.32,1947.0,0.2911,10.5
2051.0,1522.0,7831.0,0.18,0.28,1484.0,0.4052,16.0
715.0,776.0,9297.0,0.48,0.16,1813.0,0.1611,6.1
1113.0,1530.0,10879.0,0.84,0.22,982.0,0.2827,11.3
129.0,159.0,9570.0,0.64,0.46,2136.0,0.1082,4.0
640.0,615.0,7527.0,0.68,0.29,912.0,0.1716,6.7
339.0,339.0,5186.0,0.21,0.14,1681.0,0.1359,4.8
251.0,287.0,8118.0,0.46,0.5,2172.0,0.1478,5.8
329.0,390.0,9840.0,0.06,0.33,2086.0,0.1777,6.6
509.0,484.0,10527.0,0.34,0.16,603.0,0.228,9.1
1384.0,1391.0,9777.0,0.41,0.23,1234.0,0.4023,15.8
230.0,241.0,5323.0,0.5,0.47,2205.0,0.1203,4.7
682.0,741.0,8988.0,0.51,0.16,2202.0,0.2698,10.3
452.0,443.0,10161.0,0.48,0.29,1773.0,0.2046,8.2
512.0,503.0,8767.0,0.24,0.43,717.0,0.2591,10.3
1484.0,1825.0,8800.0,0.29,0.33,1309.0,0.331,12.8
1023.0,1227.0,7501.0,0.38,0.33,2422.0,0.3788,14.4
1939.0,2083.0,8459.0,0.38,0.15,713.0,0.2563,9.9
588.0,761.0,6061.0,0.9,0.39,2103.0,0.1623,6.3
381.0,360.0,4622.0,0.6,0.36,1336.0,0.0919,3.8
556.0,709.0,9794.0,0.25,0.06,1989.0,0.2994,11.3
808.0,876.0,10602.0,0.53,0.38,609.0,0.356,13.2
766.0,1251.0,9998.0,0.06,0.6,521.0,0.3588,13.2
279.0,234.0,6337.0,0.38,0.6,1101.0,0.1337,5.1
715.0,645.0,4655.0,0.19,0.36,2240.0,0.23,9.2
798.0,850.0,5961.0,0.41,0.22,1860.0,0.1668,6.6
4984.0,5290.0,9900.0,0.42,0.5,1724.0,0.5751,22.1
2985.0,4000.0,8591.0,0.56,0.25,2495.0,0.5099,19.8
336.0,304.0,10767.0,0.49,0.21,1195.0,0.1707,6.9
529.0,605.0,6399.0,0.04,0.69,2201.0,0.1749,7.4
206.0,246.0,7860.0,0.12,0.07,719.0,0.1927,7.7
415.0,461.0,9530.0,0.33,0.57,841.0,0.2339,9.2
856.0,741.0,5638.0,0.47,0.26,1456.0,0.183,7.0
1745.0,2156.0,10749.0,0.29,0.43,2419.0,0.5376,21.2
371.0,446.0,8147.0,0.37,0.33,1907.0,0.1313,5.1
394.0,431.0,4055.0,0.31,0.49,725.0,0.0957,3.7
119.0,123.0,4176.0,0.36,0.28,2410.0,0.0669,2.4
584.0,604.0,10176.0,0.38,0.25,2031.0,0.2466,9.6
284.0,281.0,8517.0,0.02,0.38,1973.0,0.1545,6.5
435.0,479.0,9342.0,0.68,0.46,1603.0,0.1669,6.7
330.0,331.0,9488.0,0.22,0.23,1287.0,0.2188,7.8
617.0,543.0,6943.0,0.28,0.22,720.0,0.2985,10.8
163.0,139.0,9590.0,0.68,0.51,1740.0,0.1122,4.1
206.0,184.0,10563.0,0.17,0.25,755.0,0.1474,5.5
3653.0,3777.0,5205.0,0.15,0.3,1680.0,0.5431,20.3
237.0,237.0,9349.0,0.5,0.48,1579.0,0.1123,4.4
277.0,286.0,6155.0,0.24,0.43,1693.0,0.1559,5.8
2892.0,3117.0,6250.0,0.4,0.57,2154.0,0.355,13.1
6796.0,6185.0,6889.0,0.32,0.22,1322.0,0.9462,35.1
261.0,325.0,10046.0,0.61,0.33,1373.0,0.1548,6.2
495.0,476.0,4154.0,0.14,0.35,620.0,0.143,5.6
874.0,819.0,7037.0,0.55,0.52,1075.0,0.1905,7.6
2652.0,2851.0,8760.0,0.46,0.1,662.0,0.9795,36.1
302.0,229.0,4773.0,0.27,0.11,784.0,0.1107,4.2
547.0,486.0,9546.0,0.02,0.09,1354.0,0.2676,10.2
1239.0,1435.0,10593.0,0.16,0.46,1314.0,0.4112,15.5
942.0,726.0,4637.0,0.05,0.49,2372.0,0.1543,6.4
492.0,582.0,5071.0,0.53,0.32,739.0,0.1251,4.6
598.0,750.0,10819.0,0.47,0.09,799.0,0.2448,9.7
221.0,209.0,5385.0,0.8,0.7,2002.0,0.0778,3.1
550.0,574.0,4553.0,0.42,0.34,545.0,0.1115,4.5
537.0,636.0,10665.0,0.14,0.31,1802.0,0.2544,9.8
801.0,747.0,10248.0,0.46,0.49,1995.0,0.2254,8.8
427.0,486.0,8590.0,0.41,0.28,1758.0,0.1446,6.0
970.0,877.0,7860.0,0.47,0.23,1076.0,0.2984,12.7
1495.0,1392.0,10435.0,0.37,0.16,707.0,0.4048,15.8
753.0,668.0,8589.0,0.6,0.47,2488.0,0.1725,6.4
881.0,928.0,8609.0,0.24,0.3,2219.0,0.3674,13.7
694.0,826.0,9906.0,0.45,0.42,1961.0,0.3236,11.9
665.0,647.0,8573.0,0.28,0.45,874.0,0.2558,10.0
373.0,309.0,7526.0,0.33,0.45,1362.0,0.1397,5.5
857.0,728.0,6728.0,0.3,0.6,1920.0,0.2225,8.7
615.0,653.0,7522.0,0.4,0.36,703.0,0.1958,7.3
3549.0,4680.0,7657.0,0.44,0.38,2415.0,0.5368,19.2
2342.0,2484.0,6526.0,0.48,0.61,2410.0,0.3608,14.3
906.0,855.0,7137.0,0.3,0.19,801.0,0.2691,10.6
361.0,405.0,9613.0,0.38,0.13,894.0,0.198,7.7
273.0,264.0,6916.0,0.34,0.49,1228.0,0.122,4.8
1725.0,1630.0,4179.0,0.16,0.44,1401.0,0.265,10.6
821.0,711.0,5981.0,0.25,0.07,1381.0,0.2734,10.6
977.0,1206.0,5622.0,0.44,0.26,1876.0,0.1442,5.8
165.0,113.0,9555.0,0.74,0.31,1440.0,0.0744,2.8
1397.0,1574.0,7145.0,0.17,0.49,869.0,0.3417,12.3
957.0,892.0,5962.0,0.35,0.41,1022.0,0.2589,10.2
274.0,257.0,9675.0,0.64,0.16,1322.0,0.192,6.9
456.0,588.0,4135.0,0.2,0.56,1539.0,0.1641,6.4
821.0,738.0,5220.0,0.25,0.52,2346.0,0.2004,8.0
694.0,626.0,9789.0,0.49,0.15,692.0,0.3457,12.9
527.0,516.0,7855.0,0.47,0.73,2109.0,0.1438,5.8
612.0,652.0,9416.0,0.82,0.4,1122.0,0.1676,6.3
544.0,509.0,9867.0,0.39,0.48,1954.0,0.1743,6.7
751.0,593.0,10594.0,0.44,0.37,1017.0,0.2492,9.8
2159.0,1896.0,4444.0,0.33,0.38,1270.0,0.2197,8.7
85.0,103.0,9595.0,0.41,0.43,1387.0,0.1096,4.4
550.0,557.0,8961.0,0.06,0.45,2002.0,0.3458,12.7
766.0,820.0,5449.0,0.51,0.55,833.0,0.1779,7.0
843.0,810.0,10522.0,0.34,0.43,1193.0,0.3297,12.6
494.0,447.0,6829.0,0.67,0.34,1557.0,0.1352,5.2
163.0,210.0,10213.0,0.26,0.23,1815.0,0.0898,3.5
865.0,841.0,8236.0,0.28,0.11,652.0,0.2683,10.2
2649.0,2478.0,7687.0,0.56,0.48,689.0,0.4569,17.2
195.0,230.0,5117.0,0.53,0.49,1937.0,0.0947,3.6
1328.0,1191.0,10400.0,0.69,0.56,1232.0,0.2931,11.5
511.0,468.0,7897.0,0.37,0.66,831.0,0.2003,8.2
633.0,634.0,4043.0,0.59,0.27,1026.0,0.1265,5.0
286.0,286.0,4128.0,0.3,0.07,1696.0,0.0982,3.9
509.0,529.0,9443.0,0.79,0.23,2407.0,0.1934,7.5
1882.0,2575.0,5134.0,0.63,0.21,1964.0,0.1958,8.3
1060.0,1115.0,8191.0,0.37,0.6,2094.0,0.3521,13.2
2659.0,1862.0,8768.0,0.37,0.29,1717.0,0.3698,14.1
1706.0,1792.0,5956.0,0.29,0.86,1242.0,0.2337,9.3
945.0,950.0,7985.0,0.17,0.34,2424.0,0.3371,13.7
2684.0,2702.0,5682.0,0.56,0.44,663.0,0.3249,13.0
945.0,981.0,10624.0,0.28,0.52,2117.0,0.3252,13.5
1290.0,1284.0,10021.0,0.44,0.06,1017.0,0.4285,16.9
525.0,521.0,6016.0,0.25,0.02,1716.0,0.213,8.3
702.0,769.0,7702.0,0.1,0.18,2465.0,0.2274,8.4
381.0,351.0,7504.0,0.45,0.44,2185.0,0.1509,5.7
1468.0,1273.0,10720.0,0.34,0.27,2200.0,0.5228,19.0
259.0,408.0,6758.0,0.37,0.25,2146.0,0.1509,5.8
1244.0,1117.0,7936.0,0.54,0.57,1408.0,0.2561,10.4
571.0,580.0,10501.0,0.5,0.21,1286.0,0.2327,8.3
1698.0,1356.0,5140.0,0.08,0.07,1537.0,0.256,10.1
1213.0,1234.0,7853.0,0.15,0.27,1070.0,0.3869,16.2
2854.0,2481.0,4740.0,0.22,0.16,1456.0,0.4108,15.7
1193.0,1117.0,8322.0,0.08,0.37,754.0,0.4241,17.8
189.0,221.0,6560.0,0.33,0.17,2285.0,0.0989,3.8
630.0,677.0,10773.0,0.58,0.56,1971.0,0.2148,8.5
260.0,284.0,6908.0,0.34,0.54,624.0,0.1178,4.4
439.0,337.0,4953.0,0.18,0.14,1820.0,0.1846,6.8
2228.0,2935.0,9838.0,0.31,0.11,2017.0,0.9499,37.4
1108.0,926.0,9746.0,0.44,0.42,2223.0,0.3922,15.5
380.0,478.0,8864.0,0.68,0.11,1158.0,0.144,5.4
296.0,345.0,9242.0,0.32,0.34,1761.0,0.1579,6.4
683.0,745.0,5853.0,0.45,0.09,1052.0,0.1932,7.5
251.0,221.0,8494.0,0.65,0.38,2198.0,0.127,4.8
389.0,398.0,4266.0,0.35,0.59,2250.0,0.0897,3.6
854.0,795.0,5378.0,0.77,0.36,653.0,0.1699,6.7
1676.0,1683.0,10526.0,0.31,0.14,1070.0,0.3583,13.8
1082.0,1043.0,9175.0,0.12,0.1,706.0,0.3308,12.0
106.0,78.0,5615.0,0.41,0.38,1298.0,0.1017,4.2
849.0,1004.0,4780.0,0.21,0.07,510.0,0.223,8.7
705.0,696.0,10642.0,0.18,0.22,2066.0,0.439,15.9
926.0,861.0,4785.0,0.47,0.09,1363.0,0.1649,6.1
2423.0,2228.0,5799.0,0.36,0.06,1569.0,0.2537,10.0
128.0,135.0,5278.0,0.81,0.01,1985.0,0.0542,2.1
415.0,363.0,4052.0,0.15,0.41,1925.0,0.2419,9.2
1067.0,761.0,6199.0,0.19,0.13,1129.0,0.227,8.6
188.0,199.0,10819.0,0.54,0.34,2066.0,0.1896,6.9
2166.0,2342.0,6393.0,0.14,0.41,1782.0,0.4478,16.4
893.0,867.0,7530.0,0.44,0.34,936.0,0.2374,9.9
1309.0,1102.0,9222.0,0.16,0.42,559.0,0.3347,14.1
421.0,427.0,7858.0,0.64,0.24,2012.0,0.1299,5.2
1275.0,1024.0,9205.0,0.3,0.34,831.0,0.3891,16.6
1564.0,1340.0,8631.0,0.28,0.7,725.0,0.501,18.2
801.0,716.0,8260.0,0.31,0.6,1341.0,0.2395,10.0
802.0,911.0,8548.0,0.33,0.37,2343.0,0.3028,11.9
826.0,782.0,9594.0,0.13,0.13,1936.0,0.3058,12.4
333.0,312.0,8971.0,0.25,0.42,2096.0,0.2496,10.5
591.0,792.0,9542.0,0.09,0.25,1040.0,0.3178,11.6
589.0,621.0,5019.0,0.16,0.21,2170.0,0.2849,11.4
904.0,951.0,8744.0,0.38,0.21,1331.0,0.2829,10.0
1480.0,1400.0,9159.0,0.32,0.42,2459.0,0.428,15.5
285.0,261.0,6100.0,0.69,0.29,1640.0,0.1315,5.1
602.0,434.0,10122.0,0.14,0.41,1712.0,0.256,11.1
2176.0,2516.0,6133.0,0.73,0.22,2330.0,0.2971,11.7
367.0,392.0,5707.0,0.38,0.5,2397.0,0.1301,4.5
345.0,335.0,10070.0,0.63,0.13,535.0,0.1588,6.0
782.0,766.0,5729.0,0.37,0.43,965.0,0.177,6.9
1307.0,1460.0,6909.0,0.67,0.43,1728.0,0.2238,8.9
671.0,532.0,6575.0,0.57,0.58,507.0,0.1755,6.5
1926.0,1763.0,10286.0,0.31,0.19,1135.0,0.5,19.0
1320.0,1113.0,7187.0,0.18,0.49,893.0,0.3715,14.2
1304.0,1701.0,8860.0,0.07,0.53,1547.0,0.3559,13.0
1036.0,1182.0,9558.0,0.44,0.21,1695.0,0.2452,9.0
4282.0,3077.0,8395.0,0.26,0.22,878.0,0.64,24.2
564.0,450.0,10606.0,0.55,0.43,1573.0,0.2915,12.3
134.0,131.0,9618.0,0.73,0.25,1293.0,0.0954,3.9
2400.0,2236.0,6801.0,0.48,0.7,2482.0,0.2759,11.0
461.0,378.0,10656.0,0.15,0.19,630.0,0.2855,11.1
725.0,971.0,7672.0,0.23,0.47,2181.0,0.2615,9.4
1896.0,1987.0,4158.0,0.38,0.12,2499.0,0.287,10.1
185.0,198.0,5820.0,0.62,0.4,1583.0,0.1039,3.9
244.0,220.0,8352.0,0.39,0.35,1861.0,0.1516,5.7
185.0,206.0,5098.0,0.56,0.45,756.0,0.0795,3.3
352.0,333.0,8088.0,0.17,0.29,1202.0,0.2478,9.8
945.0,906.0,6531.0,0.23,0.58,863.0,0.2589,10.3
1012.0,1109.0,7741.0,0.64,0.58,1667.0,0.2227,8.9
830.0,650.0,4013.0,0.3,0.11,2384.0,0.2114,8.0
215.0,273.0,9939.0,0.45,0.5,559.0,0.1188,4.7
105.0,108.0,6533.0,0.64,0.07,1489.0,0.0539,2.3
695.0,842.0,4981.0,0.26,0.12,1947.0,0.2503,9.3
456.0,388.0,7065.0,0.28,0.17,1361.0,0.2662,9.7
961.0,836.0,7403.0,0.19,0.22,1578.0,0.3365,12.8
